,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,周边配套,权属抵押,交通出行,小区介绍,税费解析,户型介绍,售房详情,房源核验码,查询房管备案记录,适宜人群,别墅类型,装修描述,用水类型,用电类型,燃气价格
822,华润三期中 央公园 开发商精装的一幢 楼层好全天采光,185万,16087,天宁区茶山,华润·中央公园,3室2厅1厨1卫,中楼层 (共33层),115㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,华润三期中 央公园 开发商精装的一幢 楼层好全天采光,位茶山成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
823,户型方正，采光无遮，小区环境优美,168万,16927,天宁区茶山,华润凯旋门,3室2厅1厨1卫,中楼层 (共31层),99.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正，采光无遮，小区环境优美,,,,小区地理位置，绿化，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,此房业主诚心出售，产权清晰，证件齐全，看房方便，，放心购买、,,,,,,,,
824,弘阳开发商精装三大件！旁边在建弘阳广场！靠大菜场,230万,19036,天宁区茶山,弘阳天下锦,3室2厅1厨2卫,中楼层 (共33层),120.83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-12,商品房,2021-08-04,普通住宅,未满两年,共有,有抵押,已上传房本照片,小区地理位置优越，弘阳地产开发，小区全天保安，安全性高,,,小区边有助力脚踏车，多路公交车站台，贯通龙城南北，出行便捷 ，离市区和九州商圈距离较短。,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
825,蔷薇公园旁天鹅湖花园 精装保养好  户型方正 南北通风,268万,18967,天宁区茶山,天鹅湖花园,4室2厅1厨2卫,低楼层 (共28层),141.3㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-07-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,蔷薇公园旁天鹅湖花园 精装保养好 户型方正 南北通风,交通银行，中国工商银行，中国农业银行，邮政储蓄，蔷薇公园，大润发房主自荐（业主对房源的描述）,,,环境优美，小区内部环境好，绿化高，休闲设施齐全，儿童游乐场所，健身器材。24小时安保服务，管家式服务,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
826,此房精装修，朝南双阳台，采光充足，离东坡公园300米,220万,21154,天宁区茶山,东坡雅居,2室2厅1厨1卫,中楼层 (共11层),104㎡,平层,暂无数据,板塔结合,南,混合结构,精装,两梯两户,有,暂无数据,2021-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装修，朝南双阳台，采光充足，离东坡公园300米,,此房无任何抵押，房东全款付清，买家无任何后顾之忧，随时可以过户交易,,,,"两个房间,另外带一个储藏室，双阳台，采光无遮挡此房无任何抵押，房东全款付清，买家无任何后顾之忧，随时可以过户交易",,,,适合三代同堂，夫妻有带孩子也可以居住，中老年人群都适合，住习惯市区的人,,,,,
827,桃园公寓三楼 楼层好，户型方正，看房方便，价格可谈,398万,30588,天宁区茶山,桃园公寓,3室1厅1厨1卫,高楼层 (共6层),130.12㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，户型方正，看房方便，价格可谈,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,双地铁口，小区门口就有共享单车停放点，100米处就有公交站台，可以乘坐220，903，B2，25路等等，交通方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
828,华润国际，地铁口位置，纯毛坯，诚售。,306万,21611,天宁区茶山,华润凯旋门,4室2厅1厨2卫,高楼层 (共22层),141.6㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-12-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五不唯一，格局好，采光好，户型方正 ，配套全。,丽华大润发，兰陵大润发，连锁酒店，湿地公园，各大银行，各类小吃美食一应。 房主自荐(业主对房源的描述),,,小区生活实施齐全，商场，，菜市场，银行等。 生活方便，交通便捷，小区环境优美，配套诚熟。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,,,,,,,,,
829,桃园新村 三房 中等装修 满五年 楼层好 全天采光,225万,28125,天宁区茶山,桃园新村,2室1厅1厨1卫,中楼层 (共6层),80㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,无,暂无数据,2022-01-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,南北通透 采光佳 视野开阔 三房够用 楼层好 满五年不唯一,中医院 常州二院 大润发 文化宫 九洲商场 青果巷 红梅公园 大运河景观等,,,小区1986年建成，共27栋，860户，离地铁2号线红梅公园站仅400米，地铁1号线同济桥站700米，文化宫站800米，配套设施齐全，交通便利。,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
830,五角场西村简装 可做店面 随时可看,98万,22349,天宁区茶山,五角场西村,1室1厅1厨1卫,低楼层 (共3层),43.85㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2022-03-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地铁口 东坡公园 红梅公园旁 配套齐全 采光好 生活方便,小区边上有精品水果店以及多种美食店，离小区700米是东坡公园，1000米有常州儿童医院，配套设施一应俱全。,,小区门口有共享单车停车点，小区西南门150米就有公交站台，还有地铁2号线，交通十分便利,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
831,此房房东诚心出售，精装修，地理位置优越，出行方便。,158万,16937,天宁区茶山,银河湾明苑二期,3室2厅1厨1卫,低楼层 (共33层),93.29㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-07-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,三房精装修，空置中，好楼层，光线无遮挡，随时看房,朝阳综合市场，大润发，银行交通银行，中国工商银行，邮政储蓄.,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
832,呕心沥血的装修 选房必看的一套 诚心卖 价可谈,192万,21819,天宁区茶山,华润凯旋门,3室2厅1厨1卫,中楼层 (共32层),88㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-10-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子在卖的 装修不错的，保养也很好，中层采光好。,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库；,,,小区地理位置，绿化，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24保安巡逻,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，放心购买。换房，诚心卖。价格可商量。,,,,,,,,
833,常宁府精装大4房 户型方正采光好,326万,22910,天宁区茶山,华宇常宁府,4室2厅1厨2卫,低楼层 (共14层),142.3㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-09-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,"业主诚心出售,手续齐全，价格公道，看房方便.",小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库；,,,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,,,
834,门第优质好房 房东诚心出售 楼层佳,320万,22378,天宁区茶山,新城光明璞樾门第,4室2厅1厨2卫,中楼层 (共27层),143㎡,平层,暂无数据,板楼,南,砖混结构,精装,两梯四户,有,暂无数据,2022-11-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,格局方正，视野开阔，三房朝南，楼下配套设施齐,,此房产权清晰，房东对付款无要求，按照正常首付就可以，过户时全程陪同。,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,税费解析：契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
835,光线好，户型方正，小区配套实施齐全，出行方便,89.6万,11342,天宁区茶山,朝阳三村,4室2厅1厨2卫,高楼层 (共6层),79㎡,跃层,暂无数据,平房,南,框架结构,简装,暂无数据,暂无数据,暂无数据,2022-10-27,商品房,2007-04-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,带阁楼层户型方正实际使用面积近140平方,京杭运河从小区边经过，小区旁有朝阳中 学，出了小区就是红星市场，400米处是德安医院，隔着一条河就是东坡园,,小区门口有共享单车停车点，出小区一百米有公交站台，可以乘坐16路，55路，出行方便,,"：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
836,均价1.9W！买华润幸福里精装 地铁1号线旁 免费咨询1,260万,19507,天宁区茶山,华润国际社区中吴府,4室2厅1厨2卫,低楼层 (共27层),133.29㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-09-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地铁口新小区 毛坯三房 户型好采光好 央企开发有保障,兰陵大润发，丽华大润发，，华润万象城，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应,,,小区是华润自带物业安保和服务态度好，新小区环境好，配套齐，适合改善需求。 2、小区地理位置优越，交通便捷，旁边就是地铁1号线。小区内道路人车分流，设有滑滑梯，跷跷板等，儿童娱乐设施。老人休闲设施。生活配套齐全，万象城在建,首套 90平以下1% 。2，首套 90平及以上1.5% 。3，二套90平以下1% 。4，二套90平及以上2% 。5，三套都是3% 个人所得税：不是满五唯一年1%,,,,,,,,,,
837,天下锦好房！楼层佳视野好！看房方便,210万,20452,天宁区茶山,弘阳天下锦,3室2厅1厨1卫,中楼层 (共34层),102.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-12-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修，楼层好配套实施齐全，出行便利。,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,小区环境好，物业好，保安全天巡逻，绿化好，饭后散步方便，出入方便,个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％. 2房朝南，有产证可随时过户。,,,,,,,,,,
838,华润国际5期精装大四房 户型方正采光好,320万,22391,天宁区茶山,华润凯旋门二期,4室2厅1厨2卫,中楼层 (共34层),142.92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房子装修成本比较高，纯实木楠木，品牌家电,华润万象城，九州大润发，兰陵大润发，丽华大润发，凤凰公园，连锁酒店，蔷薇湿地公园，各大银行，各类小吃美食一应。,,,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,户型周正，格局分布合理，空间感好，通透性强，居住舒适，每个房间都有窗户，楼层佳，朝向南北，视野开阔，采光透亮。,,,,,,,,
839,三室 户型方正 一楼带花园 采光充足 配套齐全,300万,44099,天宁区茶山,桃园新村,3室1厅1厨1卫,低楼层 (共5层),68.03㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,三室 户型方正 一楼带花园 满五唯一 采光充足 配套齐全,中医院 常州二院 大润发 文化宫 九洲商场 青果巷 红梅公园 大运河景观等,,,小区2002年建成，共27栋，860户，离地铁2号线红梅公园站仅400米，地铁1号线同济桥站700米，文化宫站800米，配套设施齐全，交通便利。,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
840,王家新村 四房 中间楼层 看房方便,124万,8954,天宁区茶山,王家新村,4室2厅1厨2卫,中楼层 (共5层),138.5㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,茶山板块 中间楼层  看房方便,,,,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
841,龙运天城精装3房2卫 ， 新风地暖 空调 看房方便,235万,22198,天宁区茶山,龙运天城,3室2厅1厨2卫,低楼层 (共27层),105.87㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-11,商品房,2022-01-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,龙运天城精装3房2卫 ， 新风地暖 空调 看房方便,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,房子产权清晰。房东过户陪同 房东对付款无要求，按照正常首付就可以。,,,个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,
842,桃园新村，户型方正，装修干净清爽房东保养的不错,250万,34219,天宁区茶山,桃园新村,2室2厅1厨1卫,高楼层 (共6层),73.06㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,无,暂无数据,2021-12-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满二好交易，好贷款，户型方正通透，全天采光，交通方便,,,,,"税费分析1、契税:首套房，90平方以下的首套跟二套都是1%，90平米以上成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税，; 3、个税:产证满五年但不是唯一套住房, 成交价的1%",此房两室一厅一厨一卫，中间楼层，户型方正，通透，采光好，看房方便,"：
此房非房东名下唯一一套住宅，现在空置房东想置换掉，有贷款可以自行还清",,,,,,,,
843,桃园公寓 精装两房 户型方正 通透性好,340万,35790,天宁区茶山,桃园公寓,2室1厅1厨1卫,中楼层 (共6层),95㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2021-12-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 26万元 公积金,未上传房本照片,精装两房 设施齐全 户型 双阳台 客厅大,,,社区门口有公用电动自行车租赁、归还点，400M处元丰桥BRT站台  有多路公交  地铁红梅公园站距社区300M，出行是相当的便利。,桃园公寓位于红梅公园南方向，社区24H物业服务，绿化高，社区里有水景公园（现在水池没有注水），紫藤、绿树很多 社区东侧1KM有东坡公园、儿童医院，一院、中医院、二院都在2KM范围内，医疗配套优秀。,此套房屋买受方首套1.5%，2套2%，3套及以上3%的契税 出让方个税1%。 产证工本费80元/本。,,,,,,,户型重新装修了一下，墙面 顶部重新整修 部分家电设备都有检修 功能使用方便,,,
844,新城璞樾门第精装4房3卫 中上楼层全天采光 有车位,520万,29351,天宁区茶山,新城光明璞樾门第,4室2厅1厨3卫,中楼层 (共11层),177.17㎡,平层,暂无数据,暂无数据,东南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-11-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"卖点：
新城璞樾门第精装4房3卫 中上楼层全天采光 有车位","配套：
朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，弘阳广场。","权属抵押：
此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。",,,"税费解析：
税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。",,,,,,,,,,
845,华润万象城旁剑桥澜湾中上楼层采光好诚心出售,178万,20046,天宁区茶山,华润国际社区剑桥澜湾,2室2厅1厨1卫,高楼层 (共32层),88.8㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2022-08-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 80万元,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,兰陵大润发，丽华大润发，，华润万象城，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应。,,,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,此房户型方正，通透性比较好，每个房间都有窗户，明厨明卫，采光无遮挡。,,,,,,,,,
846,精装修 户型好 南北通风采光好 诚心出售,210万,15556,天宁区茶山,翠堤半岛花园,3室2厅1厨2卫,中楼层 (共10层),135㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-11-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 45万元 客户偿还,未上传房本照片,精装修 户型好 南北通风采光好 诚心出售,,,,"小区生活实施齐全，商场,市，菜市场,银行等。2:小区内有健身器材，小型篮球场,可供小区居民使用。3: 小区停车位充足,建有地面临时停车位以及底下停车位。4:小区内24小时保安巡逻","契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","户型方正，格局分布合理,空间感好，通透性强,居住舒适。2: 楼层佳，朝向南北，视野开阔,采光充沛。3: 小区环境优美,绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所,物业态度较好",,,,,,,,,
847,府河名居 精装三室 中层采光好 诚心出售 价格可谈,195万,17133,天宁区茶山,府河名居,3室2厅1厨1卫,中楼层 (共20层),113.82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，采光充足，交通便利，精装三室，诚心出售,医院：常春村社区卫生服务站、常州市中医院、德安医院、常州协和医院 银行：江南银行、中国邮政储蓄、中国工商银行、中国建设银行、中国银行、中国农业银行、招商银行 商场：仟亿家购物广场、常州购物 公园：东坡公园，红梅公园，天宁寺，青果巷古街,,114米同济桥东：16路 D7 175米德安桥站：25路、D6路 258米通济桥东站：55路、D7路 317米劳动路龙游路站：16路、55路 1千米地铁口,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,
848,桃园新村 方正户型 房东诚心出售 采光好 交通便利,185万,31603,天宁区茶山,桃园新村,2室1厅1厨1卫,中楼层 (共5层),58.54㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,桃园新村 方正户型 房东诚心出售 采光好 交通便利,,此房满二年 无抵押 好交易，好贷款，户型方正通透，全天采光，交通方便,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
849,龙运天成 精装交付未入住 小区环境好 配套成熟 随时看,288万,24764,天宁区茶山,龙运天城,3室2厅1厨2卫,高楼层 (共22层),116.3㎡,平层,暂无数据,板楼,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-05-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼层好 视野宽阔 采光充足 配套设施齐全 交通便利,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,,,,,,,,,
850,大润发傍边 生活配套齐全 采光刺眼 精装修欢迎来砍价,143万,13884,天宁区茶山,翠堤半岛花园,3室1厅1厨1卫,中楼层 (共17层),103㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满五唯一，小区设备齐全，房子产权清晰，能正常交易,"配套：
交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）",,,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻税费解析,"：
首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
851,格局方正，视野开阔，采光无遮挡，楼下配套设施齐全,170万,18280,天宁区茶山,银河湾明苑二期,3室2厅1厨1卫,中楼层 (共32层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局方正，视野开阔，采光无遮挡，楼下配套设施齐全,,,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％和增值税附加； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",户型方正，格局分布合理，，通透性强，居住舒适 ，视野开阔，采光充足,,,,,,,,,
852,桃园新村中层精装二房采光佳南北通风,280万,43077,天宁区茶山,桃园新村,2室1厅1厨1卫,中楼层 (共5层),65㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,满五不唯一，南北阳台，楼层好，户型佳，采光好，没小孩读书..,,无抵押，无贷款，夫妻共有，产权清晰。房东诚意出售，看房方便。,到市一院1000米，到中医院200米，到地铁一号线站口200米，到地铁二号线站口100米。,,,,,,,,,,,,
853,精装修两年自住，楼层好，小区环境优美，配套设施齐全,170万,18247,天宁区茶山,银河湾明苑二期,3室1厅1厨1卫,中楼层 (共33层),93.17㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-27,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 4万元 业主自还,未上传房本照片,精装修两年自住，楼层好，小区环境优美，配套设施齐全,医院：常州市中医院，常州一院，常州二院，常州三院 休闲购物：大润发，新怡华，瑞和泰，天宁寺，红梅公园，常州古运河南大街文化旅游区,,距离地铁1号线同济桥站，步行960米左右。距离地铁1号线清凉寺站，步行1.3公里左右。,,房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
854,电梯房！桃园公寓 24中空置 装修干净清爽拎包即住,430万,34946,天宁区茶山,桃园公寓,3室2厅1厨2卫,高楼层 (共6层),123.05㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,已经安装电梯，此房户型方正，采光无遮挡，看房方便,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,双地铁口，小区门口就有共享单车停放点，100米处就有公交站台，可以乘坐220，903，B2，25路等等，交通方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
