,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,交通出行,房源核验码,查询房管备案记录,户型介绍,周边配套,适宜人群,装修描述,权属抵押,别墅类型,售房详情
219,户型方正.采光充足 交通便利.配套齐全，合适居住,120万,9524,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,低楼层 (共11层),126㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2023-07-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.	税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
220,绿地世纪城一期洋房 小三房 中间楼层 精装修,110万,11986,钟楼区新闸,绿地世纪城B区,3室2厅1厨1卫,中楼层 (共11层),91.78㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一 户型方正 采光无遮挡 生活配套全 交通便利,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
221,荷园旁光明荷樾府三房，户型正采光足,140万,15284,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,中楼层 (共18层),91.6㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,户型方正 楼层佳视野开阔 采光好,小区环境优雅，绿化好天然氧吧，水气充足空气好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情,1.契税:首套房90平以下 1%，90平以上1.5%；二套房90平以下1%，90平以上2%；三套房不论面积统一3%。2.增值税： 满两年不论面积全免，不满二年收全额的5.3%。3.个人所得税：产证满五年且为家庭名下唯一住房免个人所得税，否则全额1%。,,,,,,,,,,房东诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，产权清晰，无任何经济纠纷，请放心考虑。
222,洋房 精装修好楼层 看房方便 房东诚心出售,110万,12637,钟楼区新闸,绿地世纪城B区,3室2厅1厨1卫,高楼层 (共11层),87.05㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小高层 精装户型方正 中间楼层,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
223,绿地世纪城两房精装，看房提前联系，总价低刚需收选,103万,12770,钟楼区新闸,绿地世纪城B区,2室1厅1厨1卫,中楼层 (共18层),80.66㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-05-12,商品房,2016-12-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满2年，户型好 楼层好，视野好，配套设施完善，交通便利。,配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24小时保安巡逻,1契税首套房90平以下 1%，90平以上1.5%二套房90平以下1%，90平以上2%三套房不论面积统一3%2税：满两年不论面积 全免不满二年 收全额的5.3%3个人所得税：满两年1%满五免个人所得税,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路,,,,,,,,,
224,此房满二 前面小高层 采光无遮挡 社区配套全,145万,11228,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共33层),129.15㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-07,商品房,2022-12-26,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房满二 前面小高层 采光无遮挡 社区配套全,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
225,冶金新村大两房业主诚心出售位置佳,60万,8483,钟楼区新闸,冶金新村,2室2厅1厨1卫,高楼层 (共6层),70.73㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-02-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层佳，朝向南北，视野开阔，采光透亮,,,公交车43，47，59，45路均可直线到达，驾车黄河西路主干道，汉江西路主干道，门口公众自行车管理,,,,商场：顺园家电城、上海华联便利店第六六七分店、新怡华便利店顺园加盟店 医院：常州市薛家人民医院、常州市第四人民医院分院 邮局：中国邮政薛家邮政支局 银行：建设银行、中国银行,,,,,
226,绿地世纪城两房，方便看房，诚心出售,100万,13251,钟楼区新闸,绿地世纪城B区,2室2厅1厨1卫,高楼层 (共18层),75.47㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,有,暂无数据,2023-08-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房带装修，配套齐全，户型周正，格局分布合理,,房屋产权：房子为商品房。税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％,小区生活设施齐全，商店、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,
227,绿地世纪城装修两房，户型方正，室内阳光充足,110万,12569,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,中楼层 (共33层),87.52㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 银行 客户偿还,未上传房本照片,格局方正严谨，彰显大家风范；全明户型，室..,,"税费解析：
存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..",,,,,,"适宜人群：
发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐",,,,"售房详情：
亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘"
228,绿地世纪城110平2卫精装带车位看房方便,136.8万,12437,钟楼区新闸,绿地世纪城A区,2室2厅1厨2卫,中楼层 (共33层),110㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 农业银行,未上传房本照片,客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,"税费解析：1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，故缴税成交价的1%",,,,,配套：成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,
229,此房诚售 中间楼层 户型方便使用率高 小区配套全,90万,12163,钟楼区新闸,绿地世纪城B区,2室2厅1厨1卫,中楼层 (共9层),74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60 客户偿还,未上传房本照片,此房诚售 中间楼层 户型方便使用率高 小区配套全 交通便利,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,1.税费信息 A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套或以上3% 2.增值税：满2年免征，不满2年全额征收5.6% 3.个人所得税：不满5年征1%，满5且家庭 住房，省个税,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
230,此房精装，楼栋整体采光比较好，看房提前联系,115万,12580,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,低楼层 (共33层),91.42㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精装，楼栋整体采光比较好，看房提前联系,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
231,绿地世纪城精装房东诚心出售户型方正,118万,12827,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,高楼层 (共33层),92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 25万元 业主自还,未上传房本照片,"卖点：
卖点： 卖点： 卖点： 卖点： 卖点： 精装修 ，装修..",,"税费解析：
税费解析： 税费解析： 税费解析： 税费解析： 房子是商品房，这套房子在交易的时候需要缴纳1.5%的契税（首套房），1%的个人所得税",,,,"户型介绍：
户型介绍： 小区介绍： 小区介绍： 1、环境优雅，低密度社区 2、小区绿化高，地理位置得天独厚，出行方便区介绍： 小区介绍： 1、环境优雅，低密度社区 2、小区绿化高，地理位置得天独厚，出行方便！",,"适宜人群：
适宜人群： 适宜人群： 适宜人群： 适宜人群：适宜人群： 适宜人群：小年轻住住挺好的单身也可以环境好靠公园老人住养养老",,,,
232,绿地世纪城 配套成熟 房东诚心出售,102万,11010,钟楼区新闸,绿地世纪城c区,2室1厅1厨1卫,高楼层 (共15层),92.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-02,商品房,2022-03-09,普通住宅,暂无数据,非共有,有抵押 72万元 中信银行 客户偿还,已上传房本照片,楼层好，采光充足，精装入住，交通便利,,"1、首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%；2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%",绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,小区环境优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,,,,,
233,绿地世纪城 精装小户型 复式住宅 功能齐全 随时看房,75.8万,12464,钟楼区新闸,绿地世纪城B区,1室1厅1厨1卫,低楼层 (共11层),60.82㎡,复式,暂无数据,塔楼,西,钢混结构,精装,一梯十七户,有,暂无数据,2023-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
234,小高层 精装户型方正 中间楼层 社区配.,109.8万,12205,钟楼区新闸,绿地世纪城B区,2室2厅1厨1卫,高楼层 (共11层),89.97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五 小高层 精装户型方正 中间楼层 社区配..,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
235,精准修 采光无遮挡 随时看房！,110万,13750,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,高楼层 (共33层),80㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满二 前面小高层 采光无遮挡 社区配套全,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
236,绿地世纪城二期别墅后面一栋总高15楼,150万,16009,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,高楼层 (共15层),93.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，采光充足，精装入住，交通便利,,"1、首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%；2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%",绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,小区环境优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,,,,,
237,冶金新村两房，刚需客户看过来，房东诚售...随时看房,42万,8604,钟楼区新闸,冶金新村,1室1厅1厨1卫,中楼层 (共4层),48.82㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-08-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，楼层好，视野宽阔采光充足，配套设施齐全.,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以下成交价的1%，90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,家有老人的比较适合老人居住，配套齐全，有菜市场，公园，离医院比较近.,,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房有屋银河湾店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。
238,户型方正.采光充足 交通便利.配套齐全，合适居住,105万,12353,钟楼区新闸,绿地世纪城B区,2室1厅1厨1卫,中楼层 (共11层),85㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-10-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五 洋房户型 公摊面积小 采光充足 生活便利,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,1. 税费信息 A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套或以上3% 2.增值税：满2年免征，不满2年全额征收5.3% 3.个人所得税：不满5年征1%，满5且家庭 住房，省个税,,,,,,,,,,
239,绿地世纪城三期 小高层 不靠高架 前面采光无遮挡,98万,11383,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,中楼层 (共11层),86.1㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,一梯两户,有,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 1万元,未上传房本照片,此房满五 小高层 前面别墅区 全天采光无遮挡,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
240,绿地世纪城c区两房，装修很好拎包入住,112万,12252,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,中楼层 (共33层),91.42㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房保养好，采光好，装修好，拎包入住,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交",,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,
241,70年产权 复式精装 看房方便 诚心出售,70万,11510,钟楼区新闸,绿地世纪城B区,1室1厅1厨1卫,高楼层 (共11层),60.82㎡,复式,暂无数据,暂无数据,南 东,钢混结构,精装,两梯十六户,有,暂无数据,2023-03-01,商品房,2021-03-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,房屋是住宅，70年产权，分为楼上楼下两层，中高楼层，采光佳，居家好房子,,,042410703567,70年产权 复式精装 看房方便 诚心出售,小区出门就有公园，商场，社区医院，有小区内自带幼儿园，环境优美，出门就可上高架，小区配套成熟。,,,,,,
242,拾光里，天棚辅热和地源热泵系统，毛坯未入住,180万,14606,钟楼区新闸,光明当代拾光里,3室2厅1厨2卫,高楼层 (共23层),123.24㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,次新小区 小区中间位置 户型方正 视野采光好,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,,,,,,
243,三房两厅，123平，精装修没入住，格力空调,159万,12927,钟楼区新闸,绿地世纪城c区,3室2厅1厨1卫,高楼层 (共33层),123㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,两梯四户,有,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 业主自还,未上传房本照片,三房两厅，123平，精装修没入住，格力空调，品牌家电齐全,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.3％",,,,,小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
244,绿地精装三房低价出售，看房方便随时来,143万,11722,钟楼区新闸,绿地世纪城c区,3室1厅1厨1卫,低楼层 (共33层),122㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 业主自还,未上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局..,"配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。
小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐",,,,,"户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明。
户型朝南舒适，全天采光。房型方正视野好。客厅宽敞舒适，使用率高 卧室温馨","配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。
小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐",,,,,
245,绿地世纪城三期 边户精装小三房  经典户型 诚心出售,122万,13679,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,中楼层 (共33层),89.19㎡,平层,68.41㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-09,商品房,2015-07-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房子满五唯一，好楼层 业主诚心出售,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交",,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
246,此房远离高架的，精装自住，看房提前约,120万,13620,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,中楼层 (共33层),88.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-01,商品房,2017-10-20,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,此房远离高架的，精装自住，看房提前约,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
