,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,周边配套,交通出行,小区介绍,房源核验码,查询房管备案记录,户型介绍,适宜人群,装修描述,用水类型,用电类型,别墅类型,燃气价格
1342,永宁星座公寓，采光好，诚心出售,110万,16924,天宁区红梅,永宁星座公寓,1室1厅1厨1卫,中楼层 (共33层),65㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中楼层，采光充足，视野宽阔，配套设施齐全,,,,与武进医院一路之隔，距离欧尚*市300米，距离怡康菜市场200米。,距离火车站南广场300米，楼下有BRT和公交车站；距离地铁站300米，交通便利,小区只有一栋房子分为三个单元，环境简单，居住人群素质较高，适合居住。,,,,,,,,,
1343,楼层好，采光佳，户型方正，看房方便~,125万,15676,天宁区红梅,翠竹新村北区,2室1厅1厨1卫,中楼层 (共6层),79.74㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,通透二房，业主诚心出售，看房方便,业主现诚心出售，证件齐全，产权清晰，欢迎看房，提前预约即可......,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,地铁1号线翠竹站，.10路.29路.14路.31路公交车 共享单车.出行方便,,,,,,,,,,
1344,翠竹新村，一楼带院子，户型方正。,80万,12699,天宁区红梅,翠竹新村南区,2室1厅1厨1卫,低楼层 (共6层),63㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2022-05-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，一楼带院子，采光好充足。,,该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%,,,该楼盘地处龙城大道与永宁路交汇处800米处，多路公交站台，多个共享单车站点，交通、出行便利,,,,,小区居住人员素质较高，互帮互助，邻里和睦。 业主因置换其它房子，现诚意出售此房，看中可接受小幅度议,,,,,
1345,北环新村，两房全天采光，全明装修，业主诚售,76万,13613,天宁区红梅,北环新村,2室1厅1厨1卫,高楼层 (共5层),55.83㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2023-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 26万元 客户偿还,未上传房本照片,精装修两房全天采光全明装修；设计合理；随时看房,,,,旁边大型商场；医院；银行；菜场；多路公交聚会点；中转点；出行生活便利,,房东买房为了变现诚心出售；目前房子出租中；房价可以商量；老小区；靠火车站,,,,老小区改造过；整个小区比较清爽；实施齐全；适宜一家三口或者陪读,,,,,
1346,市政府旁位置好楼层高全天采光 满五诚售,82万,11885,天宁区红梅,锦绣花园东区,2室1厅1厨1卫,高楼层 (共6层),69㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房市政府旁 位置好 户型方正 楼层高全天采光 满五业主诚售,业主现诚心出售，证件齐，欢迎看房，随时恭候。产权十分清晰。房东人很好。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,商场：金百国际商 业广场医院：天宁区锦绣社区卫生服务站邮局：中国邮政翠竹邮政支局银行：工商银行、中国银行、建设银行其他：福建千里香馄饨王、优香蛋糕坊、常来餐馆小区内部配套：小区靠 近市政府，市中 心地段，处在交通要道上面，交通便利,,,,,,,,,,,
1347,：小区环境优雅 居住舒适. 公园旁精装保养好,225万,17717,天宁区红梅,凯旋城,3室2厅1厨2卫,高楼层 (共11层),127㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 5万元 公积金,未上传房本照片,小区环境优雅 居住舒适.小区内道路宽敞、植物绿意 公园旁,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,小区出门就有多路公交车站，向北1200米就是龙城大道高架，离火车站北广场500米，出行便利,,,房子户型很端正的，比较好，通风效果很好，小区绿化也很好的。看房比较方便的。,,,,,,
1348,通济新村一楼前后开门看房方便出行方便,188万,28924,天宁区红梅,通济新村,2室1厅1厨1卫,低楼层 (共4层),65㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2022-07-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,通济新村 位置好，交通方便，采光好带院子,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房没有抵押，没有贷款，产权清晰，产证齐全，房东诚心，过户可全程陪同,,济新村位于通江路BRT万福桥站旁边，距离小区直线距离200米左右，通江路也是我们常州的主干道。坐上快速公交可快速通往常州南北,,,,,,,,,,
1349,北环南村 2室1厅 南,78万,11642,天宁区红梅,北环南村,2室1厅1厨1卫,高楼层 (共6层),67㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2022-12-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1350,北环南村三室二厅一厨二卫 小区环境优雅 交通便利,115万,9746,天宁区红梅,北环南村,3室2厅1厨2卫,高楼层 (共6层),118㎡,复式,暂无数据,板塔结合,南 北,砖混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适！,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,世纪联华、大润发、欧尚、国美家电、美凯龙、九龙小商品城、小东门商城。,500地铁，800火车站北广场，公交11路29路B11路1111路232路,该小区为成熟社区，环境优雅，配套完善，交通便利，居住舒适。 北环南村一共35栋，1-24栋一期的，25-35栋二期。地铁口500米，火车站800米！,,,,,,,,,
1351,精装修， 三房朝南，交通便利，配套设施齐全,210万,14483,天宁区红梅,聚景苑,4室3厅1厨2卫,低楼层 (共6层),145㎡,错层,暂无数据,塔楼,南,砖混结构,精装,暂无数据,无,暂无数据,2020-04-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修， 三房朝南，交通便利，配套设施齐全..................,,,,商场：杰记水果大卖场、常购精品蔬果*市医院：武进人民医院邮局：中国邮政银行：交行、中行、工行,（2路; 1*路; 15b路; 15路; 15路芙蓉线; 63路; 208路; 209路; 254路; 255路; 310路; 31*路; 315c路; 315路; 316路; 328路; 525路; 1211路; b10路; b22路; 常州216路;,天宁晋陵北路东南侧所属区域：天宁 红梅邮 编：213000产权描述：70年物业类别：住宅建筑年代：2004年建成建筑结构：钢筋混凝土、砖混建筑类型：塔楼建筑面积：105000平方米占地面积：105000平方米,,,,,,,,,
1352,顶楼带阁楼 使用面积大，采光充足,110万,13785,天宁区红梅,坛园,2室1厅1厨1卫,高楼层 (共6层),79.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-03-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,坛园，顶楼带阁楼，使用，面积大，,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,,
1353,竹林北路28号三房楼层好，生活交通便利，看房方便,80万,7656,天宁区红梅,竹林北路28号,3室2厅1厨1卫,高楼层 (共7层),104.5㎡,平层,暂无数据,板塔结合,南,未知结构,简装,暂无数据,无,暂无数据,2019-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五不唯一，楼层好，视野宽阔，采光充足，配套设施齐全,房东改善居住环境，诚心出售，价格可以再谈，欢迎大家看房，随时恭候。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,此房没有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,常州成熟生活社区。密如繁星的网点罗列四周，优越性、便利性不言而喻。菜场、医院、公交1111、B2、H1、212、B23、209、213,,,,,,,,,,,
1354,翠竹新村婚房 中间楼层 家电齐全,79.8万,12454,天宁区红梅,翠竹新村南区,2室1厅1厨1卫,中楼层 (共6层),64.08㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,双阳台婚装 中间楼层 家电齐全 价格好谈,,"：
首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%",,2公里内有欧尚、武进医院、奥体、文化广场。 大家都知道，常州人爱吃会吃，如果你来到翠竹，就可以从清晨吃到深夜，从街头吃到街尾，中间的几条支路拐进去又能够发现更多的美食，服装也可以一起逛吃逛吃,,翠竹新村被翠竹大道分成了南北两个区，都是上世纪末的老房子，不同于现在略显高冷的高层小区，在这里你可以感受到什么是生活，什么是人情味儿，还有那些老新村独有的人间烟火气。或许生活就该多一点温度。,,,,,,,,,
1355,房东诚意出售此处不动产，客户您如有兴趣可提前预约,180万,13847,天宁区红梅,润德半岛,3室2厅1厨2卫,高楼层 (共6层),130㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-02-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚意出售此处不动产，客户您如有兴趣可提前预约看房,房东诚意出售此处不动产，客户您如有兴趣可提前预约看房，没有特殊情况都可以为您如约安排看房。目前的报价在您实地看中房屋后可进行合理的沟通。,,,,,这里所处位置的交通便捷齐全。物业管理严格，环境整洁，楼栋布局合理。安保措施标准且完善。,,,室内的户型结构、换气通风功能、门窗的采光面积、户外的视野皆可称得上是标准、合理。楼栋所处小区的位置和所在楼层数，与此处不动产本身也是高度匹配。,,,,,,
1356,地～铁口，南北通的方正户型，业主诚心出售看中可议价,145万,14267,天宁区红梅,锦绣东苑,2室2厅1厨1卫,中楼层 (共6层),101.64㎡,平层,暂无数据,板塔结合,南 东北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主因置换，现在诚心出售此房，该房屋位置很好，在地铁壹号线文化广场站，北边就是行～政中～心和图书馆。,该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%。,该房屋没有任何抵押，也没有贷款，可随时放心交易～～～～～～～～,,,,,,,,,,,,
1357,好房诚售，方便看房，看中可谈，采光不错，楼层好的,85万,11464,天宁区红梅,建材新村,2室2厅1厨1卫,高楼层 (共5层),74.15㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-01-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,"小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好
小区地理位置优越，交通便捷，辐射广，设施齐全",,,,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、*市、菜场、商场、饮食近在咫尺，生活方便
户型周正，格局分布合理，空间感好，通透性强，居住舒适；",,,,,
1358,盛世名门精装修拎包即住中间楼层,108万,24897,天宁区红梅,盛世名门,1室1厅1厨1卫,高楼层 (共28层),43.38㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯八户,有,暂无数据,2022-11-21,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 60万元,未上传房本照片,房东诚心出售，中间楼层，全天采光，价格看中可以谈,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平米以下成交价的1％，90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年或非唯一成交价的1%",,生活设施齐 银行 市 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,,,
1359,通济新村两房朝南带阁楼地理位置优越配套成熟,250万,39683,天宁区红梅,通济新村,2室1厅1厨1卫,高楼层 (共4层),63㎡,复式,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2020-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房两房朝南带阁楼，视野开阔，交通便捷。,,"税费分析1、契税:首套房，90平方以下的首套跟二套都是1%，90平米以上成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税，; 3、个税:产证满五年但不是唯一套住房, 成交价的1%",,"2公里内有红梅公园菜场:怡康小河沿菜场,锦绣菜场， *市: 2公里内有大润发*市，欧尚*市 医院: 2公里内有青山湾社区医院,武进医院，一院,二院",,,,,,,,,,,
1360,此房满五年不唯一 户型方正 装修好没住多久 格局好,132万,20000,天宁区红梅,永宁星座公寓,2室1厅1厨1卫,中楼层 (共33层),66㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,此房满五年不唯一 户型方正 装修好没住多久 格局好,,此房为商品房 交易时需缴纳契税小于90平米：首套：1%。 二套：1%。三套3% 。个税：1%。,,永宁星座是一个独栋房子，小区旁边就是武进人民医院 ，300米左右就是欧尚，可满足日常生活购物等问题。小区想东600米左右就是常州火车站北广场。出门方便。,,,,,永宁星座公寓一零年左右房子，房子一房朝南一房朝北 明厨明卫 户型方正,,,,,,
1361,永宁星座公寓 采光通风好 看房方便,136万,23051,天宁区红梅,永宁星座公寓,1室1厅1厨1卫,高楼层 (共33层),59㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2019-09-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 银行贷款 业主自还,未上传房本照片,永宁星座公寓 高楼层 采光通风好 看房方便..,,,,商场：永宁华联*市、欧尚*市医院：武进医院邮局：邮政枢纽大楼银行：交通银行、江南银行、工商银行、中国银行,B22、14路、 16路、312路、 328路公交线路均可到达，在武进医院下车即可,小区地址：天宁永宁路和竹林西路（规划道路）交叉...所属区域：天宁 天宁街道邮 编：213000产权描述：永宁星座普通住宅产权为70年物业类别：住宅建筑年代：2013年建成,,,,,,,,,
1362,精致房源，两房朝南，成熟小区，诚心出售，看房方便,59.8万,9999,天宁区红梅,红梅东村,2室1厅1厨1卫,高楼层 (共6层),59.81㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2020-09-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精致房源，两房朝南，成熟小区，诚心出售，看房方便,,,,商场：金太阳家电北环路店、中国移动通信(翠竹商场东北)、红星家具城医院：北环南村社区卫生服务站、青龙医院第二门诊部邮局：中国邮政(飞龙东路)、北环邮政支局、翠竹邮政支局银行：青龙信用社、中国银行北环路分理处、建设银行竹林新村分理处,10路、15路、24路、29路、208路，16路;208路;525路;y2路,,,,,,,,,,
1363,通济新村2-1-1-1 65.70m² 280 万,230万,35008,天宁区红梅,通济新村,2室1厅1厨1卫,中楼层 (共4层),65.7㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2021-06-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正两房朝南 南北通 采光好 楼层佳,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,适合刚需、改善、婚房等需求，拎包入住，适合老年人居住和临时居住。,,,,,
1364,翠竹新村，户型方正，采光好，装修品质高,110万,14001,天宁区红梅,翠竹新村南区,2室1厅1厨1卫,低楼层 (共6层),78.57㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,无,暂无数据,2022-07-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,翠竹新村，户型方正，采光好，装修品质高,小区居住人员素质较高，互帮互助，邻里和睦。 业主因置换其它房子，现诚意出售此房，看中可接受小幅度议,该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%,,,该楼盘地处龙城大道与永宁路交汇处800米处，多路公交站台，多个共享单车站点，交通、出行便利,,,,,,,,,,
1365,红梅西村，中间楼层，采光好，看房方便,73万,11152,天宁区红梅,红梅西村,2室1厅1厨1卫,中楼层 (共6层),65.46㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-02-23,商品房,2022-02-23,普通住宅,满两年,共有,无抵押,已上传房本照片,中间楼层，采光好，房东诚心出售，看房方便,,,,红梅商场、金叶连锁(林园商场东南)、大润 发 、红星家具装饰城、金太阳家电北环商场、九龙小商品批发市场、世纪联华，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,9路、10路、11路、15路、24路、29路、208路、216路,,,,,,,,,,
1366,地铁1号旁，位置好，户型佳，采光好,93万,12484,天宁区红梅,北环南村,2室1厅1厨1卫,高楼层 (共6层),74.5㎡,平层,暂无数据,板塔结合,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2021-08-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地铁1号旁，位置好，户型佳，采光好,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,红梅商场、、红星家具装饰城、，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,,1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，楼层位置不影响采光，,,,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。, 2，小区成熟，购物交通便利，上学近，步行就可到达 3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。",,,,,
1367,县北新村，2室，好楼层，房东诚心卖,268万,37578,天宁区红梅,县北新村,2室1厅1厨1卫,中楼层 (共5层),71.32㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2021-09-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,博爱实验 2室，中间楼层 采光好，明厨明卫。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,2公里内有红梅公园 菜场：西新桥公寓菜场 ，锦绣菜场：2公里内有大润发欧尚。 医院：2公里内有青山湾社区医院，武进医院，一院 ，二院,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
1368,金百商业广场 2室2厅 南,95万,12026,天宁区红梅,金百商业广场,2室2厅1厨1卫,高楼层 (共34层),79㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有,暂无数据,2023-06-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1369,业主现诚心出售，证件齐，欢迎看房，随时恭候,245万,44065,天宁区红梅,县北新村,2室1厅1厨1卫,高楼层 (共4层),55.6㎡,复式,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2021-05-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，..,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
1370,竹林新村 全南2房 采光充足 可拎包入住 出门菜场,108万,12573,天宁区红梅,竹林新村,2室1厅1厨1卫,高楼层 (共6层),85.9㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,无,暂无数据,2021-06-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,两房朝南，连体阳台，高楼层采光充足视野好。,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,小区门口自带中型生活chao市，烟酒店等，小区离红梅公园，大润发chao 市，红星美凯龙，火车站北广场都不足1.5公里，有农业银行，中国银行，工商银行，红梅医院，红梅菜场，等等配套，很便利！,小区出门就有多路公交车站，向北1200米就是龙城大道高架，离火车站北广场500米，出行便利,,,,,,,,,,
1371,繁华地段，钻石楼层，采光视眼都很好.........,145万,21359,天宁区红梅,水清木华,1室2厅1厨1卫,高楼层 (共26层),67.89㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2020-12-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"：
繁华地段，钻石楼层，采光视眼都很好.........",随时看房，业主随时可以签约，接受贷款，诚心出售。看中即可谈，精装，房东自住,"税费解析：
契税：首套房90M以下1％、90M以上 1.5％二套房90M以下1％、90M以上2％三套房不论面积统一3％.2.税：满二年不论面积全免、不满二年收全额的5.6％、3、个人所得税：满二年不满5年1％（视情况而定个税可清）、满五免个人所得税",,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、*市、菜场、商场、饮食近在咫尺，生活方便",,,,,,,,,,,
1372,欧尚地铁口 晋陵北苑精装两室 拎包即住,160万,25600,天宁区红梅,晋陵北苑,2室1厅1厨1卫,中楼层 (共27层),62.5㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯十户,有,暂无数据,2021-04-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 35万元 业主自还,未上传房本照片,此房满2年 精装装修两房 楼下地铁 欧尚*市 文化广场,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"公园：小区自带一个青山公园 ,2公里内有红梅公园菜场：怡康菜场 ，锦绣菜场，*市：2公里内有大润发*市 欧尚*市。医院：2公里内有青山湾社区医院，武进医院，一院 ，二院",小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
1373,户型方正   楼层佳  地铁一号线口,135万,12108,天宁区红梅,永宁花园（桃李园）,3室2厅1厨1卫,高楼层 (共6层),111.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-06-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,永宁花园（桃李园），一号线，二/实/小，配套齐全,,1：90平以下首套二套1%，三套及以上3%90平以上首套1.5%，二套2%，三套及以上3%2：个税：全额的1%，满五年套住宅免征3：税：不满两年5.3%，满两年免征此房满五年，没有增值税，只有个人所得税和契税,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,29路、31路、231路公交线路。轨道1号线翠竹站口，出门即可乘车。交通便利,,,,户型方正，空间感好，通透性好，居住舒适。楼层佳，视野开阔，前面无遮挡，采光效果好。 2.专业打造一个居住的成熟社区，亭台楼阁，花园水系，社区环境好，配套齐全，银行c市等方便。,,,,,,
1374,精装两房 满2年 业主诚售 看房方便 博小,265万,27863,天宁区红梅,盛世名门,2室1厅1厨1卫,中楼层 (共11层),95.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,南北通2房 业主诚意出售，低楼层采光不挡。近1号线翠竹站,,,,商场：红梅商场、金叶连锁(林园商场东南)、大润发*市、红星家具装饰城、金太阳家电北环商场、九龙小商品批发市场、世纪联华*市医院：武进人民医院、天宁区锦绣社区卫生服务站、武进区人民医院邮局：红梅邮政支局银行：中国银行(北环路),公交有19路、53路、302路，11路，31路，1111路，近1号线翠竹站600米,,,,,,,,,,
1375,刚需 景福苑中间楼层 价格可谈,100万,14899,天宁区红梅,景福苑,1室2厅1厨1卫,低楼层 (共16层),67.12㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-08-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层好 朝南房间，采光好，出行方便， 红梅公园,,此房满5年，无增值税。契税首套1.5%，二套2%，三套3%。个税1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,出门过马路就是红梅公园；过马路还有大润发，邻火车站，交通便利，配套齐全,,,,,,,,,,,
