,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,户型介绍,周边配套,小区介绍,适宜人群,装修描述,交通出行,房源核验码,查询房管备案记录,别墅类型,用水类型,用电类型,燃气价格
347,恐龙园旁 世茂广场精装公寓 房东急售,40.9万,6898,新北区恐龙园,世茂广场,1室1厅1厨1卫,中楼层 (共28层),59.27㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,六梯二十四户,有,暂无数据,2023-03-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 9万元,未上传房本照片,本房属于公寓房首付五成付款方式可付全款也可商贷........,,交通方便，公交brt一应俱全，出行很是方便，不用担心出行，为以后的购物生活打下了基础,,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%,,,112475271686,楼层好 视野好 恐龙园旁 配套齐全 商场 近在咫尺,,,,
348,楼层好采光佳，经典两房，拎包入住，价格可谈！,129万,15079,新北区恐龙园,世茂香槟湖一期,2室2厅1厨1卫,中楼层 (共31层),85.55㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好采光佳，小区环境优雅，配套成熟，交通便利，居住舒适,房东人非 常友好、热情，很有诚意出售。欢迎看房，成熟小区管理,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置好，位于交通便利，出小区就是BRT站牌，小区配套设施齐全，银行、菜市、医院、商务会所，小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！,,,,,,,,,,
349,世茂二期！明厨明卫！全朝南户型！拎包入住！看房方便,126万,14824,新北区恐龙园,世茂香槟湖二期,2室2厅1厨1卫,低楼层 (共33层),85㎡,平层,暂无数据,塔楼,南,混合结构,精装,两梯三户,有,暂无数据,2023-11-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,自住装修，全朝南户型，配套完善 生活设施完整 出行方便,,目前在常州首房首贷首付3成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,小区地理位置方便 绿化好 居住方便此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,
350,世茂香槟湖 无遮挡 视野好 满五唯一,125万,14725,新北区恐龙园,世茂香槟湖一期,2室2厅1厨1卫,低楼层 (共31层),84.89㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-26,商品房,2016-07-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,
351,！房东熟悉！随时看！交通生活便捷！,155万,16316,新北区恐龙园,世茂香槟湖五期,3室2厅1厨1卫,高楼层 (共29层),95㎡,平层,暂无数据,板塔结合,南,框架结构,毛坯,两梯五户,有,暂无数据,2023-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,,
352,世茂二期 品质精装现代风格 楼层好全朝南户型 诚心卖,149万,17739,新北区恐龙园,世茂香槟湖二期,2室2厅1厨1卫,中楼层 (共33层),84㎡,平层,暂无数据,塔楼,南,混合结构,精装,两梯三户,有,暂无数据,2023-12-22,商品房,2017-11-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子是精装修的，品质新装现代风格，楼层好采光无遮挡。,房东目前自己居住，装修是近几年的新装修，都是亲历亲为，保养好，现置换改善出售。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,小区是世茂开发商开发的，2014年7月交付，目前物业公司是世茂自己的物业世茂物业，物业费1元/平方米/月,,,,,,,,,
353,小区环境优雅，配套成熟，交通便利，居住舒适,178万,14215,新北区恐龙园,世茂香槟湖一期,3室1厅1厨2卫,中楼层 (共31层),125.22㎡,平层,92.83㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-04,商品房,2011-05-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,
354,世茂香槟湖2期 四朝南 全屋实木家具 保养清爽 随时看,170万,15455,新北区恐龙园,世茂香槟湖二期,3室2厅1厨1卫,高楼层 (共28层),110㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,世茂香槟湖2期 四朝南 全屋实木家具 保养好 随时看,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,小区是世茂开发商开发的，目前物业公司是世茂自己的物业世茂物业，物业费1元/平方米/月,,,,,,,,,
355,世茂香槟湖二期 3室2厅 南 北,208万,16378,新北区恐龙园,世茂香槟湖二期,3室2厅1厨1卫,高楼层 (共33层),127㎡,平层,暂无数据,塔楼,南 北,混合结构,精装,两梯三户,有,暂无数据,2023-11-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
356,龙湖原山 4室2厅 南 北,550万,23110,新北区恐龙园,龙湖原山,4室2厅1厨3卫,低楼层 (共17层),238㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2024-02-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
357,世茂香槟湖一期 2室1厅 东南,135万,15781,新北区恐龙园,世茂香槟湖一期,2室1厅1厨1卫,中楼层 (共31层),85.55㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
358,世茂香槟湖一期 2室2厅 南,122万,14476,新北区恐龙园,世茂香槟湖一期,2室2厅1厨1卫,高楼层 (共32层),84.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
359,印山风华小洋房 精装修交付 诚心出售,462万,20573,新北区恐龙园,嘉宏·印山风华,5室2厅1厨3卫,低楼层 (共11层),224.57㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,印山风华小洋房 精装修交付 诚心出售,,该房是纯商品房，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,,,,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,,
360,楼层好，视野旷阔，采光充足，交通便利,250万,15823,新北区恐龙园,世茂香槟湖一期,4室2厅1厨2卫,中楼层 (共31层),158㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野旷阔，采光充足，交通便利,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
361,时代上院简装四房南北透看房方便,300万,20773,新北区恐龙园,九龙仓时代上院,4室2厅1厨3卫,高楼层 (共13层),144.42㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-12-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 可以自还,未上传房本照片,此房满五年，四开朝南，全天采光，看房方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,商场： 万达广场、乐购、每家玛 医院：三井医院、常州市人民医院、华山医院 邮局：常州邮政储蓄新区支行银行：建设银行、农业银行、工商银行 其他：常州大剧院、龙汤温泉小区内部配套：马哥孛罗酒店、常州市国宾馆、高档会所,,,,东依龙沧路、南靠河海东路、西临巫山路、北近珠江路，公交乘坐可选择33路、302路、B12路、215路 恐龙园站下车,,,,,,
362,边户三面采光 设计合理现代风格 楼层好 保养很好诚售,299万,21667,新北区恐龙园,世茂香槟湖四期,4室2厅1厨2卫,中楼层 (共33层),138㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-09,商品房,2018-01-31,普通住宅,暂无数据,共有,无抵押,已上传房本照片,品质精装 4房2卫 边户  景观房 设施齐全，拎包住。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房90㎡以下1%，以上1.5% 二套房90㎡以下1%，以上2% 三套房不论面积大小均为3% 2.增值税及附加： 不满2年的5.6% 3.个人所得税1%,,,,,,精装修品牌家具家电；全明设计；空间设计利用合理；适合一家三口带老人居住,,,,,,,
363,世茂经典三开间朝南户型！湖景视野！东边户！采光好！,190万,14064,新北区恐龙园,世茂香槟湖一期,3室2厅1厨1卫,中楼层 (共31层),135.1㎡,平层,100.15㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-01-02,商品房,2010-04-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,
364,欧式装修 楼层佳 采光很好 目前空置 诚意出售,218万,15619,新北区恐龙园,世茂香槟湖二期,3室2厅1厨1卫,高楼层 (共22层),139.58㎡,平层,103.72㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-17,商品房,2014-10-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,装修漂亮，采光好，诚心出售，户型方正，诚心出售，预约看房。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,"位置：小区地理位置佳，绿化多，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地",,装修新，保养得好，配套齐全，房子打扫的干净清爽，空置状态，拎包就能入住。,,,,,,,
365,小区前排 视野开阔 房东人好诚心出售有钥匙看房方便,150万,16900,新北区恐龙园,九龙仓时代上院,3室2厅1厨2卫,低楼层 (共32层),88.76㎡,平层,68.65㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-14,商品房,2018-06-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一 小区前排全天采光 交通方便 恐龙园边吃喝玩乐,业主闲置，满五唯一  交通方便 购物方便  诚心出售，可全程陪看，欢迎随时看房，随时恭候,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，无抵押，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
366,恐龙园旁，世茂二期，精装4房，楼层好，户型好采光好,220万,15877,新北区恐龙园,世茂香槟湖二期,4室2厅1厨2卫,中楼层 (共28层),138.57㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-08,商品房,2017-06-08,普通住宅,暂无数据,共有,有抵押 8万元 公积金 业主自还,已上传房本照片,此房满五唯一，价格可谈，装修好，配套设施齐全，交通便利,,该房是纯商品房，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,,,,,,,,,
367,时代上院 前排 高层 户型方正 采光全天 业主诚心出售,149.5万,16989,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,高楼层 (共32层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区前排全天采光 交通方便 恐龙园边吃喝玩乐,业主闲置，满五唯一 交通方便 购物方便 诚心出售，可全程陪看，欢迎随时看房，随时恭候,"：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，无抵押，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
368,万达旁世茂香槟湖满五唯一精装好房,218万,18128,新北区恐龙园,世茂香槟湖一期,3室2厅1厨2卫,中楼层 (共29层),120.26㎡,平层,暂无数据,板塔结合,南 东南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-06,商品房,2020-01-09,普通住宅,满两年,共有,无抵押,已上传房本照片,满两年，纯毛坯，空气流通性好，双阳台，视野宽阔，居住舒适,,,,此房为毛坯房 户型好 随意装修 有钥匙 中间楼层此房为毛坯房 户型好 随意装修 有钥匙 中间楼层,"小区配套成熟，商场，幼儿园，菜场，银行，医院，出门就是公交BRT,满足您的一切需求。",小区楼龄新，绿化好，安静舒适，物业管理好，小区有健身器材，可供小区居民使用。,,,,,,,,,
369,香树湾福园，中上楼层，东西全留，带一个车位,147万,17131,新北区恐龙园,香树湾福园,3室1厅1厨1卫,高楼层 (共16层),85.81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-23,商品房,2022-01-24,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,房子是满两年的 恐龙园边 出行方便 地段优越,,目前在常州首房首贷首付2成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,三房两厅一卫户型 很实用 没有浪费空间 精装修 保养好 地段优越,,,,,门口就是BRT12总站 出行方便 公交车也就在门口 上高架1.5公里,,,,,,
370,世茂香槟湖二期 2室2厅 南,170万,19608,新北区恐龙园,世茂香槟湖二期,2室2厅1厨1卫,低楼层 (共18层),86.7㎡,平层,暂无数据,板楼,南,钢混结构,精装,十五梯三户,有,暂无数据,2024-01-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元 客户偿还,未上传房本照片,,,,,,,,,,,,,,,,
371,稀有复试房！50万装修全留！带地下产权车位！随时看房,258万,19417,新北区恐龙园,世茂香槟湖四期,4室2厅1厨2卫,中楼层 (共33层),132.88㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-01-15,商品房,2018-01-23,普通住宅,暂无数据,共有,有抵押,已上传房本照片,中间好楼层，经典复试两层，小家碧玉风格，领包入住，房东诚意卖,,目前在常州首房首贷首付2成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,,区环境小区环境优美 小区有一个大花园 2.小区教育资源成熟 医院 警察局 银行 饭店 3.小区配套设施完善、环境优美 房，七十年产权商品房 4.三房朝南、客厅朝东，全明户型,,此房精装修50万 基本未住过 目前空置 业主处理多余资产，故忍痛出售，期待有缘人。此房装修保养好，直接可以拎包入住，减少装修烦恼。,,,,,,,
372,恐龙园旁 前排别墅区 采光无遮挡 景观房,97万,10898,新北区恐龙园,香树湾花园,2室1厅1厨1卫,低楼层 (共25层),89.01㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-09,商品房,2022-02-10,普通住宅,暂无数据,共有,有抵押 63万元 业主自还,已上传房本照片,房子朝南落地大窗采光，前面没什么遮挡，而且房子户型很好,业主心态：房东置换，诚心出售，价格可以再谈，欢迎看房，随时恭候。,税费信息：关于本房税费分析详情，请电话联系我，我将提供详细的税费情况。 1. 契税： A首套 90平米以下 1% B首套 90平米以上 1.5% C二套 90平米以下 1% D二套 90平米以上 2% E三套 不看面积大小都是3% 2. 税： 满2年免征； 不满2年，全额征收5.3% ..,,,,离商圈近的小区，步行也就几步路程，而且上下班相对来说人流量比较小。 小区绿化多，进入小区犹如来到了公园，身心感到舒畅，空气清新，有益身体健康，晨练夕闲没有比这更适合的小区 前排别墅区无遮挡,,,,,,,,,
373,印山风华小洋房 精装修交付 诚心出售,680万,36638,新北区恐龙园,嘉宏·印山风华,4室2厅1厨3卫,低楼层 (共11层),185.6㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-30,商品房,2022-08-09,普通住宅,未满两年,共有,有抵押,已上传房本照片,印山风华小洋房 精装修交付 诚心出售,,该房是纯商品房，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,,,,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,,
374,恐龙园旁世茂香槟湖一期 小高层 诚心出售,220万,16713,新北区恐龙园,世茂香槟湖一期,3室1厅1厨2卫,低楼层 (共11层),131.64㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-05,商品房,2021-01-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好，视野旷阔，采光充足，交通便利,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
375,恐龙园旁世茂香槟湖一期 高楼层精装修 采光好 诚心售,310万,20080,新北区恐龙园,世茂香槟湖一期,4室2厅1厨2卫,高楼层 (共31层),154.39㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-01-14,商品房,2018-09-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好，视野旷阔，采光充足，交通便利,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
376,精致三房 领包住 品牌家电全留 拼手速 随时看房,148万,16840,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,中楼层 (共26层),87.89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-04,商品房,2016-09-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好，视野旷阔，采光充足，交通便利,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
377,新北区恐龙园世茂香槟湖纯毛坯140平有钥匙随时可看,210万,14912,新北区恐龙园,世茂香槟湖二期,3室2厅1厨2卫,高楼层 (共22层),140.83㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2024-01-10,商品房,2017-10-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,
378,世茂二期绿化好 精装50万 有车位,288万,16023,新北区恐龙园,世茂香槟湖二期,5室2厅1厨2卫,低楼层 (共18层),179.75㎡,平层,145.02㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-29,商品房,2015-10-15,普通住宅,暂无数据,共有,有抵押 40万元 公积金贷款40几万 客户偿还,已上传房本照片,"业主已经买了新房，诚心出售，可全程陪看，欢迎看房

小区环..",,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便 交通方便 道路不拥堵,小区是开发商自己的物业，世茂物业，全天24小时安保。地理位置优越，环境优美，二期绿化好。紧靠紫荆公园与恐龙园，旁边就是东经120，与在建的龙湖天街与大型菜场，还有规划的地铁6号线。,,,,,,,,,
379,前排全天采光， 自住精装带地暖，家具家电全留,179万,17045,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,高楼层 (共32层),105.02㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-19,商品房,2017-11-10,普通住宅,未满两年,非共有,有抵押 50万元,已上传房本照片,业主改善置换，诚心出售，可全程陪看，欢迎随时看房，随时恭候，哈哈哈,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,112433941117,此房满五唯一楼层好前排采光刺眼,,,,
380,世茂香槟湖二期小高层 精装 中间楼层,258万,19055,新北区恐龙园,世茂香槟湖一期,3室2厅1厨2卫,中楼层 (共17层),135.4㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯两户,有,暂无数据,2023-11-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层视野开阔 采光充足 设施齐全 房东诚心出售,,"税费项：
首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%",,,"恐龙园板块，生活设施齐 ，山外有山市集， 饮食近在咫尺, 生活起居很方便",小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
381,一楼带大院子，小区环境优雅，配套成熟，交通便利,188万,17778,新北区恐龙园,世茂香槟湖一期,3室2厅1厨1卫,低楼层 (共8层),105.75㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,2016-10-21,普通住宅,暂无数据,非共有,有抵押 40万元 江苏银行 业主自还,已上传房本照片,格局分布合理，小区环境优雅，配套成熟，交通便利,业主置换诚意出售，证件齐全，欢迎看房，户型方正，采光佳，成熟小区管理,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
382,香槟湖五期 精装修全屋带地暖中*空调品牌卫浴 诚心售,300万,18692,新北区恐龙园,世茂香槟湖五期,3室2厅1厨2卫,低楼层 (共33层),160.5㎡,平层,121.51㎡,板塔结合,南,框架结构,精装,两梯五户,有,暂无数据,2024-01-05,商品房,2019-03-27,普通住宅,暂无数据,共有,有抵押,已上传房本照片,楼层好，视野旷阔，采光充足，交通便利,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
