,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,房源核验码,查询房管备案记录,适宜人群,税费解析,权属抵押,交通出行,售房详情,装修描述,别墅类型,用水类型,用电类型
1276,次新房刚交付 品质洋房 小区环境优美，看房方便,287万,20500,钟楼区北港,璞悦缦宸,3室2厅1厨2卫,中楼层 (共10层),140㎡,平层,暂无数据,板楼,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型通透 采光无遮挡双阳台品质洋房,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,,,,".契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1277,梧桐香郡3房 朝南 新装修 户型方正 无遮挡,168万,16000,钟楼区北港,梧桐香郡东区,3室2厅1厨1卫,高楼层 (共22层),105㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型格局好，优质户型，户型方正，通透明亮业主现诚。,,,综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄。 500米内就有地铁口、中吴大道，交通便捷。运河公园环境，闹中取静,,,,"契税：首套房，90平米以下成交价的1％。 2.90平米以上成交价的1.5％, 二套房90平以上成交价的2%。 3.增值税：产证满2年免收增值税，未满2年征收5.6％",,地处交通发达地段，在常州“金腰带”中吴大道南边，和平路地铁一号线西侧，中吴大道横穿东西，链接东西高架，地铁一号线贯穿南北，链接新北，市区，武进，抵达常州任何地方都方便,,,,,
1278,保利公园九里 3室2厅 南,181万,16375,钟楼区北港,保利公园九里,3室2厅1厨2卫,中楼层 (共33层),110.54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 客户偿还,未上传房本照片,,,,,,,,,,,,,,,
1279,雅居乐棠颂 低楼层 精装房 采光良好  配套齐全,148万,16985,钟楼区北港,雅居乐·路劲棠颂,2室2厅1厨1卫,低楼层 (共20层),87.14㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-31,商品房,2021-08-12,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房户型方正 两室两厅一厨意卫 低楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1280,凯尔枫尚花园 3室2厅 南,140万,12559,钟楼区北港,凯尔枫尚花园,3室2厅1厨1卫,高楼层 (共21层),111.48㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-15,商品房,2021-09-09,普通住宅,暂无数据,共有,有抵押 客户偿还,已上传房本照片,,,,,,,,,,,,,,,
1281,雨润城，楼层好，精装修保养很好，价格可谈，看房方便,118万,13201,钟楼区北港,雨润城,2室2厅1厨1卫,中楼层 (共32层),89.39㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,雨润城，楼层好，精装修保养很好，价格可谈，看房方便,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行  美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,,,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1282,梧桐香郡东区 3室2厅 南,258万,19546,钟楼区北港,梧桐香郡东区,3室2厅1厨1卫,中楼层 (共22层),132㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
1283,青枫公园旁申达林与城精装三房，户型正拎包入住,155万,14122,钟楼区北港,申达林与城,3室2厅0厨1卫,中楼层 (共24层),109.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-16,商品房,2021-07-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型佳，采光好。随时可看 青枫公园边,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,,,,,,
1284,全天采光，地暖中佒空调！保利公园九里精装三房诚售,179.8万,16050,钟楼区北港,保利公园九里,3室2厅1厨2卫,低楼层 (共26层),112.03㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-02-29,商品房,2018-10-18,普通住宅,满五年,非共有,有抵押 80万元,已上传房本照片,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,,,042494137955,青枫公园边 地铁口 BRT 精装保养好 家具家电齐全,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,,,,
1285,新上精装修三房前排采光视野好诚心出售,143万,11440,钟楼区北港,万水美兰城,3室2厅1厨2卫,低楼层 (共32层),125㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"：
全明格局三房，视野开阔，采光充足，交通便利",,"：
采光充足，配套齐全，客厅带阳台，视野开阔，三室两厅两卫户型格局好","：
1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税",,,,"：
1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税",,,,,,,
1286,青枫公园 地铁口 宝龙广场旁 精装大平层,250万,12657,钟楼区北港,申达林与城,4室2厅1厨2卫,低楼层 (共25层),197.52㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2024-02-25,商品房,2016-03-03,普通住宅,满五年,共有,无抵押,已上传房本照片,全明格局四房，视野开阔，采光充足，交通便利,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1287,含两个车位，精装洋房婚房 视野好全天采光 冠英明德,316万,22170,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共8层),142.54㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-23,商品房,2024-02-01,普通住宅,未满两年,非共有,有抵押 159万元,已上传房本照片,棠颂洋房 全新精装 南北阳台四开间 大四房,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐,四开间朝南双阳台客厅朝南带阳台，主卧朝南。主卧带小阳台 南北双阳台， 厨房卫生间都带窗，采光好无遮挡,,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
1288,保利公园九里 3室2厅 南,155万,15514,钟楼区北港,保利公园九里,3室2厅1厨2卫,高楼层 (共27层),99.91㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-14,商品房,2019-07-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
1289,青枫公园 地铁口 枫林雅都 精装3房,130万,10638,钟楼区北港,枫林雅都,3室2厅2厨1卫,中楼层 (共24层),122.21㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2024-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正，三室两厅一厨两卫 中间楼层 采光充足 配套..,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1290,保利公园九里 4室2厅 南,249.9万,18202,钟楼区北港,保利公园九里,4室2厅1厨2卫,低楼层 (共27层),137.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
1291,青枫公馆精装大三房，户型正采光足,138万,11526,钟楼区北港,青枫公馆青枫花园,3室2厅1厨1卫,中楼层 (共32层),119.73㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-11,商品房,2013-08-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精装拎包住，楼层好，位置好，前面没有遮挡，视线采光好,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩,,,,,,面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。,,,,客厅宽敞大方，明亮通透，采光效果好，视野宽阔，使用率高，舒适安静,,,
1292,冠英 明德 全新精装 拎包入住 诚心出,178.5万,18907,钟楼区北港,中南红熙台,3室2厅1厨1卫,中楼层 (共26层),94.41㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯六户,有,暂无数据,2024-01-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房是全新装修的，根本没住过，买了就能入住,小区为中南开发商，龙湖物业，环境优美，低密度社区，觅小北郊！,,,,,,1.契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.税： 满两年免 不满二年 收全额的5.3% 3.个人所得税： 满两年1% 满五免个人所得税,,,此房买了就是为了给小孩上学的，现在小孩在上初中了，也不住这边，就想着卖了变现！,,,,
1293,楼层好，视野开阔，前后距离宽敞，房东诚心出售，..,314万,22209,钟楼区北港,美的旭辉天赋,4室2厅1厨2卫,低楼层 (共8层),141.39㎡,平层,暂无数据,板楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-05,商品房,2021-03-29,普通住宅,暂无数据,共有,有抵押,已上传房本照片,楼层好，视野开阔，前后距离宽敞，房东诚心出售，..,小区是美的+旭辉联合开发，2021年年底交房，属于低密居所，花园景观，生态宜居。共14幢：8幢20层高的高层、5幢8层高、1幢6层高，6幢洋房，一共860户。品质永升物业管理，人车分流，闹中取静。,,小区配套完善，近宝龙广场以及在建的中吴广场 北边就是梧桐苑东区菜市场，近觅小北郊，出门800米龙江高架，贯穿全城,,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,
1294,金玉苑 2室1厅 南,50万,9537,钟楼区北港,金玉苑,2室1厅1厨1卫,低楼层 (共6层),52.43㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
1295,凯尔枫尚花园 3室2厅 南,145万,12947,钟楼区北港,凯尔枫尚花园,3室2厅1厨1卫,中楼层 (共24层),112㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯三户,有,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
1296,青枫公园地铁口精装修大3室装修质地好没怎么住保养好,170万,14108,钟楼区北港,凯尔枫尚花园,3室2厅1厨2卫,中楼层 (共26层),120.5㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯三户,有,暂无数据,2024-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,青枫公园旁 地铁口 精装修大3室小区中间位置 边户 房东诚心出售,,户型方正，楼层好，采光视野好，宽敞明亮，居住舒适。空间利用好,1.公园：小区东门出门就是青枫公园2.地铁：小区东门出门50米就是地铁2号线青枫公园站3.购物：宝龙广场。龙湖天街4.医院：妇幼保健医院,,,,,,小区就在星港路南侧，离龙江路高架约1公里，上高架通达全城，交通便利。小区门口就是地铁站2号线。,,,,,
1297,此房精装婚房，西边户无遮挡，楼层好，诚心出售,180万,15385,钟楼区北港,景瑞英郡花苑,3室2厅1厨2卫,低楼层 (共32层),117㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装婚房，西边户无遮挡，楼层好，诚心出售,,3房精装， 楼层好，采光充足，配套齐全，三室二厅二卫。卧室带阳台，视野开阔,妇幼保健院旁成熟社区，龙湖天街，宝龙广场，青枫公园，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,,,诚心出售，价格可以再谈，欢迎看房，随时恭候本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为主，产权清晰。无任何纠纷.放心考虑,,,,
1298,精装边户，看房方便！公园宝龙旁万水美兰城三房诚售,165万,12118,钟楼区北港,万水美兰城,3室2厅1厨2卫,高楼层 (共32层),136.17㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行，满足生活所需,,,,买家首套契税：三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税，二套契税：面积＜ 90平米1%，面积≥90平米2%；，面积＜ 90平米1%，面积≥90平米1.5%；,,附 近Y1、213路，550路，90路等公交车，还有BRT，地铁2号线青枫公园站,,,,,
1299,妇幼旁 梧桐香郡东区 小高层12楼 精装修房东诚心出售,150万,15152,钟楼区北港,梧桐香郡东区,3室2厅1厨1卫,高楼层 (共16层),99㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型格局好，优质户型，户型方正，通透明亮业主现诚。。。,环境按照规划整理后，环境优美！环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,,,,,"契税：首套房，90平米以下成交价的1％。 2.90平米以上成交价的1.5％, 二套房90平以上成交价的2%。 3.增值税：产证满2年免收增值税，未满2年征收5.6％",,,,,,,
1300,此房满五唯一，采光充足， 配套齐全,120万,11321,钟楼区北港,枫逸人家,3室2厅1厨1卫,中楼层 (共11层),106㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯两户,有,暂无数据,2024-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，采光充足， 配套齐全,,,小区北门和东门是商Y配套，南边有刚新建好的停车场，菜场在北边星港花苑,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,小区北边就是星港路，东边就是玉龙路，南边就是香樟路，北边有公交站台,,,,,
1301,青枫公馆精装 一居室 高楼层 采光好 配套齐全,95万,15080,钟楼区北港,青枫公馆青枫花园,1室2厅1厨1卫,中楼层 (共24层),63㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正 一室一厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1302,景瑞英郡自己的物业，小区有别墅精装3房2卫,185万,15631,钟楼区北港,景瑞英郡花苑,3室1厅1厨2卫,中楼层 (共32层),118.36㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,一梯四户,有,暂无数据,2024-03-11,商品房,2019-05-24,普通住宅,暂无数据,非共有,有抵押 100万元 江苏 业主自还,已上传房本照片,全明格局三房，视野开阔，采光充足，交通便利,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1303,凯尔枫尚花园 2室1厅 南,115万,13208,钟楼区北港,凯尔枫尚花园,2室1厅1厨1卫,低楼层 (共22层),87.07㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯三户,有,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
1304,看房方便 诚心出售 地理位置优越,109万,11589,钟楼区北港,港龙华庭,3室2厅1厨1卫,高楼层 (共18层),94.06㎡,平层,79.3㎡,板塔结合,南,钢混结构,简装,两梯五户,有,暂无数据,2024-02-23,商品房,2011-06-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,看房方便 诚心出售 地理位置优越,,,,,,喜欢地铁边上的房子可以考虑，自住首付40多万精装，家具家电全留，可以拎包入住。,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,房子产权清晰，无纠纷，交易安全方便，接受任何付款方式，随时签约。,,,,,,
1305,雅居乐·路劲棠颂 3室1厅 南,178万,16331,钟楼区北港,雅居乐·路劲棠颂,3室1厅1厨2卫,高楼层 (共20层),109㎡,平层,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-02-22,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
1306,婚装家具店全留梧桐香郡景瑞曦城旁 价格好谈,98万,11396,钟楼区北港,万水美兰城,2室1厅1厨1卫,高楼层 (共32层),86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装清枫公园客厅宽敞舒适2房精装清枫公园客厅宽敞舒适2房,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,"契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，故缴税成交价的1%。",,,,,,,
1307,保利和光晨樾东区 3室2厅 南,195万,17236,钟楼区北港,保利和光晨樾东区,3室2厅1厨2卫,高楼层 (共17层),113.14㎡,平层,暂无数据,暂无数据,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
1308,金茂府东区 3室1厅 南,183万,18300,钟楼区北港,金茂府东区,3室1厅1厨2卫,中楼层 (共18层),100㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
1309,雨润城 2室1厅 南 北,116万,13161,钟楼区北港,雨润城,2室1厅1厨1卫,低楼层 (共32层),88.14㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-03-01,商品房,2024-03-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
1310,景瑞英郡花苑 3室2厅 南,150万,13216,钟楼区北港,景瑞英郡花苑,3室2厅1厨1卫,中楼层 (共32层),113.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
1311,万泰国际广场檀香湾 3室1厅 南,172万,12933,钟楼区北港,万泰国际广场檀香湾,3室1厅1厨2卫,中楼层 (共33层),133㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
1312,金茂府，青枫板块改善优选，精装交付，房东诚心出售,185万,18405,钟楼区北港,金茂府东区,2室2厅1厨2卫,低楼层 (共16层),100.52㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,2022-01-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,此房户型方正 三室两厅一厨两卫 高楼层 采光充足 配套完善,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,交通方便 500米上龙江高架 有多条公交线路 路况四通八达 出租车随叫随到 方便快捷,,,,,
1313,宝龙国际花园二期精装三房，高性价诚心出售,135万,14847,钟楼区北港,宝龙国际花园二期,3室2厅1厨1卫,中楼层 (共32层),90.93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-21,商品房,2017-04-01,普通住宅,满五年,共有,有抵押 40万元 中国银行 客户偿还,已上传房本照片,本房源是精装修，房子保养好，期精装修三室二厅一卫,小区生活设施齐全，各大银行、市场、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房间每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点。,本房源位于小区内，全天采光，视野无遮挡。 2、户型方正、朝南采光好 3、此房源为本小区为数不多的好房，产权明晰,,,,本房源位于小区内，全天采光，视野无遮挡。 2、户型方正、朝南采光好 3、此房源为本小区为数不多的好房，产权清晰,【二手房交易所需税费】 1、 首套房90M以下1％、90M以上1.5％； 2、 二套房90M以下1％、90M以上2％； 3、 三套房不论面积统一3％. 4、个税：满二年不满5年1,,,,,,,
1314,青枫公园 景观房 大2房 拎包入住,120万,12406,钟楼区北港,景瑞曦城,2室2厅1厨1卫,中楼层 (共16层),96.73㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 两室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1315,枫逸人家 3室2厅 南,128万,10365,钟楼区北港,枫逸人家,3室2厅1厨2卫,高楼层 (共6层),123.5㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-20,商品房,2021-11-21,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,,,,,,,,,,,,,,,
