,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
1147,天宁吾悦板块，九州御河湾花园，精装三房，业主诚心！,125万,13920,天宁区青龙,御河湾,2室2厅1厨1卫,中楼层 (共25层),89.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,业主诚心出售，楼层好，采光好，天宁吾悦商圈，2号线口！,,,契税； a 首套90平以下1% b 首套90平以上1.5% c 二套90平以下1% d 二套90平以上2% e 三套都是3%增值税 ；满两年免征 不满两年征收5.3%个人所得税 不满五年征1%,,,24小时安保的小区，安全性强！小区做到了真正的人车分离！物业是常州数一的新城物业，24小时的金管家服务！,,,,,,,,,
1148,豪郡花园 3室2厅 南,118万,13749,天宁区青龙,豪郡花园,3室2厅1厨1卫,高楼层 (共33层),85.83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 56万元,未上传房本照片,,,,,,,,,,,,,,,,
1149,阳光龙庭 2室2厅 南,158万,18373,天宁区青龙,阳光龙庭,2室2厅1厨1卫,低楼层 (共33层),86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1150,大三房！房东诚心卖！金新御园靠天宁吾悦临地铁,168万,12514,天宁区青龙,金新御园,3室1厅1厨2卫,低楼层 (共30层),134.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-28,商品房,2023-04-03,普通住宅,未满两年,共有,有抵押,已上传房本照片,房东诚心出售！户型方正，产权清晰！可以正常交易,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1151,环境好，居住舒适，交通便利，随时看房,210万,17074,天宁区青龙,中海云樾里,3室2厅1厨2卫,低楼层 (共17层),123㎡,平层,暂无数据,板楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装大三房未入住，中间楼层，全天采光无遮挡，诚心出售,房子全款无抵押，产权清晰。房东诚心出售，看房方便，按照正常首付就可以,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，九龙夜市，地铁口,此房不满2年，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,,,
1152,房东诚心出售，楼层佳，采光好，精装拎包入住,280万,19859,天宁区青龙,龙湖香醍漫步南区,4室2厅1厨2卫,高楼层 (共32层),141㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2022-02-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适，物业好,业主是本地人， 比较友好、热情，也相当有诚意，看房也比较方便,生活设施齐全 农贸菜场 商场 公园 近在咫尺 生活起居很方便,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
1153,前面别墅无遮挡！全天采光刺眼！精装三房拎包住靠吾悦,162万,14500,天宁区青龙,金新御园,3室2厅1厨1卫,中楼层 (共24层),111.73㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-28,商品房,2023-04-04,普通住宅,未满两年,共有,有抵押,已上传房本照片,房东诚心出售！户型方正，产权清晰！可以正常交易,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1154,水晶城 户型正 房东诚心出售 看中价格可谈 看房方便,165万,11941,天宁区青龙,水晶城,3室2厅1厨1卫,中楼层 (共18层),138.19㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-09-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，视野好，精装三房，近吾悦广场，地铁站交通便利,,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,本房为业主婚房，离商圈较近，距离地铁口较近，楼下有大型的卖菜市场。,装修节省预算，领包入住，并且都是品牌家具家电。 业主诚心出售，看房方便。,,,,,,
1155,豪郡花苑 楼层好  前无遮挡  小区居住舒适 有公园,93万,10836,天宁区青龙,豪郡花园,3室2厅1厨1卫,中楼层 (共33层),85.83㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-09-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,天宁吾悦旁 方正户型  地铁二号沿线 毛坯 随时看房,,天宁吾悦旁，乐天玛特、欧尚、大润发医院：博爱医院、常州中医院、常州一院、常州二院、中诚大药房邮局：中国邮政（红梅新村）银行：中行、工行、建行、交行、农行、江南农村银行其他：九龙半岛酒店、格林豪泰,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1156,天宁吾悦旁，地铁2号线紫云站，有钥匙看房方便,110万,12817,天宁区青龙,豪郡花园,3室2厅1厨1卫,中楼层 (共33层),85.83㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,五梯四户,有,暂无数据,2022-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,天宁吾悦旁，地铁2号线紫云站，有钥匙看房方便,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1157,户型方正 精装房 楼层好 采光好,90万,11393,天宁区青龙,豪郡花园,2室2厅1厨1卫,中楼层 (共30层),79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-11-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正 精装房 楼层好 采光好,,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,,小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，门口有生活便利店，能较好地满足日常的生活需求,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1158,香溢紫郡 精装 户型方正 看房方便 天宁吾悦旁,99.8万,12111,天宁区青龙,香溢紫郡,2室2厅1厨1卫,高楼层 (共34层),82.41㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,香溢紫郡 精装 户型方正 看房方便 天宁吾悦旁,,,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻,,"1，楼层低，配套齐全，有菜场，公园，不临街，靠医院近 2，适合首付不多,需要多个房间的人群 3，交通便利，四通八达，出行更加方便，节省时间 4.配套医院近，适合家有老人和孩子的家庭",,,,,,,
1159,豪郡花园两房，自住保养好，房东诚心卖。,110万,12942,天宁区青龙,豪郡花园,3室1厅1厨1卫,低楼层 (共33层),85㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-06-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 17万元,未上传房本照片,豪郡花园两房，自住保养好，房东诚心卖。,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,小区自住氛围好，配套齐全，小区门口该有的都有，买菜交通都安排到位。,,,,,,,,,
1160,小区物业好，环境优美，高区采光无遮挡,148万,18690,天宁区青龙,龙湖香醍时光 ,2室2厅1厨1卫,中楼层 (共33层),79.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 13万元 邮政银行 业主自还,未上传房本照片,小区物业好，环境优美，高区采光无遮挡,,公园：紫荆公园、翠竹公园 银行：中国银行永宁北路支行、建设银行永宁北路支行、工商银行龙锦路支行。 医院：第二人民医院分院、红梅街道卫生所、武进医院 商圈：小区底商，常发广场，万达广场,,,,,,,,,近永宁北路交通枢纽，有多条公交线路：B1路、B12路、B13路、11路、35路、18路、36路、47路、31路，自驾近龙城大道高架，青洋高架。出行方便。,,,,
1161,低总价，中装两房，随时可以看房，全小区性价高。,92万,12114,天宁区青龙,景秀世家,2室1厅1厨1卫,高楼层 (共24层),75.95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯六户,有,暂无数据,2023-10-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,低总价，中装两房，随时可以看房，全小区性价高。,,商场：苏果市、欧尚市，医院；武进医院，邮局：常州邮政局翠竹代办所，银行：工商银行、建设银行,,,,小区出行方便，配套完善，小区绿化好，停车方便。适合居住。刚需当选。,,,,,近龙城大道高架、青洋高架，自驾出行方便。小区南门永宁北路上有公交枢纽。有10、14、31、47、H1等多条公交，出行方便,,,,
1162,景瑞望府82平精装修两房高区 拎包入住,136万,16586,天宁区青龙,望府花苑,2室2厅1厨1卫,高楼层 (共32层),82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,精装修可拎包入住。小区西边有公交枢纽，交通出行方便,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，随时看房,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1163,楼层好，位置好，公园旁，业主诚心出售！,185万,19768,天宁区青龙,月馨苑,2室2厅1厨1卫,低楼层 (共32层),93.59㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,月馨苑 精装修 门口地铁 出行便利 配套成熟！！！！！!!1!!!!!,,红梅公园，东坡公园，儿童医院，大润发，火车站，朝阳菜场，生活便利,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,2号线地铁口 小区有共享单车停放点，有公交站台，可以乘坐10，25，60，203路等公交车，地处繁华，打车也方便，交通十分便,,,,
1164,小区环境优雅，配套成熟，交通便利，居住舒适,140万,13334,天宁区青龙,兆丰花苑,2室2厅1厨1卫,低楼层 (共6层),105㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-04-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，邮政储蓄.,契税：首套房90平以下成交价的1%，90平以上成交价的1.5%； 二套房90平以下1%，以上2%； 三套房不论大小均为3%。 个税：产证满五年且是家庭唯一住房，免收个税，未满5年或不是家庭唯一住房成交价的1%。,,,小区环境优美，舒适安静适宜居住； 1、出门即有公交菜场，银行美食等生活配套。 2、小区内有健身器材，可供小区居民使用；3，比邻东坡公园，锻炼休闲,,,,,,,,,
1165,御河湾183平米精装中 央空调加地暖拎包住满五年唯一,280万,15301,天宁区青龙,御河湾,4室2厅1厨2卫,中楼层 (共27层),183㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,此房满五年唯一，四房二卫，户型方正，三开间朝南，前面是别..,,,,,,,抵押贷款：有40万贷款，业主因为置换房子，这套房子诚心出售，所以现在准备变现,,装修现状：业主自住装修 装修品牌：业主用的都是很好的材料，装修很好,本房是业主自住，装修好，大平层，客厅很大，房子保养的很好，前面是别墅视线好无遮挡,,,,,
1166,天宁吾悦旁 诚心出售 刚需优选 价格可商 户型方正,120万,14118,天宁区青龙,金新御园,2室2厅1厨1卫,低楼层 (共30层),85㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房产权清晰，户型方正，诚心出售，价格可说，靠吾悦,"：
业主诚心出售，现在基本是电梯房按照步梯房的价格出售，刚需置换的客户可以考虑来了解了解",南侧东方西路天宁吾悦广场，北侧幼儿园，香溢紫郡小区，晋龙城高架青洋高架交汇处，东侧往经开方向，西侧往市区方向,,,,,房子业主是贷款购买的，目前贷款已经还清，产权清晰无债务，正常交易无忧。,,,,,,,,
1167,阳光龙庭 2房朝南 精装 户型方正 采光好 房东急售,110万,15075,天宁区青龙,阳光龙庭,2室1厅1厨1卫,高楼层 (共33层),72.97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-01-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,阳光龙庭 2房朝南 视野好 精装 拎包入住 业主诚售,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平米以下成交价的1％，90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年或非唯一成交价的1%",,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业 ，小区入住率比较高，绿化也不错，小孩玩的地方比较多。适宜居住。,,,,,,,,,
1168,兆丰花苑精装2房 中间楼层 满二 房东诚售 看房方便,129万,13871,天宁区青龙,兆丰花苑,2室2厅1厨1卫,中楼层 (共6层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-07-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,兆丰花苑精装2房 中间楼层 满二 房东诚售 看房方便,,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,,
1169,香溢紫郡 业主自住精装2房 挂价含车位 欢迎看房,110万,13435,天宁区青龙,香溢紫郡,2室2厅1厨1卫,低楼层 (共34层),81.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 经营贷,未上传房本照片,配套齐全，生活便利，交通便利；天宁吾悦广场，2号线,,综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1% 。,,,1.小区生活实施齐全，商场，菜市场，银行等。 2.小区内有健身器材，小型篮球场，可供小区居民使用。 3.小区停车位充足，建有地面临时停车位以及底下停车位。 4.小区内24小时保安巡逻,,,,,,,,,
1170,小区环境优雅，配套成熟，交通便利，居住舒适,140万,13334,天宁区青龙,兆丰花苑,2室2厅1厨1卫,低楼层 (共6层),105㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-04-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，邮政储蓄.,契税：首套房90平以下成交价的1%，90平以上成交价的1.5%； 二套房90平以下1%，以上2%； 三套房不论大小均为3%。 个税：产证满五年且是家庭唯一住房，免收个税，未满5年或不是家庭唯一住房成交价的1%。,,,小区环境优美，舒适安静适宜居住； 1、出门即有公交菜场，银行美食等生活配套。 2、小区内有健身器材，可供小区居民使用；3，比邻东坡公园，锻炼休闲,,,,,,,,,
1171,楼层好，位置好，公园旁，业主诚心出售！,185万,19768,天宁区青龙,月馨苑,2室2厅1厨1卫,低楼层 (共32层),93.59㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,月馨苑 精装修 门口地铁 出行便利 配套成熟！！！！！!!1!!!!!,,红梅公园，东坡公园，儿童医院，大润发，火车站，朝阳菜场，生活便利,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,2号线地铁口 小区有共享单车停放点，有公交站台，可以乘坐10，25，60，203路等公交车，地处繁华，打车也方便，交通十分便,,,,
1172,此房满五唯一  简装 可根据自己喜好再重新装修,110万,12791,天宁区青龙,金新御园,2室1厅1厨1卫,中楼层 (共30层),86㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2021-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,金新御园简装2房 中间楼层采光好 地铁口 吾悦旁,,综合市场，购物 医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,得房率高，小区绿化好，高档小区，人车分流，环境好，小区整体坏境比较好， 出入方便,,,,,,,,,
1173,龙洲伊都 1室1厅 北,68万,11499,天宁区青龙,龙洲伊都,1室1厅1厨1卫,高楼层 (共18层),59.14㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,精装,两梯十九户,有,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1174,阳光龙庭，彩虹城旁，景秀世家2室出售,112万,12277,天宁区青龙,景秀世家,2室2厅1厨1卫,中楼层 (共16层),91.23㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯六户,有,暂无数据,2023-04-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
1175,纯毛坯，一梯一户，有车位，中上层视野佳,460万,20721,天宁区青龙,龙湖香醍漫步北区,4室2厅1厨3卫,中楼层 (共32层),222㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主是本地人， 比较友好、热情，也相当有诚意，看房也比较方便,生活设施齐全 农贸菜场 商场 公园 近在咫尺 生活起居很方便,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
1176,天宁吾悦 旭辉 2号线 中层采光全天 户型方正 业主诚售,183万,16053,经开区青龙,旭辉.都会上著,3室2厅1厨2卫,高楼层 (共18层),114㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 140 业主自还,未上传房本照片,天宁吾悦旁次新小区 精装修新风空调 双阳台,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,税费解析：此房不满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％，增值税5.3%。,,,,,,,,出门有龙城高架和青洋高架 500米有地铁和多条公交线路 交通便利,,,,
1177,精装 两年，业主置换推荐，拎包入住保养的很好,95万,10675,天宁区青龙,景秀世家,2室2厅1厨1卫,低楼层 (共11层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 0万元 业主自还,未上传房本照片,此房满二唯一.户型两朝南.品牌家具家电,,,,,,,,适合年轻人和老人都很方便小区绿化也不错虽然一楼但楼间距50米影响不大,业主装修2年保养的很好，品牌家具家电可以拎包入住，户型两朝南开间,此房两朝南开间，采光前面楼间距50米左右影响不大，品牌家具客厅朝北名厨明卫,,,,,
1178,精装大三房未入住，楼层好，全天采光无遮挡，诚心出售,225万,17579,天宁区青龙,中海云樾里,3室2厅1厨2卫,高楼层 (共25层),128㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯四户,有,暂无数据,2023-03-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 135万元 业主自还,未上传房本照片,精装大三房未入住，楼层好，全天采光无遮挡，诚心出售,房目前是有贷款，产权清晰。房东诚心出售，按照正常首付就可以。,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，九龙夜市，地铁口,此房不满2年，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,,,
1179,天宁吾悦广场南北通透诚心出售】看房方便,186万,15251,天宁区青龙,天宁吾悦广场,3室2厅1厨2卫,低楼层 (共32层),121.96㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-03-04,商品房,2021-03-11,普通住宅,暂无数据,共有,有抵押,已上传房本照片,天宁吾悦广场毛坯3房2卫 中间楼层全天采光 随时看房,,京杭运河从小区边经过，小区旁有朝阳中 学，出了小区就是红星chao市，400米处是德安医院，隔着一条河就是东坡园,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,小区门口有共享单车停车点，出小区一百米有公交站台，可以乘坐16路，55路，出行方便 房主自荐(业主对房源的描述),,,,
1180,2号线地铁口，6＋7使用面积大，户型方正，两房朝南，,120万,11215,天宁区青龙,五角场东村东区,4室2厅1厨2卫,高楼层 (共6层),107㎡,跃层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,2号线地铁口，6＋7使用面积大，户型方正，两房朝南，..,,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,地铁2号线就在旁边，门口有多路公交线，有高架，畅通常州各个地方,,,,
1181,永宁雅苑 精装两房 中上楼层 采光充足 房东诚售,135万,14815,天宁区青龙,永宁雅苑,2室1厅1厨1卫,中楼层 (共22层),91.13㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
