,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,查询房管备案记录,核心卖点,小区介绍,税费解析,交通出行,户型介绍,周边配套,售房详情,权属抵押,适宜人群,装修描述,别墅类型,用水类型,用电类型,燃气价格
1214,中意寳第3-1-1-1 94.00m² 200 万,200万,21277,钟楼区南大街,中意寳第,3室1厅1厨1卫,低楼层 (共29层),94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房户型格局好，楼层好、视野宽阔、采光充足、配套齐全,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,好楼层楼栋，位置佳，采光良好无遮挡，户型方正，属于对流，通风很好,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,,,,,,,,
1215,香江华廷小三房，两卫精装，视野开阔，非顶楼。,208万,17768,钟楼区南大街,香江华廷花园,3室2厅1厨2卫,高楼层 (共33层),117.07㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,暂无数据,2023-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 15万元 业主自还,未上传房本照片,,,楼层好，视野开阔，采光充足，配套齐全，交通方便,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,房东2016买的毛坯房，现精装4口之家居住，觉得太小了故想换房。,,,,,,,
1216,诚心出售，随时看房，看房方便，价格可谈,230万,16859,钟楼区南大街,凯悦中心花园,3室2厅1厨2卫,低楼层 (共33层),136.43㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-11-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,户型周正，格局分布合理，空间感好，通透性强。,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,房适宜各年龄段人群居住，人车分流，里面有游乐场，菜场都有，健身房篮球馆都有。,,,,,
1217,怀德苑旁 凯悦 品质小区 楼层好 房东诚售,216万,22979,钟楼区南大街,凯悦中心花园,2室2厅1厨1卫,中楼层 (共33层),94㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-11-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高。,小区空气好，楼间距也大，房间格局分明、采光足，使得房间的每个角落都能享受阳光的沐浴，小区适宜散步休闲，安静典雅,,,,南大街步行街、莱蒙都会、大润发、好又多，医院：第四医院、第二医院邮局：中国邮政(延陵邮政支局)银行：兴业银行、招行、建行、交行、其他：亚细亚影城、中天钢铁体育馆、劳动路特色,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,
1218,满五年不唯一，无抵押，房东诚心出售。,230万,30545,天宁区南大街,北直街小区,3室1厅1厨1卫,中楼层 (共5层),75.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-10-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,满五年不唯一，无抵押，房东诚心出售。,北直街小区属于成熟的社区，八角井菜场、南北码头、信特等配套齐全，生活方便。 小区2021年底改造完毕，整体环境整洁。,,社区多路公交通达，交通便捷 地铁站博爱路和南大街站都可以搭乘，南北东西线路都可方便的出行。,,,,,温暖阳光直达房间，适合喜欢采光明亮的客户。 户型方正，清爽装修，居住起来省心舒适,,,,,
1219,此房户型良好 楼层佳 价格可谈 房东诚售 看房方便,175万,16912,钟楼区南大街,香江华廷花园,2室1厅1厨1卫,高楼层 (共33层),103.48㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,此房户型良好 楼层佳 价格可谈 房东诚售 看房方便,小区品牌物业，管理好，保安日夜巡逻，安保可靠，绿化很好，有健身器材，活动场地。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,,,,,,,,
1220,：楼层好，采光佳，两房户型方正，看房方便~,160万,16244,钟楼区南大街,香江华廷花园,2室1厅1厨1卫,中楼层 (共33层),98.5㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,楼层好，采光佳，两房户型方正，看房方便~,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候.........,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1221,房东自住保养好配套齐全楼层好采光好诚心出售,285万,61582,天宁区南大街,北直街小区,1室1厅1厨1卫,中楼层 (共6层),46.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2021-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房位置好，南北空气对流，楼层好，采光无遮挡。房间朝南,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%",,该房为1室，边户，卫生间干湿分离，户型方正，拎包入住。。。。,生活设施齐 银行 市 菜场 商场 饮食近在咫尺 生活起居很方便,"：
业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈",,,,,,,
1222,北直街 精装南北房 北大街 京城豪苑旁,210万,38889,天宁区南大街,北直街小区,2室1厅1厨1卫,低楼层 (共6层),54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-01-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,北直街 精装南北房 北大街 京城豪苑旁 看房方便,,,,,到八角井菜场100米，到一号线地铁站口300米，到市一院200米。到火车站300米,,无抵押，无贷款，夫妻共有。房东诚意出售。没小孩读书。看房方便。,,,,,,
1223,北直街小区一楼带院子精装中.央空调,260万,44651,天宁区南大街,北直街小区,3室1厅1厨1卫,低楼层 (共6层),58.23㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-07-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,满五唯一，精装修，保养好，家电家具全，中.央空调。,,,,,到八角井菜场50米，到口腔医院50米，到火车站300米，到泰富百货300米。到吾悦国际500米。,满五唯一，房东是置换大房子，诚意出售。无抵押无贷款。产权清晰。,,,,,,,
1224,此房格局好 户型正 视野采光好,235万,16550,钟楼区南大街,怀德苑,4室2厅1厨2卫,中楼层 (共9层),142㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,此房格局好 户型正 视野采光好,小区环境优雅，配套成熟，交通便利，居住舒适，出行方便。小区内有健身场所,,"小区边上有公交车，BRT,出租车，很便捷..................",,小区边有菜场，银行，健身场所，交通便捷，出行有公交共享单车。,,,,,,,,
1225,诚心出售，随时看房，看房方便，价格可谈,272万,17993,钟楼区南大街,凯悦中心花园,3室2厅1厨2卫,低楼层 (共33层),151.17㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-11-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,户型周正，格局分布合理，空间感好，通透性强。,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,房适宜各年龄段人群居住，人车分流，里面有游乐场，菜场都有，健身房篮球馆都有。,,,,,
1226,北直街中层二房朝南户型方正南北通风,185万,33036,天宁区南大街,北直街小区,2室1厅1厨1卫,低楼层 (共6层),56㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,满二，二房朝南带阳台，采光佳。没小孩读书。,,,,,到八角井菜场100米，到一号线地铁站口300米，到市一院200米。到火车站300米。,,无抵押，无贷款，。房东诚意出售。没小孩读书。看房方便。欢迎看房有钥匙。,,,,,,
1227,河景花园两室 户型方正，看房方便,190万,23810,钟楼区南大街,河景花园,2室2厅1厨1卫,低楼层 (共18层),79.8㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,暂无数据,2022-05-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,河景花园两室 户型方正，看房方便,,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,业主现诚心出售，证件齐全，欢迎看房，随时恭候，。。。。。。。。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1228,凯悦双地铁口地段好交通便利小户型房,145万,21324,钟楼区南大街,凯悦中心花园,1室1厅1厨1卫,高楼层 (共33层),68㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-02-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,凯悦地段好交通便利小户型房源少怀德苑学,凯悦中地段好，小区内目 前有15幢房子已建筑完毕，楼间距开，绿化高,客户契税，首套房，90平方以下成交价的百1，90平以上成交价1.5.2套房以上成交价的百3，增值税产证满二年免收增值税，末满二年征收百5.6，个税产证满五年而且是一套房免个税同样满五年成交价的百1,交通便利有B2.B22.地铁沿线，四通八达B1直达湖塘和新北，节省时间，适合小朋友读书的好地方,,,,,,,,,,
1229,怀德桥 清中 怀小 中意寳第精装2室2厅 家电家具齐全,169万,18883,钟楼区南大街,中意寳第,2室2厅1厨1卫,中楼层 (共27层),89.5㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 工商银行,未上传房本照片,,,中间楼层采光很好，设施齐全，满五年了，诚心出售,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。",出门BRT快速公交直达吾悦国际南大街，新北区四通八达出行方便，均有公交线路,,配套设施有吾悦国际银行，医院公园，怀德大润发，勤业菜场近在咫尺，生活购物都很方便,,,,,,,,
1230,火车站红梅公园旁南广场花园精装一居室随时看房,320万,55173,天宁区南大街,南广场花园西,1室1厅1厨1卫,低楼层 (共21层),58㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,暂无数据,2023-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,博爱路加24，南广场花园，九洲玺。 房东诚心出售,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,房子空置，户型方正，业主现诚心出售，证件齐，手续全，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1231,香江华廷小三房，两卫精装，视野开阔，非顶楼。,208万,17768,钟楼区南大街,香江华廷花园,3室2厅1厨2卫,高楼层 (共33层),117.07㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,暂无数据,2023-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 15万元 业主自还,未上传房本照片,,,楼层好，视野开阔，采光充足，配套齐全，交通方便,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,房东2016买的毛坯房，现精装4口之家居住，觉得太小了故想换房。,,,,,,,
1232,诚心出售，随时看房，看房方便，价格可谈,230万,16859,钟楼区南大街,凯悦中心花园,3室2厅1厨2卫,低楼层 (共33层),136.43㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-11-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,户型周正，格局分布合理，空间感好，通透性强。,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,房适宜各年龄段人群居住，人车分流，里面有游乐场，菜场都有，健身房篮球馆都有。,,,,,
1233,楼层好，采光佳，户型方正，看房方便,518万,25664,钟楼区南大街,香江华廷花园,4室2厅1厨2卫,高楼层 (共22层),201.84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,楼层好，采光佳，户型方正，看房方便,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1234,房东自住保养好配套齐全楼层好采光好诚心出售,285万,61582,天宁区南大街,北直街小区,1室1厅1厨1卫,中楼层 (共6层),46.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2021-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房位置好，南北空气对流，楼层好，采光无遮挡。房间朝南,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%",,该房为1室，边户，卫生间干湿分离，户型方正，拎包入住。。。。,生活设施齐 银行 市 菜场 商场 饮食近在咫尺 生活起居很方便,"：
业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈",,,,,,,
1235,北直街中层二房朝南户型方正南北通风,185万,33036,天宁区南大街,北直街小区,2室1厅1厨1卫,低楼层 (共6层),56㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,满二，二房朝南带阳台，采光佳。没小孩读书。,,,,,到八角井菜场100米，到一号线地铁站口300米，到市一院200米。到火车站300米。,,无抵押，无贷款，。房东诚意出售。没小孩读书。看房方便。欢迎看房有钥匙。,,,,,,
1236,怀德苑电梯房 复式 挑高客厅宽敞 户型好  清潭,220万,22338,钟楼区南大街,怀德苑,3室2厅1厨2卫,高楼层 (共15层),98.49㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-11-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,怀德苑 电梯复式二层 精装修保养佳 视野开阔 采光好通透前排无挡,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,格局优 视野佳 商圈配套齐全二层（空中艺墅） 格局优 视野佳 商圈 齐全，双地铁，双商城，,,,,,,,,,
1237,香江华廷花园精装两房 看房方便,165万,16337,钟楼区南大街,香江华廷花园,2室1厅1厨1卫,中楼层 (共25层),101㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-11-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,怀德 香江华廷两房诚售 价优 楼层好 两房朝南方正,小区旁成熟社区，配套设施 综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.大型商场齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全,,,,,,,,
1238,北直街小区一楼带院子精装中.央空调,260万,44651,天宁区南大街,北直街小区,3室1厅1厨1卫,低楼层 (共6层),58.23㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-07-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,满五唯一，精装修，保养好，家电家具全，中.央空调。,,,,,到八角井菜场50米，到口腔医院50米，到火车站300米，到泰富百货300米。到吾悦国际500米。,满五唯一，房东是置换大房子，诚意出售。无抵押无贷款。产权清晰。,,,,,,,
1239,北直街 精装南北房 北大街 京城豪苑旁,210万,38889,天宁区南大街,北直街小区,2室1厅1厨1卫,低楼层 (共6层),54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-01-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,北直街 精装南北房 北大街 京城豪苑旁 看房方便,,,,,到八角井菜场100米，到一号线地铁站口300米，到市一院200米。到火车站300米,,无抵押，无贷款，夫妻共有。房东诚意出售。没小孩读书。看房方便。,,,,,,
1240,中意宝第三房两厅两卫，边户三面采光，有钥匙价面议,200万,13954,钟楼区南大街,中意寳第,3室2厅1厨2卫,高楼层 (共24层),143.33㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,简装,两梯三户,有,暂无数据,2023-05-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,楼层好，视野开阔， 采光充足，配套齐全，交通方便房子里无贷,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,,,,,,,,
1241,南广场九州玺  户型方正  中间楼层,335万,57959,天宁区南大街,南广场花园西,1室1厅1厨1卫,高楼层 (共22层),57.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯十户,有,暂无数据,2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,南广场九州玺 户型方正 高楼层,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,房子空置，户型方正，业主现诚心出售，证件齐，手续全，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1242,北直街小区二房朝南精装保养好家电家具全,220万,35200,天宁区南大街,北直街小区,2室1厅1厨1卫,中楼层 (共7层),62.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,满五不唯一，房东置换新房，诚意出售，没小孩读书。,,,,二房朝南，南北通风，房型方正，带阳台。精装，保养好。家电家具齐全。,到八角井菜场100米，到一号线地铁站口300米，到市一院200米。到火车站300米。,,无抵押，无贷款，夫妻共有。房东诚意出售。没小孩读书。看房方便。,,,,,,
1243,北郊晋陵文锦精装自住三房二卫，装修40万，采光无遮挡,375万,32861,钟楼区南大街,晋陵文锦,3室2厅1厨2卫,高楼层 (共34层),114.12㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,四梯六户,有,暂无数据,2023-10-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元,未上传房本照片,,,晋陵文锦 次新房2023年7月满二，精装自住， 楼层好 视野开阔！,北郊次新房商品房，精装，三房二卫户型经典，利用率高， 楼层，采光好，适合老人孩子居住,"1、契税：首套房，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,  三套房成交价的3%；
 2、个税：产证满二年成交价的1%.",近北郊，位置好，近BRT，公交车站，离市里地铁站近，出行方便,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1244,晋陵文锦 小面积毛坯 明厨明卫房东诚心出售有钥匙看房,170万,31360,钟楼区南大街,晋陵文锦,1室1厅1厨1卫,中楼层 (共34层),54.21㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯七户,有,暂无数据,2023-02-23,商品房,2022-01-25,普通住宅,满两年,共有,无抵押,已上传房本照片,,,北郊旁 全新精装二房，采光佳。全新小区，环境好。没小孩读书,,,,,到八角井菜场150米，到市一院300米，到泰富百货500米，到吾悦国际500米。,,产权清晰，无抵押，无贷款。夫妻共有。房东诚意出售。看房方便。,,,,,,
1245,此房户型方正，交通便利，楼间距也大、采光佳,230万,21905,钟楼区南大街,凯悦中心花园,3室2厅1厨1卫,高楼层 (共32层),105㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房户型方正，交通便利、小区空气好，楼间距也大、采光佳,小区空气好，楼间距也大，房间格局分明、采光足，使得房间的每个角落都能享受阳光的沐浴，小区适宜散步休闲，安静典雅,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,南大街步行街、莱蒙都会、大润发、好又多，医院：第四医院、第二医院邮局：中国邮政(延陵邮政支局)银行：兴业银行、招行、建行、交行、其他：亚细亚影城、中天钢铁体育馆、劳动路特色,,,,,,,,
1246,此房 新小区 楼层好 上下学便利,418万,35147,钟楼区南大街,晋陵文锦,3室2厅1厨1卫,中楼层 (共34层),118.93㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯七户,有,暂无数据,2023-08-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 120万元,未上传房本照片,,,此房 新小区 楼层好 上下学便利,,"：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区地处市区交通便利：门口有公交站台 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,全新的品质装修，用料上乘、环保。窗户全部加厚换新，北郊好用，拎包住。,,,,
1247,香江华廷花园2房小区中间位置楼层好毛坯,175万,18618,钟楼区南大街,香江华廷花园,2室2厅1厨1卫,高楼层 (共22层),94㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-08-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,小区中间位置，楼间距大，采光很好，楼层好，诚心出售,小区配套齐全，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,四周配套齐全，有大润发，吾悦国际，南大街，金鹰再建中，公交出行有普通公交，,,,,,,,,
1248,香江华廷花园 马公桥旁 环境优雅 楼层佳 采光佳,175万,16964,钟楼区南大街,香江华廷花园,2室2厅1厨1卫,中楼层 (共33层),103.16㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 110万元 业主自还,未上传房本照片,,,此房精装修，住了两年有点人气味，产权清晰，提前预约看房,,,,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,小区旁成熟社区，配套设施 综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.大型商场齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要。,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
1249,南广场，地铁一号线旁，看房方便,450万,48388,天宁区南大街,南广场花园西,2室1厅1厨1卫,中楼层 (共34层),93㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-08-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,楼层好，采光佳，户型方正，看房方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,房子空置 户型方正 业主现诚心出售，证件齐，欢迎看房，随时恭候，,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1250,精装修，两房朝南，东边户拎包入住,117万,13446,钟楼区南大街,清潭六村东区,2室1厅1厨1卫,中楼层 (共6层),87.02㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,无,暂无数据,2022-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,精装修，两房朝南，东边户拎包入住,小区为成熟社区，1公里处有大润发市， ，银行，菜场，出行方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",清潭路上12路，24路，56路多路公交车，1公里内配有公共自行车，方便快捷,,,,,,,,,,
