,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
469,水岸花语精装房，高楼层，采光充足，观景舒适,125万,15924,天宁区雕庄,水岸花语,4室2厅1厨2卫,高楼层 (共34层),78.5㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-07-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 招商 客户偿还,未上传房本照片,水岸花语精装房，高楼层，采光充足，观景舒适,,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,朝阳综合市场，大润发chao市，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,此房产权清晰。房东对付款无要求，灵活付款可以正常交易。正常首付,,,,,,,
470,采菱公寓，采充足，小区环境优美，四周配套齐,105万,11665,天宁区雕庄,采菱公寓,2室1厅1厨1卫,高楼层 (共11层),90.02㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,采菱公寓，采充足，小区环境优美，四周配套齐,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,综合市场，大润发市，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
471,水岸花语 精装两房 业主自住精装修 楼层好位置好,150万,18750,天宁区雕庄,水岸花语,2室2厅1厨1卫,高楼层 (共33层),80㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-11-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,精装二房，满二，采光好，房东诚心出售，价格可谈,小区生活实施齐全，商场，，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
472,低总价！凤凰新城方正好房！随时可看房！诚心卖,99万,14371,天宁区雕庄,中海凤凰熙岸,1室2厅1厨1卫,低楼层 (共34层),68.89㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子诚心出售，毛坯，可以自己设计装修，房东诚心出售,"小区生活实施齐全，商场，菜市场，银行等。
2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻
税费解析","首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
473,中海凤凰熙岸 3室1厅 南 北,139万,15531,天宁区雕庄,中海凤凰熙岸,3室1厅1厨1卫,低楼层 (共34层),89.5㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,十二梯四户,有,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
474,菱溪名居精装两房，业主诚售，欢迎看房！,130万,14222,天宁区雕庄,菱溪名居,2室2厅1厨1卫,低楼层 (共24层),91.41㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-09-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,中楼层，采光好，户型方正 ，配套全，交通便利,小区生活实施齐全，商场，，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
475,正衡旁，中海凤凰熙岸，东边户，中间楼层。看房方便,239万,19431,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,高楼层 (共34层),123㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-02-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中上楼层，视野开阔。看房方便，正衡旁,小区生活实施齐全，商场，，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足24小时安保巡逻维护小区安全。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,有丽华大润发，连锁酒店，湿地公园，各大银行，各类小吃美食一应俱全。,这个房屋的窗帘和客堂间通往凉台的门帘已安装好，可以自动地开启和关闭(卷帘式。)小区东边就是正衡(下半年迁移此处开学)和常州市儿童医院(今年竣工后市儿童医院全部移往此处),,,,,,,,
476,菱溪名居 楼层好，采光足，交通便利,113万,12418,天宁区雕庄,菱溪名居,2室1厅1厨1卫,低楼层 (共24层),91㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,菱溪名居 楼层好，采光足，交通便利,小区封闭式管理。绿化好 24小时安保值班。环境优美 出行方便,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
477,中海凤凰熙岸楼层采光好 满二随时看房,175万,15366,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,低楼层 (共34层),113.89㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,十二梯四户,有,暂无数据,2021-09-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中海凤凰熙岸楼层采光好 满二随时看房,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
478,精装修精装修！大三房诚心卖，拎包可住看房方便,145万,11975,天宁区雕庄,采菱公寓,3室2厅1厨2卫,低楼层 (共6层),121.09㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-11-07,商品房,2021-07-17,普通住宅,未满两年,非共有,有抵押,已上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻税费解析,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
479,中海凤凰熙岸格局好 视野开阔 采光足  交通便利,165万,13866,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,高楼层 (共34层),119㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-07-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中海凤凰熙岸格局好 视野开阔 采光足  交通便利..,1.小区生活实施齐全，有商场，有市场，有银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
480,泰和之春 2室2厅 南,179万,13162,天宁区雕庄,泰和之春,2室2厅1厨2卫,中楼层 (共11层),136㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,
481,泰和之春旁菱溪名居，中间楼层，看房方便,150万,12196,天宁区雕庄,菱溪名居,2室2厅1厨1卫,中楼层 (共24层),123㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,有,暂无数据,2022-03-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,中间楼层，交通方便，配套齐全，看房方便,小区生活实施齐全，商场，，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
482,水岸花语精装两房，高楼层，采光充足，观景舒适,120万,14815,天宁区雕庄,水岸花语,2室2厅1厨1卫,高楼层 (共34层),81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯三户,有,暂无数据,2021-07-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 中国银行 客户偿还,未上传房本照片,水岸花语精装两房，高楼层，采光充足，观景舒适,,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,朝阳综合市场，大润发chao市，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,此房产权清晰。房东对付款无要求，灵活付款可以正常交易。正常首付,,,,,,,
483,户型方正 设施配套齐全 交通便利,200万,16807,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,低楼层 (共34层),119㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正 设施配套齐全 交通便利,央企开发，小区封闭式的，24小时有物业巡逻，很安全。小区里面有好几处的儿童游乐场所，还有好几个健身区,"、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,,,,,,,,
484,中吴大道正衡旁，双阳台，采光充足非顶楼，拎包住,240万,20774,天宁区雕庄,锦凤合鸣,3室2厅1厨1卫,高楼层 (共27层),115.53㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-17,商品房,2022-09-23,普通住宅,未满两年,共有,无抵押,已上传房本照片,三开间朝南双阳台，三房两厅，采光好，价格可谈,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",南边就是中吴大道有多条公交，很方便。楼下有共享单车。东边1公里就是高架入口，出行还是很方便的,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
485,菱溪名居 楼层好，采光足，交通便利,115万,12638,天宁区雕庄,菱溪名居,2室1厅1厨1卫,高楼层 (共24层),91㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,菱溪名居 楼层好，采光足，交通便利,小区封闭式管理。绿化好 24小时安保值班。环境优美 出行方便,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
486,菱溪名居 楼层好，采光足，交通便利。,113万,12418,天宁区雕庄,菱溪名居,2室1厅1厨1卫,高楼层 (共24层),91㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,菱溪名居 楼层好，采光足，交通便利。,小区封闭式管理。绿化好 24小时安保值班。环境优美 出行方便,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
487,萃园旁小区，格局好，采光好，配套全，交通便利。,90万,12012,天宁区雕庄,菱溪名居,2室1厅1厨1卫,低楼层 (共30层),74.93㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,配套齐全，楼层佳，诚心出售　格局好，采光好，户型方正,小区生活实施齐全，商场，Ｃ市，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,新造的一个公园－萃园就在ＦＪ，丽华大润发Ｃ市，连锁酒店，湿地公园，各大银行，各类小吃美食一应俱全,,,"有公交车，ＢＲＴ快速公交　　　　　　Ｂ2，Ｈ2,16路…………。",,,,,,
488,泰和之春集中供暖三房二卫 全天有采光 价格可谈,210万,18292,天宁区雕庄,泰和之春,3室2厅1厨2卫,低楼层 (共32层),114.81㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐,,,,,,,,,
489,河苑家园！！生活方便！价格从优!,95万,9598,经开区雕庄,河苑家园,2室2厅1厨1卫,低楼层 (共6层),98.98㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-24,商品房,2016-02-23,普通住宅,满五年,共有,无抵押,已上传房本照片,使用面积很多 ，房东诚心出售，价格从优,,一、契税1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。3）三套一律按3%缴纳契税。,,,,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,
490,中海凤凰熙岸 3室2厅  精装 户型方正 楼层好，采光佳,150万,16686,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,高楼层 (共34层),89.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,中海凤凰熙岸 3室2厅  精装 户型方正 楼层好，采光佳,小区环境优美，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发,,,,,,,,,
491,中海凤凰熙岸，小高层，精装房，楼层好采光充足。,215万,18065,天宁区雕庄,中海凤凰熙岸,4室2厅1厨2卫,中楼层 (共18层),119.02㎡,平层,暂无数据,板楼,东,钢混结构,精装,两梯两户,有,暂无数据,2023-12-06,商品房,2018-11-08,普通住宅,满五年,共有,有抵押,已上传房本照片,三开间朝南户型方正 楼间距大 每个房间都有飘窗 明厨明卫。,小区生活实施齐全，环境优美， 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。","。
蔷薇公园，交通银行，中国工商银行，中国农业银行，邮政储蓄，大润发 ，中吴大道旁，上高架方便。",,,,,,,,,
492,中海凤凰熙岸 3室1厅 南,130万,14368,天宁区雕庄,中海凤凰熙岸,3室1厅1厨1卫,高楼层 (共30层),90.48㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,
493,水岸花语 两房 急售 急售养老 或小年轻,73万,11240,天宁区雕庄,水岸花语,2室1厅1厨1卫,低楼层 (共18层),64.95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,水岸花语简装两房，采光充足，观景舒适，适合小年轻或者养老。,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房有贷款，无抵押，产权清晰。房东对付款无要求，正常首付就可先入住。,,,,,,,
494,格局好户型方正 楼间距大 每个房间都有飘窗 明厨明卫,160万,13373,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,低楼层 (共34层),119.65㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,格局好，户型方正 楼间距大 每个房间都有飘窗 明厨明卫,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,
495,泰和之春 3室2厅 南,195万,19118,天宁区雕庄,泰和之春,3室2厅1厨1卫,高楼层 (共30层),102㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,
496,中海刚需四房，二胎必备，格局好 视野开阔 采光足,165万,13998,天宁区雕庄,中海凤凰熙岸,4室1厅1厨2卫,低楼层 (共34层),117.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中海刚需四房，二胎必备，格局好 视野开阔 采光足,1：小区生活实施齐全，商场，Chao市，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",大润发，交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园,,,,,,,,,
497,此房满五唯一，房东诚心出售，看中可谈,150万,16915,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,低楼层 (共34层),88.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-01,商品房,2017-12-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，房东诚心出售，看中可谈,1，小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻，安全有保障.,契税：1.首套90平以下1%2.首套90平以上1.5%3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税：产权满两年免征 产权不满两年征收比例为5.3%个人所得税：产证满五唯一免征 其他统一1%,,此房业主诚心出售，产权清晰，证件齐全，看房方便，，放心购买、,,,,,,,,
498,中海凤凰熙岸 3室2厅 南,272万,20011,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,低楼层 (共18层),135.93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,
499,锦凤合鸣 精装三房，业主诚心出售，采光好。,158万,16254,天宁区雕庄,锦凤合鸣,3室2厅1厨1卫,中楼层 (共26层),97.21㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,锦凤合鸣 精装三房，业主诚心出售，采光好。,小区环境优美，绿化覆盖率高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 2、小区地理位置优越，交通便捷，四通发达，设施齐全，生活便利,,小区商圈：万达广场，吾悦广场，福克斯流行广场、湖塘乐购等，学府氛围浓郁。边有大面积绿地公园，方便休闲、活动,,,,户型周正，格局分布合理，空间感好，通透性好，适宜居住； 2、楼层好，朝向南北，视野开阔，采光透亮,,,,,
500,泰和之春系统房出行方便4房3卫诚意卖价格可谈,315万,18209,天宁区雕庄,泰和之春,4室2厅1厨3卫,低楼层 (共17层),173㎡,平层,暂无数据,板楼,南,砖混结构,精装,两梯两户,有,暂无数据,2023-12-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐,,,,,,,,,
501,精装小三房！中海凤凰熙岸拎包住！靠泰和生活交通方便,160万,17830,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,低楼层 (共34层),89.74㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精装修。户型方正 三开间朝南,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
502,锦凤合鸣 4室2厅 南,288万,20572,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,中楼层 (共11层),140㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,
503,精装修住1年户型方正 楼间距大明厨明卫采光好看房方便,220万,17840,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,中楼层 (共33层),123.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-07,商品房,2021-11-22,普通住宅,暂无数据,共有,有抵押,已上传房本照片,精装修户型方正 楼间距大明厨明卫房采光好看房方便,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,
504,泰和之春 3室2厅 南,240万,20690,天宁区雕庄,泰和之春,3室2厅1厨2卫,低楼层 (共25层),116㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,
505,中海凤凰熙岸 3室2厅 南 北,220万,17887,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,低楼层 (共18层),123㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-12-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,
