,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
1110,三房两厅前排无遮挡 边户有钥匙随时看房,210万,14686,新北区三井,康桥水郡,3室2厅1厨2卫,中楼层 (共33层),143㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，采光充足，视野开阔，购物游玩方便,小区位于新北富人聚集地 恐龙园板块 价格相对板块有优势 现在物业由南京银城负责 整体环境干净卫生 车位充足,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3%,,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,
1111,市政府地铁口旁大诚苑138平大3房 中高层 新北实验,185万,13339,新北区三井,大诚苑,3室2厅1厨2卫,高楼层 (共21层),138.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,有,暂无数据,2022-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,地铁口  生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,小区门口有B12、19路、42路、48路、302路等多路公交线路,,,,,,,
1112,市府商圈。雅居乐。视野好。百米楼间距。欢迎看房。,168万,17143,新北区三井,雅居乐星河湾,3室2厅1厨1卫,中楼层 (共33层),98㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-06-24,商品房,2023-07-16,普通住宅,未满两年,非共有,无抵押,已上传房本照片,新北万达商圈，无遮挡视野好，房东诚信出售 百米楼间距,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,1.环境优雅，低密度社区2.绿化优美，感受大自然带来的美丽3.儿童游乐设施齐全，给孩子快乐的童年，减少带孩子外出游玩带来的麻烦4.小区自带游泳池 健身房等5.交通便利，四通八达，出行更加方便，节省时间6.配套医院近，适合家有老人和孩子的家庭,,,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘.",,,,,,,
1113,市政府旁地鉄口大诚苑111平三开间朝南  一楼带大院子,207万,18666,新北区三井,大诚苑,3室1厅1厨1卫,低楼层 (共6层),110.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-04-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地段佳，配套成熟，交通便利，带大院子，近地铁,,,,,此房格局好，三开间朝南，带大院子 ，楼间距大，户型方正，交通便利。,,,地铁口、公交就在小区门口，交通便捷。 市民广场、奥体馆就在小区旁边，生活方便,,,,,,,
1114,万达商圈，配套完善，生活便利，户型方正,166万,12790,新北区三井,太湖明珠苑,3室1厅1厨1卫,低楼层 (共18层),129.79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2021-06-21,商品房,2020-10-15,普通住宅,满两年,非共有,有抵押,已上传房本照片,万达商圈，配套完善，生活便利，户型方正，得房率高，南北通风。,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便 户型周正，格局分布合理，空间感好，通透性强，居住舒适。",首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,,户型结构紧凑，布局合理，无浪费空间，实用舒适方便。采光效果不打折。主卧设计飘窗，阳光、清风入怀，彰显雅士风情。,,,,,,,,,,
1115,百草苑81平精装两房  明厨明卫  采光好 电梯房 有钥匙,118万,14595,新北区三井,百草苑,2室2厅1厨1卫,低楼层 (共11层),80.85㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-02-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装修，电梯房，小区中间位置佳，看房有钥匙,,,,首付不高，总价低，生活配套齐全。年纪大的生活很方便。孩子上学也很方便,,,,"近龙城大道高架，自驾出行方便。小区南门有53，B10 ,H2，50路 等多条公交，靠地铁近，出行方便",,,,,,,
1116,通透格局，楼层好，视野开阔，采光充足,96万,11429,新北区三井,泰山三村,2室2厅1厨1卫,低楼层 (共6层),84㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-05-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,通透格局，楼层好，视野开阔，采光充足，配套设施齐全，交通便利,泰山三村是成熟小区，配套完善，人车不分流小区，出门就是菜市场，生活方便。,,此房只有正常的银行按揭贷款，无其他抵押和银行查封情况，产权清晰，随时可以签约。,,,泰山三村小区距离太湖综合市场只有100米（数据来源百度地图），可以满足日常购物的需要。,,,,,,,,,
1117,有钥匙 看房方便 采光刺眼 提前约呦,260万,18490,新北区三井,雅居乐星河湾,4室2厅1厨2卫,中楼层 (共34层),140.62㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-03-28,商品房,2019-07-18,普通住宅,满两年,非共有,有抵押 30万元,已上传房本照片,新北万达商圈，无遮挡视野好，房东诚信出售 百米楼间距,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,1.环境优雅，低密度社区2.绿化优美，感受大自然带来的美丽3.儿童游乐设施齐全，给孩子快乐的童年，减少带孩子外出游玩带来的麻烦4.小区自带游泳池 健身房等5.交通便利，四通八达，出行更加方便，节省时间6.配套医院近，适合家有老人和孩子的家庭,,,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘.",,,,,,,
1118,新城府翰苑102平米大两房 中间楼层  有钥匙随时看房,205万,20099,新北区三井,新城府翰苑东区,2室2厅1厨1卫,中楼层 (共18层),102㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-06-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新城府翰苑102平米大两房中间楼层很敞亮 有钥匙随时看,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,业主现在诚心出售，产权证件齐全，随时可签，欢迎看房，随时恭候。,,,,,,,,
1119,绿洲家园，水木年华旁，藻江花园1楼出售,114万,12820,新北区三井,藻江花园,2室2厅1厨1卫,低楼层 (共6层),88.93㎡,平层,暂无数据,板楼,南,钢混结构,其他,暂无数据,无,暂无数据,2023-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,地段好，楼层佳，自住装修，2房  ，得房高。,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,,,,,,,自住装修，保养得好，配套齐全，房子打扫的干净清爽，拎包就能入住。,,,,
1120,泰山一村 2室1厅 南,92万,10848,新北区三井,泰山一村,2室1厅1厨1卫,高楼层 (共6层),84.81㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-10-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1121,百草苑小高层大3房  边户 三朝南 户型  中高层,169.8万,13785,新北区三井,百草苑,3室2厅1厨2卫,高楼层 (共11层),123.18㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 13万元,未上传房本照片,精装修，电梯房，三朝南  边户 车位多  全年采光,,,,家有老人：有电梯，配套齐全，有菜市场、公园、不临街、距离社区医院近，小区内还有老人活动区和养老服务。,,,,"近龙城大道高架，自驾出行方便。小区南门有53，B10 ,H2，50路 等多条公交，靠地铁近，出行方便",,,,,,,
1122,万达商圈，配套完善，出行便利，楼层好视野开阔,56.8万,10995,新北区三井,典雅花园,1室1厅1厨1卫,高楼层 (共18层),51.66㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯二十八户,有,暂无数据,2023-08-02,商品房,2017-04-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,万达商圈，配套完善，出行便利，楼层好视野开阔，诚售。,,,,,,生活设施齐 银行  菜场 商场 饮食近在咫尺 生活起居很方便。 旁边万达，环球港,业主有多处房产无暇打理，先将名下这套商务楼的房子变现处理。看房方便。,B1、B12 通江路沿线 ，地理位置优越，交通便捷，小区停车位宽裕，治安好，物业管理完善,,,,,,,
1123,典雅花园，配套齐全，交通便利，诚心出售,48万,9182,新北区三井,典雅花园,1室1厅1厨1卫,中楼层 (共18层),52.28㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯二十八户,有,暂无数据,2020-09-03,商品房,2017-10-03,商住两用,暂无数据,非共有,无抵押,已上传房本照片,万达商圈，配套完善，出行便利，楼层好视野开阔，诚售。,,,,,,生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 生活起居很方便。 旁边万达，环球港,业主有多处房产无暇打理，先将名下这套商务楼的房子变现处理。看房方便。,B1、B12 通江路沿线 ，地理位置优越，交通便捷，小区停车位宽裕，治安好，物业管理完善,,,,,商水,商电,2.45元/m3
1124,户型方正，配套设施齐全 ，交通便利,50万,12087,天宁区红梅,金百商业广场,1室1厅1厨1卫,中楼层 (共18层),41.37㎡,平层,35㎡,板塔结合,南 西,钢混结构,精装,两梯六户,有,暂无数据,2022-08-20,商品房,2020-04-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正，配套设施齐全 ，交通便利。,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,,小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，门口有生活便当，能较好地满足日常的生活需求。,生活齐全，医院，菜场，银行都有。小区环境优雅，绿化覆盖率高。,,,,,,,,,
1125,府琛商务广场 2房1卫精装 万达商圈,53万,8813,新北区三井,府琛商务广场,2室1厅1厨1卫,低楼层 (共15层),60.14㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,两梯二十九户,有,暂无数据,2021-04-11,商品房,2007-05-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,40年产权。紧靠市府，交通便利 南向阳光，宜商宜住！万达商圈.,,常州本地二套房买卖，税费均由卖家承担。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年5.3%，满两年免4、满五年唯一免个税1%,,合外地来常州发展的朋友，如果是过度一下，只是居住，这个房子的选择是不错的,,,,交通方便，公交brt一应俱全，出行很是方便，不用担心出行，为以后的购物生活打下了基础,,,,,,,
1126,大名城西区 环境舒适， 采光好，业主诚心出售,120万,17565,新北区三井,大名城西区,2室2厅1厨1卫,低楼层 (共33层),68.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-05,商品房,2019-07-23,普通住宅,满两年,共有,无抵押,已上传房本照片,小区环境舒适， 高楼层，房子通风好，采光好，业主诚心出售,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,小区门口有万和minimall，烟酒店等，耶鲁双语幼儿园，往东太湖路上有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,,小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北2800米可到万达商,,,,,,,
1127,银河湾5.2米挑高，有钥匙，朝南，采光无遮挡,120万,9023,新北区三井,银河湾第一城一期,4室2厅1厨2卫,低楼层 (共19层),133㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯十八户,有,暂无数据,2021-07-04,商品房,2020-11-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,银河湾第yi城产证133平，实用面积大，三开间朝南,小区绿化优美、大的绿化空间给人进入世外桃源的感觉。空气好、孕婴老幼皆适宜居住 房主自荐,,,,,,业主诚心出售，价格可谈，可自住，可开公司，边户，看中价格可谈,"交通出行：
背靠飞龙路，多路公交方便出行、东临长江路，贯穿常武等多个地区、近龙城高架",,,,,,,
1128,奥体满五唯一，小两房，精装修，电梯房，次新小区,138万,20152,新北区三井,藻江花园,2室1厅1厨1卫,低楼层 (共12层),68.48㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2021-10-18,商品房,2016-11-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精装修电梯房，次新小区，自住，新北实  y a n，两开间朝南。,奥体边上的小区，2015年建，朝南小两房，小区环境优美，出行方便。,契税首套二套均一个点，三套3个点，因为小区90平，个税一个点。,,,,,,,,,,,,,
1129,大名城旁玉龙湾花园精装修两房 户型好 采光好,125万,14095,新北区三井,玉龙湾花园,2室2厅1厨1卫,中楼层 (共17层),88.69㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-01,商品房,2020-09-04,普通住宅,暂无数据,非共有,有抵押 58万元 建设 客户偿还,已上传房本照片,此房户型好，楼层也好  全天采光  小区物业好,小区环境优美，与飞龙公园，飞龙吾悦广场  为社区居民提供了优美的生活环境。新城社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,,,,,,
1130,新北区万达广场住宅 三井可用 轻奢风 品牌家具家电,135万,20455,新北区三井,新北万达广场,1室1厅1厨1卫,中楼层 (共31层),66㎡,平层,65.98㎡,塔楼,南,钢混结构,精装,四梯十四户,有,暂无数据,2021-05-29,商品房,2018-05-16,普通住宅,暂无数据,共有,有抵押,已上传房本照片,配套完善，房东诚心出售，精致装修。边户,,首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,,,配套完善，生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 大型的乐购，沃尔沃*市，万达喜来登度假酒店，三井医院，华山医院，河海菜场，万达综合性商场，生活起居很方便,,通江路沿线，BRT/多路公交站台，多个共享单车站点，交通、出行便利。向北两公里有高速出入口口，往南1公里内是西高架出入口,,,,,,,
1131,银河湾第一城房东诚售80平小两居,132万,16644,新北区三井,银河湾第一城一期,2室2厅1厨1卫,低楼层 (共18层),79.31㎡,平层,63.1㎡,板塔结合,南,钢混结构,简装,两梯六户,有,暂无数据,2022-11-20,商品房,2012-10-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房2房朝南，整体布局方正，楼层好，采光好，视野好,交房方便，东边紧靠长江路，北边100米飞龙公园，1公里左右龙城大道高架，西边1公里龙江路外环高架。龙湖天街，飞龙吾悦，新北万达均在5公里范围内。小区绿化过50%，纯人车分流。,以下1％、90M以上1.5％；二套房90M以下1％、90M以上2％；三套房不论面积统一3％. 2、税：满二年不论面积全免、不满二年收全额的5.3％、 3、个税：满二年不满5年1％（视情况而定个税可清）、满五可免个人税,,孕婴老幼，首付不高，刚需客户，月供不是太高，新北万达或者南大街上班均可考虑,,,,,,,,,,,
1132,大名城西区，远离高架，精装修中间楼层，交通便利,150万,17748,新北区三井,大名城西区,2室2厅1厨1卫,中楼层 (共33层),84.52㎡,平层,64.29㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-30,商品房,2020-03-18,普通住宅,暂无数据,非共有,有抵押 90万元,已上传房本照片,公园：飞龙体育公园，华山公园购物：吾悦广场（在建），新北万达，麦德龙，,,龙城大道高架，飞龙路，长江路，通江路等主干道，出行便利。高架通达全城,,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,112444640381,大名城西区，远离高架，精装修中间楼层，交通便利,,,,,
1133,新市府飞龙吾悦旁，银一城复式两层，南向边户，采光好,52万,12314,新北区三井,银河湾第一城一期,2室2厅1厨2卫,高楼层 (共19层),42.23㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,两梯十七户,有,暂无数据,2023-06-06,商品房,2017-05-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，门口就有公园，步行就可到达
3，适合预算有限，需要多个房间的家庭。",,,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，卧室朝南，客厅南向视野好。
4，全屋主功能间都带有窗户，明厨，更响亮。","距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,,,112458984283,新市府飞龙吾悦旁，银一城复式两层，南向边户，采光好，高层。,,,,,
1134,主人友好热情诚意出售，随时恭候,80万,12125,新北区三井,新北万达广场,2室1厅1厨1卫,高楼层 (共31层),65.98㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯十四户,有,暂无数据,2021-07-17,商品房,2020-03-30,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,契税首套房90平以下 1%，90平以上1.5%90平以上2%三套房不论面积统一3%2税：满两年不论面积 不满二年 收全额的5.6%3个人所得税：满两年1%满五免个人所得税,,,,生活设施齐 银行  菜场 商场 饮食近在咫尺 生活起居很方便,主人友好热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
1135,新北万达，精装公寓，出售，交通便利,48万,8171,新北区三井,新北万达广场,1室1厅1厨1卫,中楼层 (共27层),58.75㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯二十四户,有,暂无数据,2021-10-07,商品房,2018-10-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新北万达住宅楼 满五唯一 免增值税 装修保养好,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,,,生活设施齐 银行 市 菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,
1136,万达旁太湖明珠苑小公寓带租约出售，交通方便,53万,10096,新北区三井,嵩山路,1室1厅1厨1卫,中楼层 (共12层),52.5㎡,平层,暂无数据,板楼,东,钢混结构,简装,两梯十户,有,暂无数据,2019-12-30,商品房,2003-11-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满2 可以少交增值税 刚需好房 ，地理位置优越,,税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％,,,,有活动广场 是茶余饭后散步的好地方 旁边曙光医院，小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。,,共享单车，公交车方向众多，外部道路宽阔，南有龙城高架 北有 高铁北站 向西有 奔牛机场，交通十分便利。,,,,,,,
1137,新市府飞龙吾悦，万和城旁，银一城中间楼层装修采光好,95万,15008,新北区三井,银河湾第一城二期,2室2厅1厨1卫,中楼层 (共18层),63.3㎡,平层,49.9㎡,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-08-02,商品房,2018-11-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新市府飞龙吾悦，万和城旁，银一城中间楼层，满5唯一装修采光好,,房子为商品房，满2年 ，面积小于90平，首套房契税和二套房的契税为1% 三套及以上为3%,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，想给孩子一个较好小区环境的年轻家庭。","1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。","距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,,,,,,,,
1138,新城府翰苑，好房源，好地段，不要错过哦。,35万,7332,新北区三井,新城府翰苑东区,1室1厅1厨1卫,中楼层 (共8层),47.74㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯四十一户,有,暂无数据,2022-02-20,商品房,2010-11-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房常发广场旁 府翰苑环境优雅，配套成熟，交通便利。,,契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,,配套成熟，常发广场旁 府翰苑环境优雅，交通便利，居住舒适。适合各界人士居住,,东边晋陵路100米左右，西边通江中路，BRT200米左右，地铁1号线400米，畅达全城,,,,,,,
1139,新市府，飞龙吾悦万和城旁，银一城中间楼层采光好设全,110万,13466,新北区三井,银河湾第一城一期,2室2厅1厨1卫,中楼层 (共16层),81.69㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-24,商品房,2016-10-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,新市府，飞龙吾悦万和城旁，银一城中间楼层采光好满5唯一,,房子为商品房，满2年 ，面积小于90平，首套房契税和二套房的契税为1% 三套及以上为3%,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，想给孩子一个较好小区环境的年轻家庭。","1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。","距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,,,,,,,,
1140,吾悦旁精装小三房，采光刺眼，诚心出售,113万,12840,新北区三井,嘉禾尚郡花园,3室2厅1厨1卫,中楼层 (共27层),88.01㎡,平层,69.03㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-09,商品房,2015-04-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房楼栋位置好，楼层好，精装修，房东诚心出售，价格可谈,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,,,小区门口自带中型生活市，烟酒店等，小区南边是耶鲁双语幼儿园和飞龙实验小 学和飞龙实验中 学，新北吾悦广场，往东太湖路上有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,,"交通出行：
小区出门向南200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈",,,,,,,
1141,40年产权公寓，地段好，交通便利，生活品质居住区,45万,6937,新北区三井,新城府翰苑西区,1室1厅1厨1卫,高楼层 (共9层),64.87㎡,平层,51.16㎡,板塔结合,南,钢混结构,简装,两梯二十六户,有,暂无数据,2021-03-02,商品房,2011-07-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,40年产权公寓，地段好，交通便利，生活品质居住区,城北区域板块：城北项目位置：新北通江大道177号建筑类型：高层；小高层；物业类别：普通住宅；开发商：常州天禄建设开发商，新城物业,,,,,商场：每家玛，万达广场、常发广场、乐购等医院：三井医院邮局：邮政储蓄河海分局银行：建设银行、工业银行、农业银行其他：新区公园；奥体中 心，市政府。小区内部设施：医院、银行、等设施齐全，处于好地段，品牌小区,,出行便捷的交通路线，B12、302路、42路、48路、11路、27路、33路、29路、26路路等多条公交线通达四方还有地铁一号线奥体站距离700m,,,,,,,
