,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,权属抵押,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,周边配套,房源核验码,查询房管备案记录,装修描述,交通出行,适宜人群
186,"此房格局好,南北通风户型,全天采光,户型方正视野好",62.8万,6827,金坛区西城街道,凤凰城,2室2厅1厨1卫,中楼层 (共5层),92㎡,暂无数据,南,框架结构,简装,,暂无数据,2023-12-08,商品房,2010-12-12,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离","：
房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,平房,暂无数据,暂无数据,,,,,,,
187,"此房 格局好,南北通风户型,全天采光,户型方正视野好",55.8万,4729,金坛区西城街道,城北小区,3室2厅1厨1卫,中楼层 (共5层),118㎡,暂无数据,南,砖混结构,简装,,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满五唯一 格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,独立的客餐厅，层高有3米","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,平层,塔楼,暂无数据,暂无数据,,,,,,,
188,老城区，闹中取静 适宜过渡人群,29.8万,5737,金坛区西城街道,文化二村,2室1厅1厨1卫,中楼层 (共5层),51.95㎡,暂无数据,南,砖混结构,简装,,暂无数据,2023-12-08,商品房,2019-07-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,老城区，闹中取静，干净舒适，楼层好，感兴趣可随时看房,,,"增值税分析:产证满2年免收增值 税,未满2年征收5.3%; 个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%； 契税：首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;",,平层,塔楼,暂无数据,暂无数据,,,,,业主装修翻新过，干净明亮，对装修要求不是很高的话买进自行添置家具家电即可入住，省下来的时间安心工作赚钱养家,,适宜刚需，首付不多的过渡的人群买进自住，如果你有时间可随时陪您看房
189,城西邮堂庙电梯房3室精装修有车库,61.8万,5919,金坛区西城街道,邮堂庙新苑,3室2厅1厨1卫,低楼层 (共11层),104.42㎡,99㎡,南,未知结构,精装,,暂无数据,2024-03-08,商品房,2019-03-01,普通住宅,满五年,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,平层,暂无数据,暂无数据,暂无数据,,,,,,,
190,亲亲家园电梯中间楼层 奶油风 新装修 拎包入住,108.8万,11957,金坛区西城街道,虹亚亲亲家园,2室2厅1厨1卫,中楼层 (共20层),91㎡,暂无数据,南,框架结构,精装,,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,中间户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫。",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,平层,板塔结合,两梯三户,有,物业管理规范，24小时安保，小区规划很好干净整洁，素质住户，有健身区和儿童游乐区。,,,,,,
191,文化的房东。诚心出售，看中可谈。,68.8万,5734,金坛区西城街道,文化二村,2室2厅1厨1卫,中楼层 (共5层),120㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2023-11-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,老城区，闹中取静，干净舒适，楼层好，感兴趣可随时看房,,,"增值税分析:产证满2年免收增值 税,未满2年征收5.3%; 个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%； 契税：首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;",,平层,塔楼,暂无数据,暂无数据,,,,,对装修要求不是很高的话买进自行添置家具家电即可入住，省下来的时间安心工作赚钱养家,,"：
适宜刚需，首付不多的过渡的人群买进自住，如果你有时间可随时陪您看房"
192,实际面积有180平左右，看中可谈,83.8万,7788,金坛区西城街道,五星家园,3室1厅1厨2卫,高楼层 (共10层),107.61㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-08-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,五星家园电梯房 精装修 配套设施齐全 拎包入住,"房子格局好,南北通风户型,全天采光,户型方正视野好，干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
193,丹丽花园 4室2厅 南,86万,6324,金坛区西城街道,丹丽花园,4室2厅1厨1卫,中楼层 (共6层),136㎡,暂无数据,南,砖混结构,简装,,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,暂无数据,塔楼,两梯两户,有,,,,,,,
194,金溪新村 2室3厅 南,76.8万,5566,金坛区西城街道,金溪新村,2室3厅1厨1卫,中楼层 (共5层),138㎡,暂无数据,南,砖混结构,精装,,暂无数据,2023-07-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,暂无数据,塔楼,暂无数据,暂无数据,,,,,,,
195,雅居乐山湖城5-3-1-4 160.15m²,308万,19232,金坛区西城街道,雅居乐山湖城,5室3厅1厨4卫,低楼层 (共2层),160.15㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,2022-08-19,商品房,2021-07-16,别墅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好，南入户...","格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,,,,,,
196,山湖城花园湖畔小院4-2-1-3 156.28m²,240万,15358,金坛区西城街道,山湖城花园湖畔小院,4室2厅1厨3卫,低楼层 (共2层),156.28㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-08-19,商品房,2021-07-16,普通住宅,满两年,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好..","格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
197,春风三村 纯三楼 四室 精装修 价格可谈,72.8万,5997,金坛区西城街道,春风三村,4室2厅1厨1卫,中楼层 (共6层),121.4㎡,暂无数据,南,砖混结构,精装,,暂无数据,2023-10-24,商品房,2015-07-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,业主诚心售房，证件齐全，随时恭候，欢迎看房，可全款可贷款，。,"套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,暂无数据,塔楼,暂无数据,无,,小区大门前面有公园，晚上可以去运动。离公共车站近。小区西边有大型购物广场，购物方便。,,,,,
198,老大统华旁精装三室 拎包入住 看房提前联系,115.8万,8642,金坛区西城街道,颐和世家,3室2厅1厨2卫,高楼层 (共13层),134㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-11-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"位置好 南北通风户型,全天采光,户型方正视野好",,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒，,看房方便","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,塔楼,一梯一户,有,,,,,,,
199,亲亲家园 精装四室电梯洋房 采光无遮挡,198.8万,14406,金坛区西城街道,虹亚亲亲家园,4室2厅1厨2卫,低楼层 (共6层),138㎡,暂无数据,南,未知结构,其他,,暂无数据,2023-11-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好。","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫。",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1。",,暂无数据,暂无数据,暂无数据,暂无数据,"物业管理规范，24小时安
房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫保，小区规划很好干净整洁，素质住户，有健身区和儿童游乐区。",,,,,,
200,亲亲家园三期 电梯洋房 精装四室 户型方正,198万,14143,金坛区西城街道,虹亚亲亲家园,4室2厅1厨2卫,中楼层 (共6层),140㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-11-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫。",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1",,暂无数据,暂无数据,暂无数据,暂无数据,物业管理规范，24小时安保，小区规划很好干净整洁，素质住户，有健身区和儿童游乐区。,,,,,,
201,茅山雅居乐山湖城4-3-1-4 156.32m²,280万,17912,金坛区西城街道,雅居乐山湖城,4室3厅1厨4卫,低楼层 (共3层),156.32㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2023-01-11,商品房,2018-03-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子户型好南北通 采光好 别墅。 房东诚心出售 价格好谈,,业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，价格可谈,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",暂无数据,塔楼,暂无数据,无,,,,,,,
202,西门菜场八佰伴亲亲家园顶楼复式东边户,139.8万,7358,金坛区西城街道,虹亚亲亲家园,4室3厅1厨2卫,高楼层 (共20层),190㎡,暂无数据,南,框架结构,精装,,暂无数据,2022-09-16,商品房,2020-03-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,西门菜场，八佰伴，亲亲家园东边户，顶楼复式，精装修,,房子是房东精心选购，东边户，视野好，南北通风，精装修，随时看房，随时签约过户！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,暂无数据,板塔结合,两梯两户,有,,,,,,,
203,文化二村三室一卫 顶楼复式 户型方正 采光好 视野开阔,44.6万,3995,金坛区西城街道,文化二村,3室2厅1厨1卫,高楼层 (共5层),111.66㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-07-16,商品房,2005-01-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局好，业主诚心出售，户型方正视野好，,,房东因为父母年纪大了 爬楼吃力 想跟父母换一个低楼层的房子养老 所以出售房子,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,"此房产权清晰,没有抵押 房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
204,良常路 春风二村 业主诚心出售。有意面谈,49.8万,5179,金坛区西城街道,春风二村,3室2厅1厨1卫,高楼层 (共6层),96.16㎡,暂无数据,南 北,混合结构,简装,,暂无数据,2023-03-05,商品房,2021-05-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,西边户，全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,欢迎看房,提前联系，随时可看，如看中房子,价格都可以商谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,暂无数据,板塔结合,暂无数据,无,,,,,,,
205,北环小区2-1-1-1 66.30m²,23.9万,3603,金坛区西城街道,北环小区,2室1厅1厨1卫,高楼层 (共5层),66.34㎡,暂无数据,南 北,框架结构,简装,,暂无数据,2022-11-18,商品房,2021-07-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,全天采光,户型方正视野好，交通便利","房子格局好,全天采光,户型方正视野好,明厨明卫。三室二厅一厨一卫：",现在业主诚心出售房子，证件齐全，看房需提起前预约，随时可签！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,暂无数据,塔楼,暂无数据,暂无数据,,,,,,,
206,八佰伴隔壁，白凉亭2居室，双阳台，2层，小区中间,28万,4375,金坛区西城街道,白凉亭新村,2室1厅1厨1卫,中楼层 (共5层),64㎡,暂无数据,南 北,砖混结构,精装,,暂无数据,2023-07-08,商品房,2005-07-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,产权清晰，随时过户，双阳台，中低楼层，不临马路，小区中间,房子户型好，方方正正，没有浪费面积，两个卧室都朝南，朝南双阳台，采光很好，厨房和客厅朝北，,,,此房产权清晰，没有贷款，没有抵押，随时可以过户，并且满5唯一，只有3500元的税费，,暂无数据,平房,暂无数据,无,步3分可到八佰伴商场和大统华，步5分到华中，步6分到西门农贸市场，10分到新天地，和中医院，,,,,,,2层楼层好，2居室总价低，拎包入住，看房随时，产权清晰，没有纠纷，诚意出售，随时签约，
207,五星家园电梯房 精装修 配套设施齐全 拎包入住,78万,7082,金坛区西城街道,五星家园,5室2厅1厨2卫,高楼层 (共10层),110.14㎡,暂无数据,南 北 西,未知结构,精装,,暂无数据,2022-11-17,商品房,2020-03-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,五星家园电梯房 精装修 配套设施齐全 拎包入住,"房子格局好,南北通风户型,全天采光,户型方正视野好，干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
208,阳光花园(金坛)4-3-2-2 122.98m² 82.8 万,76万,6180,金坛区西城街道,阳光花园(金坛),4室3厅2厨2卫,高楼层 (共5层),122.98㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2023-08-12,商品房,2008-06-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"此房满五唯一，格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
209,八百伴旁 春草塘简装三室 看中可谈,100万,6771,金坛区西城街道,春草塘,3室2厅1厨1卫,高楼层 (共6层),147.67㎡,暂无数据,南 北,未知结构,简装,,暂无数据,2023-03-10,商品房,2003-12-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"位置好 南北通风户型,全天采光,户型方正视野好",,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒，,看房方便","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
210,凤凰城爬楼顶复三室三厅两卫精装带车库,79.8万,5306,金坛区西城街道,凤凰城,3室3厅1厨2卫,高楼层 (共5层),150.42㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-10-16,商品房,2009-10-16,普通住宅,满五年,共有,无抵押,已上传房本照片,房子保养好，通透，诚心出售，带露台。小区环境优美，干净！,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,暂无数据,平房,暂无数据,暂无数据,,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,
211,幸福新村顶楼复式等你来预约看房,106.8万,4829,金坛区西城街道,幸福新村,5室3厅1厨3卫,高楼层 (共5层),221.19㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-02-18,商品房,2006-12-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,无,,,,,,,
212,景阳花园3-2-1-1 120.00m² 85 万,88万,7334,金坛区西城街道,景阳花园,3室2厅1厨1卫,中楼层 (共6层),120㎡,暂无数据,南,砖混结构,精装,,暂无数据,2023-05-30,商品房,2019-05-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板楼,暂无数据,暂无数据,,,,,,,
213,金桂美庐3-2-1-1 116.67m² 89.8 万,84.8万,7269,金坛区西城街道,金桂美庐,3室2厅1厨1卫,中楼层 (共9层),116.67㎡,暂无数据,南,砖混结构,精装,,暂无数据,2023-05-30,商品房,2019-08-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
214,全新装修，可以做婚房，三房两厅一卫，,62.8万,6372,金坛区西城街道,金溪新村,3室2厅1厨1卫,中楼层 (共5层),98.56㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-06-13,商品房,2012-08-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,可以做婚房，满五唯一，拎包入住,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,暂无数据,暂无数据,暂无数据,暂无数据,物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,,,,,,此房是业主婚房，人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，有菜市场，公园
215,阳光花园(金坛)3-2-1-1 106.74m² 63 万,63万,5903,金坛区西城街道,阳光花园(金坛),3室2厅1厨1卫,中楼层 (共5层),106.74㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2023-03-16,商品房,2017-09-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,楼层好 南北通风户型,全天采光,户型方正视野好",,"房东买了新房，现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
216,金坛区金溪新村5-2-1-1 137.00m²,66万,5039,金坛区西城街道,金溪新村,5室2厅1厨1卫,高楼层 (共5层),131㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2022-10-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子户型好南北通 采光好 楼层适中 房东诚心出售 价格好谈,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫。隔楼不在证上，有两个房间。有一个13平车库",业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，价格可谈。,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,暂无数据,塔楼,暂无数据,暂无数据,,,,,,,
217,茅山雅居乐山湖城5-3-1-3 182.50m²,420万,23014,金坛区西城街道,雅居乐山湖城,4室3厅1厨3卫,低楼层 (共3层),182.5㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2023-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子户型好南北通 采光好 别墅。 院子大。房东诚心出售 价格..,,业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，价格可谈。,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",暂无数据,塔楼,暂无数据,无,,,,,,,
218,元巷电梯3楼东边户119.8平3室两卫一口价65.8万,65.8万,5493,金坛区西城街道,金城镇元巷小区,3室2厅1厨2卫,低楼层 (共11层),119.8㎡,暂无数据,南,框架结构,毛坯,,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型好毛坯房随意装修119平三房两卫65.8万,,此房房东安全可靠 随时可以看房 随时可以签约 房东置换大房子计划老人孩子一起住,此房是70年产权的商品房 房东是一个点的个税 买方首套房是1.5的契税 二套房是2个点税 三套及以上是3个点的税,,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,此房户型好 三房两卫 适合刚需自住 老人养老 小区门口有店面 菜场  银行 幼儿园
219,雅居乐山湖城4-3-1-4 156.00m²,320万,20513,金坛区西城街道,雅居乐山湖城,4室3厅1厨4卫,低楼层 (共3层),156㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子户型好南北通 采光好 别墅。 房东诚心出售 价格好谈,,业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，价格可谈,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",暂无数据,塔楼,暂无数据,无,,,,,,,
220,私房园田新村3-2-1-3 131.00m²,92.8万,7084,金坛区西城街道,园田新村,3室2厅1厨3卫,低楼层 (共2层),131㎡,暂无数据,南 北,未知结构,简装,,暂无数据,2023-09-27,商品房,2023-07-24,普通住宅,未满两年,共有,无抵押,已上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,",,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,,,,,,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利
