,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
1216,环球港南富都花苑顶楼带阁楼，诚心出售，看房方便,88万,12572,新北区河海,富都花苑北村东区,2室1厅1厨1卫,高楼层 (共6层),70㎡,复式,暂无数据,暂无数据,东南,未知结构,简装,暂无数据,暂无数据,暂无数据,2021-08-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,南北通风效果好 配套齐全 交通方便 地理位置优越,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐,,,全明户型，南北通空间，惬意悠享假日生活；方正通透，大面宽，短进深。通透优雅，经典布局,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产富都花苑店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,,,,,,,
1217,地铁口，新区公园旁兰翔新村。交通便利。。,85万,13282,新北区河海,兰翔新村,2室1厅1厨1卫,高楼层 (共6层),64㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2021-07-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 精装修 不靠铁路位置安静 楼层好 采光好,,,,,,,"：
业主卖房时为了想改善住房条件，业主可随时签约，诚心出售，价格可谈",首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，门口有购物店，能较好地满足日常的生活需求。,,,,,,
1218,兰翔新村房东诚心出售！配套设施齐全，交通便利！,66万,11380,新北区河海,兰翔新村,2室1厅1厨1卫,高楼层 (共5层),58㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套设施齐全，交通便利！,,,,两室一厅一卫的户型， 麻雀虽小五脏俱全 您指的拥有 中上楼层采光刺眼,,,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,小区位于新北区新区公园边 边上配套齐全 生活方便 老年活动室  停车 都很便捷,,,,,,
1219,兰翔新村新北河海成熟板块，坐拥环球港与万达值得..,98万,15807,新北区河海,兰翔新村,2室1厅1厨1卫,中楼层 (共6层),62㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,兰翔新村新北河海成熟板块，坐拥环球港与万达值得.,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，...........,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收..,,,,,,,
1220,中yang公园，新区荣盛锦绣天地，房东诚心出售,168万,17455,新北区河海,锦绣天地,3室2厅1厨1卫,高楼层 (共30层),96.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-06-17,商品房,2021-09-08,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,锦绣天地小区园林设计景观，环境优雅，配套成熟，交通便利,,市府版块、万达商圈、属三井街道交通配套：龙城大道、通江大道、长江路等主干道离市常州南站车程，离常州北站进，离奔牛机场进，离环球港近,公交：B13路、19路公交车至常州行 政服务中 心站下；驾车：汉江路、通江大道等多条路线构成立体交通脉络，距离龙江高架、沪宁高速、京沪高铁、沪宁城际铁路车程较近,,,,,税费：首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5%的增值税,锦绣天地位于汉江路于衡山路交汇处，共13栋住宅，小区内设有小花园、凉亭，居民可在闲暇之时与朋友一起在此谈心聊家常，小区户型面积71平方---144平方之间，房龄较新，交通方便,,,,,,
1221,地铁口 精装 复 式 朝南 带天然气,130万,15134,新北区河海,保纳商业广场,4室2厅1厨2卫,中楼层 (共23层),85.9㎡,复式,暂无数据,塔楼,南,钢混结构,精装,两梯二十五户,有,暂无数据,2021-12-27,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房精装复 式朝南，看房方便，小区配套已发展成熟，人流大,,小区已发展成熟，配套设施完善。离地铁新区公园站仅有350m 离环球港1.3km。近美食街，旁边就是菜场,,,刚装修的，设备齐全，基本上都干净。 适合外地来常州发展的朋友，选择这个房子比较好，配套成熟，居住舒适度较高,,,常州本地二套房买卖，税费均由卖家承担。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年5.3%，满两年免4、满五年唯一免个税1%,,,,,,,
1222,环境好，交通方便，房东诚心出售.,78.8万,13712,新北区河海,兰翔新村,2室1厅1厨1卫,中楼层 (共6层),57.47㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
1223,常信怀德名园经典户型、楼层佳。采光好,115万,12922,新北区河海,常信怀德名园,2室1厅1厨1卫,高楼层 (共31层),89㎡,平层,暂无数据,板塔结合,西北,钢混结构,简装,两梯十八户,有,暂无数据,2021-07-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,常信怀德名园经典小户型、楼层佳。采光好,,,"小区门口有302路、26路、42路,B12、 29路经过，交通出行方便。",,,,业主诚意出售，手续齐全，价格公道，看房方便，节省您的时间和精力,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,
1224,小区中式园林风格，有小桥流水，羽毛球场篮球场网球场,200万,20963,新北区河海,锦绣天地,3室2厅1厨1卫,低楼层 (共30层),95.41㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区中式园林风格，有小桥流水，羽毛球场篮球场网球场,,南面是湿地公园，小区门口就是曼哈顿广场，吃喝玩乐一应俱全！距离万达仅1公里！距离江南环球港1公里！,公交：B13路、19路公交车至常州行 政服务中 心站下；驾车：汉江路、通江大道等多条路线构成立体交通脉络，距离龙江高架、沪宁高速、京沪高铁、沪宁城际铁路车程较近,,,,,税：首套房，90平米以下成交价的1%，二套房90平以上成交价的2%. 增值税：产证满2年免收增值税，未满2年征收5.6%. 个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%权属抵押. 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
1225,恐龙园旁 荣盛馨河郦舍 精装电梯洋房 好楼层 位置安静,330万,21320,新北区河海,荣盛馨河郦舍,3室2厅1厨2卫,中楼层 (共5层),154.79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区位置好 安静 绿化高 环境好 房子精装修 好楼层 居住舒适,,生活设施齐全，银行、菜场、商场饮食，近在咫尺，生活便利，旁边还有恐龙园、迪诺水镇奥特莱斯,,,,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,,,,,,
1226,富都南村   自己住的装修  地段好,65万,9025,新北区河海,富都花苑南村东区,3室1厅1厨1卫,高楼层 (共6层),72.03㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,暂无数据,2023-04-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南北通风效果好 配套齐全 交通方便 地理位置优越,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,全明户型，南北通空间，惬意悠享假日生活；方正通透，大面宽，短进深。通透优雅，经典布局,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,,,,,,,
1227,自住装修 可拎包入住 看房f方便 楼层采光好 繁华里,200万,20503,新北区河海,繁華里,3室2厅1厨1卫,高楼层 (共33层),97.55㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修 保养好 户型方正 位置佳，楼层好,,,,,精装修 全屋定制，装修很好，拎包可入住，看房方便！装修现代简约风格！！房东自住保养很好！,,,"1、契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%，
套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收
5.5%：3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的","小区介绍：有地上停车场和地下车库。小区保安内24巡透，小区地理位置佳，绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区层民使用
户型介绍：中间楼层，采光与视野都赶好。通透户型，通透性比较，客厅视野也很好",,,,,,
1228,环球港旁，精装两房，房东诚心售房。,85万,13493,新北区河海,富都花苑北村东区,2室1厅1厨1卫,中楼层 (共6层),63㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,环球港旁，新精装两房，房东急售，房东看房方便。,,小区离环球港湾近，边上有综合市场，门口有商铺，能满足日常生活需求，出行方便。,,,,,房 东 着 急 卖 了 再 买 的，产 权 清 晰，房  东 配 合 度 高，看 房 方 便。,税费解析: 契税：1.首套90平以下1%2.首套90平以上1.5%3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税：产权满两年免征 产权不满两年征收比例为5.3%个人所得税：产证满五唯一免征 其他统一1%,,,,,,,
1229,龙湖景粼天著三房双阳台全天采光无遮挡,330万,29865,新北区河海,龙湖景粼天著,3室2厅1厨2卫,高楼层 (共27层),110.5㎡,平层,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房通透户型，三开间朝南，业主诚心出售,此房毛坯，可以根据自己的喜好来装修，适合二胎家庭，四代居住0000,,,户型三开朝南双阳台采光刺眼视野开阔，南北透，可根据喜好来装修,,,,,小区分为南区和北区，物业是龙湖物业，小区全封闭管理，24小时都有安保，绿化环境优美,,,,,,
1230,兰翔新村一楼带20平方院子 光线充足,105万,18104,新北区河海,兰翔新村,2室1厅1厨1卫,低楼层 (共6层),58㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-08-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,配套实施齐全，有菜市场有公园，不临街，距离医院近，,,,小区东西南门外都有公交站台 东边还有地铁一号线河海站 3公里可以上龙城高架 上高速,"户型介绍：
户型方正，布局合理，无浪费面积， 小区安静舒适，环境优美，适宜居住",,,"售房详情：
户型方正带院子20平方  诚心出售此房，欢迎看房的，随时恭候.....","税费解析：
存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。","小区介绍：
位置：小区地理位置佳，绿化高，居民素质高 配套：有健身器材，可供小区居民使用 车位：停车位充足，建有地上停车场 保安：",,,,,,
1231,此房户型      挨着环球港,96万,14590,新北区河海,富都花苑北村西区,2室1厅1厨1卫,高楼层 (共6层),65.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-11-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型好.适合刚需人群！挨着环球港,,挨着新区公园，江南环球港和万达广场！上学方便，交通便利！！！！,小区有地铁一号线新区公园站和环球港站，2公里处就是沪蓉高速公路，直达全国各地！,此房两房朝南采光好，光线充足！精装修，房东自主，保养好，安静 随时看房,,,,,,,,,,,
1232,视野好采光刺眼~ 住宅小区 100平大两房 三开间朝南！,155万,15439,新北区河海,道生中心,2室2厅1厨1卫,高楼层 (共33层),100.4㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2022-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区管家式管理 ，大厅24小时管家，70年产权住宅  三开间朝南,,商场：万达广场 ITAT国际品牌服装商场、五星电器新北卖场、国美金太阳电器新北区店医院：华山医院邮局：河海邮政支局银行：农业银行、建设银行、工商银行、交通银行、江苏银行、邮政储蓄其他：新区公园、恐龙园、常州大剧院、常州规划馆,,,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",道生中 心位于新北区通江路旁 附 近有吟枫苑、新区公园、天安城市花园等多个成熟小区,,,,,,
1233,锦绣天地 两房 装修好 楼层好  看房方便,158万,20630,新北区河海,锦绣天地,2室1厅1厨1卫,中楼层 (共30层),76.59㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2022-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 112万元,未上传房本照片,位置地段好  交通便利 小户刚需房,,出行方便 出门BRT 公交 19路 公园就在门口 步行100米 走路5分 到新北公园 小区自带商ye 综合体 曼哈顿 环球港1500米 万达500米 到达三井医院 500米 配套齐全,,,,,,1.存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收..,,,,,,,
1234,繁华里前排三室两卫全天采光纯毛坯,260万,21400,新北区河海,繁華里,3室1厅1厨2卫,低楼层 (共33层),121.5㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，全屋明亮,,,,,,此房产权清晰，无抵押，房源真实，业主诚心出售，看房方便，价格面议，过户全程陪同,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",开发商的是香港大品牌开发商，恐龙园主城板块，楼下商铺满满当当，生活很便利，门口交通很方便,,,,,,
1235,金惠雅居好房出售位置好交通方便采光和,188万,14157,新北区河海,金惠雅居,4室1厅1厨2卫,高楼层 (共9层),132.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满两年，新区公园旁，交通便利，设施齐全,,"：
此房北边新区公园，西边就是万达广场，乐购。南边就是河海综合市场。",小区门口公共自行车，前面通江中路，东边就是晋陵北路，公交车便,,,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,,,
1236,精装婚房 刚住了两年 诚意出售 看房方便,86.8万,13140,新北区河海,富都花苑南村东区,2室2厅1厨1卫,高楼层 (共6层),66.06㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-04-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 53万元,未上传房本照片,地处繁华地带，江南环球港近在咫尺，交通便利，配套齐全 ..,,,公交：11路、13路、36路、18路 地铁一号线 小区周 边有很多共享单车，出行方便,,,,,,富都花苑地处新北繁荣地带，锦江饭店进在咫尺，北邻沪宁高速，方便快捷。小区周 边设施齐全，地处黄河路黄 金街口南侧，交通便捷。,,,,,,
1237,环球港旁 龙城空置  带租约出租  中间楼层,85万,12040,新北区河海,富都花苑南村东区,2室1厅1厨1卫,中楼层 (共6层),70.6㎡,平层,暂无数据,板塔结合,南,框架结构,简装,暂无数据,暂无数据,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房两房朝南 转角大阳台 采光十足 中间楼层 业主诚意出售的..,,,距离地铁一号线1000米左右，距离通江路BRT公交线路200米。交通便利。,两个房间朝南 转角阳台 明窗明卫 户型通透 厨房明亮 看房方便,,,,,,,,,,,
1238,好楼层  大面积  适合多种用途,128万,4628,新北区河海,金城大厦,4室3厅0厨0卫,中楼层 (共20层),276.58㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,四梯十八户,有,暂无数据,2023-08-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,繁华好地段，配套成熟，交通便利（办公楼）,,曼哈顿广场万达广场江南环球房月星家居菜市场乐瑞家生活chao市富都菜市场河海菜市场公园中yang公园新北公园,"公交站台，BRT快速公交,永安行电动自行车，交通都很方便。。",,,,,,小区地理位置好，在汉江路和通江路交汇向西100米，小区是纯办公楼,,,,,,
1239,精装修 新名园舒适好房（户型方正）,85万,18678,新北区河海,新名园,1室1厅1厨1卫,中楼层 (共27层),45.51㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,两梯八户,有,暂无数据,2023-09-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,新名园 户型方正 精致装修  保养好,,,,,精装修 自住房 品牌家具家电 拎包即住 设计简约清爽 适合各个年龄段居住使用,,,目前在常州首房首贷首付3成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,小区人车分流 安静和谐 地段优越 栋数少 好管理 出行方便 欢迎随时看房,,,,,,
1240,环境好，交通方便，房东诚心出售.,70万,11815,新北区河海,侨光苑,1室1厅1厨1卫,中楼层 (共32层),59.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯十二户,有,暂无数据,2023-07-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
1241,恐龙园旁九龙仓繁华里精装3房看房提前联系,200万,16950,新北区河海,繁華里,3室2厅1厨2卫,高楼层 (共33层),118㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-29,商品房,2017-09-30,普通住宅,暂无数据,非共有,有抵押 150万元 经营贷 客户偿还,已上传房本照片,龙城中，九龙仓繁华里 精致装修，中岟空调，3室2卫东边户,,"地下停车库,停车位充足,二十四保安巡逻,菜场,商场,银行等配套设施齐 全,生活方便快捷,交通便利 售房详情小区地理位置佳,绿化好,居民素质高,有健身器材,活动场所,建有地上停车场和 房东置换,诚心出售,看房提前约就好。房子看满意了价格可以谈。",,,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区地理位置绿化居民素质高配套:有健身器材小型篮球场可供小区居民使用车 位:停车位充足建有地上停车场和地下车库保安:小区内24保安巡逻,,,,,,
1242,朗诗绿郡花园 1室2厅 南 北,185万,20650,新北区河海,朗诗绿郡花园,1室2厅1厨1卫,高楼层 (共24层),89.59㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-09-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
1243,配套：有健身器材，小型篮球场，可供小区居民使用,82万,13079,新北区河海,兰翔新村,2室1厅1厨1卫,高楼层 (共6层),62.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-10-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,配套：有健身器材，小型篮球场，可供小区居民使用,,,交通便利：出门有永安行可骑，有公交车站台Y2、33、24，地铁一号线河海站步行可达,户型介绍： 户型方正，布局合理，无浪费面积， 小区安静舒适，环境优美，适宜居住,,,,税费解析： 存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%,小区介绍： 位置：小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场 保安：小区内24小时保安巡逻,,,,,,
1244,朝南 两层 带租出售  近万达环球港 房东急售,45万,9184,新北区河海,富都商务公寓,1室1厅1厨1卫,低楼层 (共22层),49㎡,复式,暂无数据,塔楼,南,钢混结构,精装,五梯三十四户,有,暂无数据,2022-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房是商务楼，自己住家，或者是在里面办公都可以的楼 装修好,,,地铁1号线，万达广场，环球港，丰臣广场，市政府，华山医院，奥体，常发广场,房子是朝南的客厅和卫生间，厨房，客厅而且是做了挑高的复式，显得客厅很明亮 二楼做了一个房间和一个小的过道，可以在上面喝茶聊天，很实用 而且是装修的 直接拎包入住,,,,,新区公园平时可以散步，散心，楼下小吃，餐馆齐全，出门有公交站台，出行便利，小区是封闭式小区，设置安保，24小时巡逻，居住更安全放心，小区设有水系景观，公共健身区域和儿童游乐区,,,,,,
1245,富都南村东区，交通便利，配套齐全,70万,9719,新北区河海,富都花苑南村东区,2室1厅1厨1卫,高楼层 (共6层),72.03㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2021-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地处繁华地带，江南环球港近在咫尺，交通便利，配套齐全,,"综合商场: 五星电器新北卖场、国美金太阳电器新北区店
医院: 常州三三六医院、华山医院
银行/ATM: 建设银行、中国工商银行、农业信用社
邮局/快递: 长江路邮政支局、中国邮政(黄河路)
其他: 锦江大酒店、中发酒家、顺天源面食富都店、燕阳便利店","公交：11路、13路、36路、18路
地铁一号线
小区周 边有很多共享单车，出行方便",,,,,,富都花苑地处新北繁荣地带，锦江饭店进在咫尺，北邻沪宁高速，方便快捷。小区周 边设施齐全，地处黄河路黄 金街口南侧，交通便捷。,,,,,,
1246,荣盛馨河郦舍 1室1厅 南,120万,20690,新北区河海,荣盛馨河郦舍,1室1厅1厨1卫,中楼层 (共25层),58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
1247,兰翔新村配套设施齐全，东边户，交通便利看房方便,72万,12446,新北区河海,兰翔新村,2室1厅1厨1卫,中楼层 (共6层),57.85㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,兰翔新村配套设施齐全，交通便利， 房子近小区南门出门就是菜场,,,小区门口就是1号地铁，菜场在隔壁，到万达和环球港都很 近，学 校在小区，新区公园对 面，位置号 看房方便,朝南户型 地段优越 格局好 通透性好 采光刺眼 欢迎随时看房,,,,契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,,,,,
1248,中创时代广场 中间楼层 精装修 房东诚心卖 价格可谈,77万,8976,新北区河海,中创时代广场,2室2厅1厨1卫,中楼层 (共21层),85.79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯十二户,有,暂无数据,2023-07-22,商品房,2023-08-03,普通住宅,未满两年,非共有,无抵押,已上传房本照片,地段好，交通方便，靠通江路主路；生活方便，靠万达和环球港.,,,,,装修新保养得好配套齐全房子打扫的干净清爽拎包就能入住装修按照调家电厨房卫生间精装.,,,非住宅： 契税，成交价的3%； 增值税及附加，差额的5.6%，另附加税额12%； 个人所得税，差额的20%； 印花税，全额的5%或清算； 土地增值税，全额的30%或清算。,位置：小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,
1249,环球港旁  侨光苑  精装2室 拎包即住,93万,11879,新北区河海,侨光苑,1室2厅1厨1卫,中楼层 (共32层),78.29㎡,平层,暂无数据,板塔结合,东北,钢混结构,精装,三梯十二户,有,暂无数据,2023-08-29,商品房,2020-11-11,普通住宅,满两年,非共有,有抵押,已上传房本照片,"生活设施齐 ，环球港，五金机电城，长贸，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,交通方便，有地铁一号线，有公交y2，b1， 36.11.等路公交车经过，还有共享单车方便出行,,112472131270,精装修 保养好 户型方正 位置佳，楼层好,,,,
