,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
403,牡丹三江公园纯毛坯三房  好楼层，随时看房,155万,12612,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共20层),122.9㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押   客户偿还,未上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，租金比较高，都是自住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产富都花苑店经纪人，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
404,环球港旁，江南五金机电城，公寓楼,40万,6947,新北区龙虎塘,江南五金机电城,1室1厅1厨1卫,低楼层 (共3层),57.58㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2021-08-12,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,小区配套已发展成熟，人流量大，配套齐全，交通便利，可以开公司,适合外地来常州发展的朋友，如果是过度一下，只是居住，或者办公出租，这个房子的选择了,,常州本地二套房买卖，税费均由卖家承担。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年5.3%，满两年免4、满五年唯一免个税1%,,,,,,小区已发展成熟，配套设施完善。离新区公园站仅有350m 离环球港1.3km,,未知,未知,,,2.45元/m3
405,祥龙苑 2室2厅 南 北,90万,10000,新北区龙虎塘,祥龙苑,2室2厅1厨1卫,中楼层 (共9层),90㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 中国邮政 业主自还,未上传房本照片,,,,,,,,,,,,,,,,
406,九洲花园三期 116平方 精装修,173万,14914,新北区龙虎塘,九洲花园三期,3室2厅1厨1卫,高楼层 (共21层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 江南银行 业主自还,未上传房本照片,环球港旁边，房子采光很好无遮挡，精装50万，实木品质家具家电,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,出行方便，小区门口环保自行车、公交站，邻近地铁站、高铁站，高速口,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,,
407,精装修 楼层好 满五唯一 看房方便 房东诚意出售,62.8万,10828,新北区龙虎塘,玲珑花园,1室1厅1厨1卫,中楼层 (共11层),58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满五唯一 精装修，一居室，好楼层，双证齐全,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,
408,九洲花园精装大三房，好户型，房东急售,140万,11815,新北区龙虎塘,九洲花园北区,3室2厅1厨1卫,低楼层 (共26层),118.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,环球港旁，楼层好，精装修，房子全天采光..,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,优雅观景，让阳光与清风轻松入户，给诗意更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,本小区交通方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可 小区门口有共享单车、11路公交、BRT站台。出小区300米29路公交车，距离地铁1好线环球港站1000米,,,,,,
409,恐龙园旁豪 装没怎么住过 全天采光 看房方便,155万,12110,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,高楼层 (共18层),128㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,婚房装修 小区中海物业 环境好 小区新 房型好 楼层好,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,房龄新 三开间朝南 精装修 楼层佳 业主诚心出售 视野开阔 舒适三房,,央企 中海物业 小区生活方便，出小区800米到玲珑菜场跟信特卖场 龙虎塘 学 校 到幼儿园出小区100米就能到 平常带孩子步行即可,,,,,,,
410,九洲花园一期，远离高铁，93平 价格可谈,96万,10291,新北区龙虎塘,九洲花园北区,2室2厅1厨1卫,高楼层 (共26层),93.29㎡,平层,72.96㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-13,商品房,2010-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
411,满五唯一 少个税 房东诚心出售的 配套成熟 看中可谈,115万,12649,新北区龙虎塘,九洲花园南区,2室2厅1厨1卫,低楼层 (共25层),90.92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,近环球港 地铁1号线 好楼层 户型方正,,,"：
契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税",,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,小区环境优美，与环球港，万达近 为社区居民提供了优美的生活环境。九洲花园社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,,,,,,,
412,无抵押中间层南北三房，随时看房方便，房价可谈！,235万,17029,新北区龙虎塘,牡丹·水岸国际,3室1厅1厨2卫,中楼层 (共18层),138㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,两梯三户,有,暂无数据,2022-10-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,无抵押，无户口，交通便捷，设施齐全，门口就是地铁口，BRT。,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，总层高18层的小高层，得房率高。",1、小区生活设施齐全 ，菜市场、银行、BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,,,,,,,
413,九洲2期 东边户 精装4房 好楼层 看房方便,175万,11842,新北区龙虎塘,九洲花园南区,4室2厅1厨2卫,高楼层 (共28层),147.78㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房边户通透，4房精装修，楼层好，配套齐全，价格实惠,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,
414,玲珑花园精装两房97平方113万采光无影响诚心出售,113万,11650,新北区龙虎塘,玲珑花园,2室2厅1厨1卫,低楼层 (共30层),97㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,此房三朝南方正户型，全新装修保养好，配套齐全，看房方便,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,,,,,,
415,精装修保养好  拎包即住  欢迎看房,165万,14232,新北区龙虎塘,美林湖花园,3室2厅1厨2卫,中楼层 (共22层),115.94㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-07-23,商品房,2022-08-11,普通住宅,未满两年,非共有,有抵押,已上传房本照片,房子是三室两厅两卫  精致装修  品牌家电,,,目前在常州首房首贷首付2成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,,,小区位于新北区环球港商圈  边上恐龙园  地段优越  人车分流  欢迎随时看房,,,,,全新精装修设计上也是 用心专注    地段优越  品牌家电  自住 保养好,,
416,玲珑花园 中高楼层 随时看房 价格可谈,105万,11684,新北区龙虎塘,玲珑花园,2室2厅1厨1卫,低楼层 (共22层),89.87㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区位置安静 绿化高 环境好 ，生活交通配套完善。,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,,小区门口有共享单车，出小区200米29路公交车，距离地铁1好线环球港站1300米,,有绿地公园，平时吃完饭可以散散步，恐龙园走走就到，平时节假日可以带孩子逛逛,,,,,,
417,龙栖花园 2室1厅 南,120万,13954,新北区龙虎塘,龙栖花园,2室1厅1厨1卫,中楼层 (共11层),86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60,未上传房本照片,,,,,,,,,,,,,,,,
418,急售 玲珑花园 精装三房  看房方便,140万,11109,新北区龙虎塘,玲珑花园,3室1厅1厨1卫,低楼层 (共11层),126.03㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 工商 业主自还,未上传房本照片,此房户型方正，精装修，楼层好，采光足，配套齐全..,,售房详情： 业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约,"税费解析： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,交通出行： 生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,,,
419,恐龙园精装三房，户型方正，视野采光好,140万,12228,新北区龙虎塘,锦珑湾花园,3室1厅1厨2卫,高楼层 (共18层),114.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装三房，小区环境好，视野采光好，,,业主开盘时买的期房，房子装修好后偶尔回来住住，业主诚心出售，看房方便。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,,小区开发商中海，中海物业，小区人车分流，保安24小时巡逻，给您一个舒适安全的居住环境。,,,,,,,
420,玲珑花园 3室2厅 南 北,148万,12033,新北区龙虎塘,玲珑花园,3室2厅1厨1卫,中楼层 (共11层),123㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
421,玲珑花园精装两室满五唯一拎包住,99万,10220,新北区龙虎塘,玲珑花园,2室2厅1厨1卫,中楼层 (共30层),96.87㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,新装修保养好，自住中，拎包即住，生活配套齐全,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,房子是五年多前新装修的家电齐全，自住保养好，可以拎包入住，看房方便,,
422,玲珑花园 3室2厅 南,145万,11329,新北区龙虎塘,玲珑花园,3室2厅1厨1卫,低楼层 (共11层),128㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
423,恐龙园旁 简装两房 总价低 随时看房,110万,12458,新北区龙虎塘,玲珑花园,2室2厅1厨1卫,低楼层 (共11层),88.3㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满两年 户型好 交通便利，出门公交站,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,此房前面视野开阔，采光好，以利用空间多，小户型，适合一家三口居住,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,,,
424,外国语旁 盘龙苑 锦装修 房东 诚售,86万,13231,新北区龙虎塘,盘龙苑西区,2室1厅1厨1卫,中楼层 (共6层),65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五不唯一，两房朝南，婚房装修，拎包入住,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
425,牡丹水岸国际 毛坯三房 看房有钥匙,185万,17789,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨1卫,中楼层 (共18层),104㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,区地理位置优越，交通便捷，设施齐全，门口就是地铁口，BRT,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，小高层得房率高",小区生活设施齐全 ，菜市场、银行、BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,,
426,房东诚售，户型方正，南北通空间，惬意悠享假日生活。,230万,20721,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨2卫,低楼层 (共18层),111㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-07-26,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 55万元,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,门口地铁，BRT，交通便利，距离环球港一个红绿灯，距离三江公园一个红绿灯。,,,,,,,,
427,环球港 精装 三江公园 一梯一户通透三开间朝南 3房2卫,195万,16737,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,高楼层 (共18层),116.51㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-09-06,商品房,2020-08-21,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,环球港 精装 三江公园 一梯一户通透三开间朝南 3房2卫 格局好,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,此房 产权清晰，交易简洁方便 全程过户陪同 。。。。。。。。,,,,,
428,美林湖 精装两房好楼层 不靠高速 家具家电全拎包住,79万,11606,新北区龙虎塘,美林湖花园,2室1厅1厨1卫,中楼层 (共22层),68.07㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,房子好楼层 精装修 房东做两房 家具家电全 拎包住,小区环境好 绿化高 高正物业 物业费1元/平 小区人车分流 小区居民素质高,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区地理位置佳，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,
429,靠着恐龙园边上  拎包即住 看房子随时都可以,110万,12360,新北区龙虎塘,香树湾名苑,2室1厅1厨1卫,中楼层 (共11层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房视野开阔，配套完善，交通便利,此房总价低，适合预算不是太多的客户，首 套一家人 适合夫妻俩带着小孩一起住,,"首套房90平及以下契税1%，90平以上契税1.5% 二套房90平及以下契税1%，90平以上契税2% 三套及以上契税3%

房主自荐(业主对房源的描述)",,,,,,小区北边有祥龙公园，玲珑菜场，生活购物休闲娱乐，配套设施齐全,,,,,,
430,九洲花园二期精装大三房 126平 185万 南北通透 东边户,143万,11350,新北区龙虎塘,九洲花园南区,3室2厅1厨2卫,低楼层 (共27层),126㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-08-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 26万元 兴业银行 业主自还,未上传房本照片,此房满五唯一，房东诚心出售，户型通透性好，位置优越,,,"税费解析：
二手房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率）若买方此次购房为首套且房屋面积为90平以下，则收取1%，面积大于90平，则收取1.5%；二套房90平以下依旧收取1%，大于90平，收取2%；三套房不论面积大小均收取3%",,,,小区电动车和汽车都可驶入，小区内道路宽敞，小区门口有公交站台和共享单车点，公交站台站点清晰，方便老人出行，共享单车适合和休闲时间和朋友一起绿色出行,此小区属于常州产权，环境优美，绿化覆盖高，干净整洁，内有健身器材和荷花池，物业服务态度好,,,,,,,
431,环球港旁，精装2房，房东诚心出售,80万,9459,新北区龙虎塘,盘龙苑西区,2室2厅1厨1卫,低楼层 (共6层),84.58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,通江路沿街各种美食商品店铺及现代城、新区公园、中华恐龙园、高尔夫球场,,,,,,
432,地理位置优越，交通便捷，设施齐全，门口就是地铁口,260万,21139,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨2卫,高楼层 (共18层),123㎡,平层,暂无数据,暂无数据,南,框架结构,精装,两梯四户,有,暂无数据,2023-10-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地理位置优越，交通便捷，设施齐全，门口就是地铁口，BRT,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，小高层得房率高",小区生活设施齐全 菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,,
433,新北区环球港旁 祥龙苑精装2房 小高层 家电齐全,100万,11126,新北区龙虎塘,祥龙苑,2室2厅1厨1卫,高楼层 (共9层),89.88㎡,平层,暂无数据,板塔结合,北 南,钢混结构,精装,十九梯两户,有,暂无数据,2023-05-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 15万元 建行 业主自还,未上传房本照片,满五不唯一，小区环境优雅，配套成熟，交通便利，居住舒适,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学,,,,,,此房业主精心装修 保养好，家具家电全留，为您节省很多时间和金钱成本，可直接拎包入住,,
434,此房满五唯一，精装修，边户通透，楼层好，配套齐全,130万,9519,新北区龙虎塘,玲珑花园,3室2厅1厨2卫,低楼层 (共30层),136.58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，精装修，边户通透，楼层好，配套齐全,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方,"、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,
435,恐龙园旁边 精装三房 好楼层 采光好 看房方便,125万,14075,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,中楼层 (共19层),88.81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-11-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,小区是几年前前各个交付的人次新小区 2小区环境优雅密度低,,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税,,,1房子是88平方的三房 三朝南户型方正 随时方便看房子 装修也还可以,,小区是央企中海开发 2物业也是开发商直接管理的不存在外包 4小区都是总高18层的小高层 密度低 入住率高,,,,,,,
436,九洲花园三期，三室两厅，有车位，近环球港，位置好,150万,12932,新北区龙虎塘,九洲花园三期,3室2厅1厨1卫,高楼层 (共21层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,三室两厅有两个车位，价格 小区环境好，物业管理好，安全配套,,,,,,,出行方便，小区门口环保自行车、公交站，邻近地铁站、高铁站，高速口,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,"配套齐全，与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全
本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可",,,,,,
