,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
235,业主诚心售房 看房方便 欢迎咨询 随时来电,80万,11429,新北区小新桥,锦海星城,2室2厅1厨1卫,中楼层 (共22层),70㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,满五年唯一，中高层，户型方正，诚意售房,,户型方正  家里装修好的   收拾清清爽爽 适合小两口甜蜜居住  高质量单身女性购置婚前财产 父母养老,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,出门有共享单车，楼下就是公交车站，距离地铁一号线两个红绿灯，距离高铁站，汽车站还是比较近的，交通还是比较方便的。,,,,,,,
236,新欣嘉园，刚交付新小区，三房两卫业主城售,129.8万,10640,新北区小新桥,新桥新欣嘉园,3室2厅1厨2卫,高楼层 (共32层),122㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,南北通、三面采光、全方位景观，愉悦心情与每一位家人即时分享。,,,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。","发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,"如果您不想经历新房期房的漫长等待，那么这一套次新小区的纯毛坯，将会是无二
选择，灵动自由的改装空间等待热情四溢的您来改变。",,,,,,
237,滨江明珠城 3室1厅 南,116万,11886,新北区小新桥,滨江明珠城,3室1厅1厨1卫,高楼层 (共18层),97.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
238,户型方正，房东诚心售房，看房方便。,105万,11414,新北区小新桥,锦海星城,2室2厅1厨1卫,高楼层 (共18层),92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房源户型方正，公摊少，房东诚心出售可谈价，楼层采光棒。,业主现诚心出售，卖房是为了换房，证件齐全，欢迎随时看房，随时恭候，如看中房子，价格好谈。,,"、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是家庭（夫妻双方及未成年子女加起来）唯一套住房，免收个税，未满5年成交价的1%",,,,出门有共享单车，楼下就是公交车站，距离地铁一号线两个红绿灯，距离高铁站，BRT还是比较近的，交通比较方便。,,,,,,,
239,新桥滨江明珠城  楼间距大 有钥匙,157万,10656,新北区小新桥,滨江明珠城,4室2厅1厨2卫,高楼层 (共22层),147.34㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境好 楼间距大 房子精装修家具家电全 拎包住,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明 坐落有序，现场体验效果更加明显,小区环境优美，绿化面积覆盖高，内有健身器材和娱乐广场，居民素质高，物业服务态度好。配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐,,,,,,,,
240,满五年唯一，方正两房，看房随时，房价可谈！,95万,11666,新北区小新桥,清水湾花园三期,2室1厅1厨1卫,高楼层 (共34层),81.44㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-06-01,商品房,2016-04-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精致两房，全明设计，居住舒适，空间设计利用合理，随时可看！,房东卖房是为了变现，诚心出售此房，留有钥匙，看房方便，房价还可以商量。,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%。,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,,,,,,,,,,
241,北郊高中旁 精装修两房 房东诚心出售 看房方便,105万,11064,新北区小新桥,滨江明珠城,2室2厅1厨1卫,中楼层 (共20层),94.91㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-01-09,商品房,2019-07-15,普通住宅,暂无数据,非共有,有抵押 70万元,已上传房本照片,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；还有内部商 业街生活便利,,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,,112441156477,户型通透性好，房东诚心出售，地理位置优越，周 边配套齐全,,
242,百馨南苑 纯毛坯  满二  有证  随时看房,100万,7937,新北区小新桥,百馨南苑,3室2厅1厨2卫,高楼层 (共5层),126㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2020-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野好，采光刺眼，通风通气都很好,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,,,,,此房产权清晰，没有抵押，业主诚心出售，看房方便，过户全程陪同，有产证，满二可安全放心交易。,,,,,
243,滨江明珠城 精装两房 低楼层 无遮挡 视野广,130万,13685,新北区小新桥,滨江明珠城,2室2厅1厨1卫,低楼层 (共20层),95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2020-07-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，房东诚心，采光好 满五不唯一,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、低楼层，朝向南北，视野开阔。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区生活设施齐全，、*市、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,,,,
244,南北通、三面采光、全方位景观，愉悦心情与每一位家人,103万,10641,新北区小新桥,滨江明珠城,2室2厅1厨1卫,低楼层 (共15层),96.8㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2020-04-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南北通、三面采光、全方位景观，愉悦心情与每一位家人即时分..,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产凤凰名城店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,该房装修细致入微，业主家中亲戚就是学室内装修设计的，同事也在合伙经营一家装修公司，又是自己的房子很重视，品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。即买即享受省心、省力、省时。,,,,,,
245,百丈  百馨西苑一期  纯毛坯两房  楼层采光好,80万,9713,新北区小新桥,百馨西苑一期,2室2厅1厨1卫,中楼层 (共6层),82.37㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-06-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，朝南，采光佳，毛坯，方便看房 诚心出售,此房虽然是安置房 但是有产权证 那边政策是可以正常交易 放心购买 这个价格适合刚需人群,,个人所得税1%.契税看买房套数 注：1契税：首套房90m以下1%，以上1.5% 二套房90m以下1%，以上2% 三套房不论面积大小均为3% 2个人所得税：个税全额的1%,,,小区地址：新北常州市新北区春江镇百馨苑小区所属区域：新北 春江邮 编：213001产权描述：70年物业类别：住宅建筑年代：2008年建成建筑结构：钢筋混凝土、砖混建筑类型：板楼绿 化 率：35%容 积 率：0.80,有共享单车，公交，菜场，银行，药店，早餐店，快餐店，奶茶一应俱全,,,,,,,
246,南北通、三面采光、全方位景观，愉悦心情与每一位家人,110万,12264,新北区小新桥,滨江明珠城,2室2厅1厨1卫,低楼层 (共16层),89.7㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2020-06-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,南北通、三面采光、全方位景观，愉悦心情与每一位家人即时分享。,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产凤凰名城店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,该房装修细致入微，业主家中亲戚就是学室内装修设计的，同事也在合伙经营一家装修公司，又是自己的房子很重视，品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。即买即享受省心、省力、省时。,,,,,,
247,高铁新城  精装两房  诚心出售  随时看房  全天采光,122万,13708,新北区小新桥,锦海尚城,2室1厅1厨1卫,高楼层 (共18层),89㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。,,,,,,,,,,
248,新北区滨江明珠城顶楼复式另外有50个平方，看中可刀,313万,12988,新北区小新桥,滨江明珠城,6室2厅1厨2卫,高楼层 (共18层),241㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利 .,房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖，,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,,,,
249,滨江明珠城 1室1厅 南,55万,12338,新北区小新桥,滨江明珠城,1室1厅1厨1卫,低楼层 (共22层),44.58㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-11-25,商品房,2021-07-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
250,高铁新城  新景花园  诚心出售  户型方正,108万,12966,新北区小新桥,新景花苑西区,2室2厅1厨1卫,低楼层 (共15层),83.3㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-06-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,高铁板块，痛风性强格局，楼层好，视野宽阔。采光充足，配套..,业主原来打算装修好自用，因为工作的原因要离开这个片区，所以诚意出售，正常首付，接受商贷和公积金贷款,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,1.契税： 首套房90㎡以下1%，以上1.5% 二套房90㎡以下1%，以上2% 三套房不论面积大小均为3% 2.税及附加： 满4年不论面积全免 不满4年全额的5.6% 3.个人所得税： 个税全额的1% 房东满5减免,,,,,,,,,,,
251,高铁新城 清水湾三期 两室二厅 配套成熟 交通便利,120万,14635,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,设计合理，居住舒适，空间设计利用合理，看房方便,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商场，人才市场，医院，公园一应俱全,,,,,,,,,
252,方正通透，视野宽阔 采光无遮挡，配套设施齐全,130万,16050,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,低楼层 (共34层),81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,方正通透，视野宽阔 采光无遮挡，配套设施齐全,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘。 房屋买卖交易问 题可以随时致电垂询。我会竭诚为您服务,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
253,高铁新城，全明户型，视野宽阔 采光充足 交通便利,130万,15961,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,高楼层 (共34层),81.45㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 8万元,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
254,百馨苑北区 楼层好 采光佳 房东诚售,60万,7084,新北区小新桥,百馨苑北区,2室2厅1厨1卫,高楼层 (共6层),84.7㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-12-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,小区环境优美，安静，楼层好，视野开阔,售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,生活设施齐  菜场 商场 饮食近在咫尺 生活起居很方便 。。。。。。。。,,,,,,,,,
255,雅居乐 西悦府 3房两卫 精装修 房东 诚售,208万,18408,新北区小新桥,雅居乐常州熙悦府,3室2厅1厨2卫,中楼层 (共16层),113㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
256,新景花苑二期 经典两房 看房方便,86万,10154,新北区小新桥,新景花苑二期,2室2厅1厨1卫,低楼层 (共18层),84.7㎡,平层,84.7㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-07-18,商品房,2018-11-08,普通住宅,暂无数据,共有,有抵押 公积金贷款,已上传房本照片,此房目前满二自住，飞机户型套内光线较好，比较通透。,业主自购居住因有其它购房要求故出让此套房源此价格目前较低于市场上的精装房且诚心可以议价,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,小区是小新桥的动迁电梯房，较同时期的商品房反而在品质上胜出，居住环境较舒适，节奏不会太快，光照楼栋分布较好，层高普遍不高,,,,,,,,
257,滨江明珠城 顶楼复式  看房方便,258万,12111,新北区小新桥,滨江明珠城,6室2厅1厨3卫,高楼层 (共22层),213.04㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-16,商品房,2023-11-13,普通住宅,未满两年,共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,顶楼复式  房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
258,高铁新城，全明户型，视野宽阔 采光充足 交通便利,118万,12827,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共34层),92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
259,滨江明珠城 4室2厅 南,160万,11621,新北区小新桥,滨江明珠城,4室2厅1厨2卫,高楼层 (共22层),137.69㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-12-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
260,滨江明珠城 2室2厅 南,99万,11295,新北区小新桥,滨江明珠城,2室2厅1厨1卫,中楼层 (共22层),87.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-25,商品房,2020-08-21,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,
261,新龙花苑 2室2厅 南,80万,9789,新北区小新桥,新龙花苑,2室2厅1厨1卫,中楼层 (共6层),81.73㎡,平层,73.42㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-07,商品房,2010-12-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
262,精装大两房  可直接拎包入住  欢迎咨询,90万,10976,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),82㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯三户,有,暂无数据,2023-12-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 建行,未上传房本照片,此房 楼层好 户型方正  诚心出售随时可看,,此户型南北通风效果好 没有浪费面积 动静区域分离 明厨明卫，客厅餐厅连通 空间感大居住舒适,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率，）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%,,,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅！,,,,,,,,
263,小区地理位置优越，交通便捷辐射广设施齐全生活便利,160万,10860,新北区小新桥,滨江明珠城,4室2厅1厨2卫,高楼层 (共22层),147.34㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-11-30,商品房,2007-11-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,,,,
264,小区地理位置优越，交通便捷，设施齐全，楼层好,91万,11235,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-03,商品房,2017-12-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,,,,,
265,锦海星城 3室2厅 东南,130万,9984,新北区小新桥,锦海星城,3室2厅1厨2卫,高楼层 (共22层),130.21㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-20,商品房,2017-03-14,普通住宅,暂无数据,共有,有抵押 客户偿还,已上传房本照片,,,,,,,,,,,,,,,
266,锦海尚城 2室2厅 南,110万,12330,新北区小新桥,锦海尚城,2室2厅1厨1卫,中楼层 (共18层),89.22㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-17,商品房,2017-01-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
267,新龙花苑东区 2室2厅 南,115万,14025,新北区小新桥,新龙花苑东区,2室2厅1厨1卫,低楼层 (共6层),82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
268,清水湾花园三期 3室2厅 南 西 北,160万,12605,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,高楼层 (共32层),126.94㎡,平层,100.5㎡,板塔结合,南 西 北,钢混结构,简装,两梯四户,有,暂无数据,2024-02-22,商品房,2012-08-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
