,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,交通出行,户型介绍,房源核验码,查询房管备案记录,适宜人群,装修描述,周边配套,小区介绍,权属抵押,用水类型,用电类型,燃气价格,别墅类型
460,牡丹蓝光晶曜 成熟商圈 采光充足 户型好,235万,18504,新北区新桥,牡丹蓝光晶曜,4室2厅1厨2卫,高楼层 (共26层),127㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,牡丹蓝光晶曜 成熟商圈 采光充足 户型好,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,,,
461,弘扬上坤云峯 精装交房 集中供冷供暖 采光佳 楼层好,178万,18444,新北区新桥,弘阳上坤云峯,3室2厅1厨1卫,高楼层 (共31层),96.51㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,,,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,
462,高些新城板块 蓝光晶曜 精装修交付 房东诚售,220万,19561,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,高楼层 (共19层),112.47㎡,平层,暂无数据,板楼,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好 户型好 精装修 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
463,弘阳上坤云峯 3室2厅 南,220万,20184,新北区新桥,弘阳上坤云峯,3室2厅1厨2卫,低楼层 (共33层),109㎡,平层,暂无数据,板塔结合,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
464,牡丹蓝光晶曜 精装 三房户型方正,190万,16965,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,中楼层 (共27层),112㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,牡丹蓝光晶曜 精装 三房户型方正  看房方便,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,,,
465,礼韵世家花园 3室2厅 南 北,288万,20704,新北区新桥,礼韵世家花园,3室2厅1厨2卫,高楼层 (共25层),139.11㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2024-01-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
466,碧桂园壹号天禧.精装房.看房方便,245万,20589,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,低楼层 (共20层),119㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子南北通透，看房方便，业主诚心出售，,房东需要置换一套大面积的房子 改善 现在诚意出售，看房可预约，,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,,此房边户，两个房间朝南 一个房间朝北 客厅朝南带阳台 阳台还是双阳台，厨房卫生间是全明通透户型,,,,,,,,,,,
467,牡丹蓝光晶曜 4室1厅 南,229万,17973,新北区新桥,牡丹蓝光晶曜,4室1厅1厨2卫,中楼层 (共27层),127.42㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-26,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,,,,,,,,,,,,,,,,
468,弘扬上坤云峯 精装交房 集中供冷供暖 采光佳 楼层好,200万,17318,新北区新桥,弘阳上坤云峯,3室2厅1厨2卫,低楼层 (共29层),115.49㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-15,商品房,2022-07-29,普通住宅,未满两年,非共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,,,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,
469,高铁新城，精装洋房，楼层好，户 型 通 透,339万,22717,新北区新桥,牡丹蓝光晶曜,4室2厅1厨2卫,中楼层 (共10层),149.23㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房采光 户型好 精装修 洋房中间楼层 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
470,弘阳上坤云峯 三开间户型 采光和视野好,180万,18619,新北区新桥,弘阳上坤云峯,3室1厅1厨1卫,高楼层 (共29层),96.68㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,弘阳上坤云峯 三开间户型 采光和视野好 看房方便,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,,,
471,碧桂园一号天禧 婚装房 带两车位 价格能谈,218万,18349,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,低楼层 (共20层),118.81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,南北通，格局好，所在小区位置好，婚装房，带两个车位,,,,户型方正通透敞亮三房两卫客厅带阳台朝南两房间朝南楼层适中采光好日照佳南北通的好房,,,通透大三房两卫，旁边有外国语学，北郊高中不到百米，很适合陪读的； 精装交付未入住可直接做婚房；三房两卫也适合置换家庭,碧桂园开发商精装交付，客厅品牌地砖方便卫生清洁；房间实木地板，品牌家电；卫浴淋浴和厨房油烟机燃气灶都配备全,,,,,,,
472,房楼层好 户型好 业主诚售  随时可看,245万,21262,新北区新桥,弘阳上坤云峯,3室1厅1厨2卫,低楼层 (共31层),115.23㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房楼层好 户型好 业主诚售  随时可看,亲和力爆棚的业主，房东不在常州诚心出售，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,,,
473,碧桂园光明·碧玥和鸣 3室2厅 南,185万,17290,新北区新桥,碧桂园光明·碧玥和鸣,3室2厅1厨2卫,中楼层 (共27层),107㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
474,高铁新城，全明户型，视野宽阔 采光充足 交通便利,156万,12000,新北区新桥,清水湾花园二期,3室1厅1厨2卫,高楼层 (共27层),130㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 15万元,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,：亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
475,此房采光 户型好 精装修 中高楼层 随时可看,180万,18557,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,中楼层 (共26层),97㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-01-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房采光 户型好 精装修 中高楼层 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
476,碧桂园光明·碧玥和鸣 4室2厅 南,278万,21385,新北区新桥,碧桂园光明·碧玥和鸣,4室2厅1厨2卫,中楼层 (共18层),130㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
477,高铁新城  金科保利北郡花园  好楼层   诚心出售,195万,16811,新北区新桥,金科·保利北郡花园,3室2厅1厨1卫,高楼层 (共27层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,"：发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,
478,新北区 高铁新城 地铁口 绿地名敦道  中上楼层 包税,185万,17130,新北区新桥,绿地名敦道,3室2厅1厨2卫,中楼层 (共27层),108㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,,小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架,,,,,,
479,高铁新城  次新小区  蓝光晶曜  视野开阔,196万,20000,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,高楼层 (共27层),98㎡,平层,暂无数据,板楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房是低楼层 户型好 精装修 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
480,碧桂园壹号天禧 3室2厅 南,162万,16531,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,中楼层 (共19层),98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
481,高铁新城，全明户型，视野宽阔 采光充足 交通便利,106万,12184,新北区新桥,清水湾花园一期,2室2厅1厨1卫,高楼层 (共32层),87㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利，满五唯一,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
482,壹号天禧精装修四房没住过 有钥匙看房方便,260万,18182,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,高楼层 (共18层),143㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子的话产权清晰，户型方正，南北阳台,,,,,,,,开发商精装交付，格局完全没改动，小高层的布局，一梯一户的户型。,东门出门有公交，北门出门有地铁1号线，隔壁小区有银行，药店和菜场都是齐全的。环球港离得也近。1公里这样的距离,,,,,,
483,碧桂园壹号天禧 3室2厅 南 北,185万,15219,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,中楼层 (共19层),121.56㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-27,商品房,2021-02-28,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,,,,,,,,,,,,,,,,
484,户型周正，格局分布合理，空间感好，通透性强，,105万,10043,新北区新桥,腾龙苑西区,3室1厅1厨1卫,低楼层 (共11层),104.56㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2024-01-01,商品房,2009-03-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,
485,清水湾花园一期 户型方正 精装 看房方便,110万,12269,新北区新桥,清水湾花园一期,3室1厅1厨1卫,高楼层 (共32层),89.66㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,清水湾花园一期 户型方正 精装 看房方便,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
486,酔美好楼层！业主诚售！房子包满意！价格好谈！等你来,240万,18321,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,中楼层 (共17层),131㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅看房方便业主诚心出售,,,小区楼下直通一号线地铁口北郊中 学站 出行方便 地面也有BRT站台 距离龙江路高架1200米 距离常州北站800米 距离沪宁高速入口1.2公里 出行方便,,,,,此房装修温馨 没有浪费面积设计合理适合各类人群发现美 随时可以看房,南边是高铁生态园林，也有新龙湖音乐公园。 有幼儿园，一路之隔是北郊，一站路是外国语。 门口就是BRT和地铁1号线，东门和西门北门也有公交站台 餐饮、娱乐、零食店一应俱全,,,,,,
487,碧桂园壹号天玺 中间排 中上楼层 新装修未入住,228万,19546,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,中楼层 (共20层),116.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
488,捡大漏！楼层很好！房子包满意！业主诚售！随时看房,208万,15929,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,中楼层 (共17层),130.58㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,2023-03-30,普通住宅,未满两年,共有,有抵押,已上传房本照片,小区环境优雅看房方便业主诚心出售,,,小区楼下直通一号线地铁口北郊中 学站 出行方便 地面也有BRT站台 距离龙江路高架1200米 距离常州北站800米 距离沪宁高速入口1.2公里 出行方便,,,,,此房装修温馨 没有浪费面积设计合理适合各类人群发现美 随时可以看房,南边是高铁生态园林，也有新龙湖音乐公园。 有幼儿园，一路之隔是北郊，一站路是外国语。 门口就是BRT和地铁1号线，东门和西门北门也有公交站台 餐饮、娱乐、零食店一应俱全,,,,,,
489,高铁新城 保利北郡 三房 精装修 房东诚售,190万,16347,新北区新桥,金科·保利北郡花园,3室1厅1厨2卫,中楼层 (共27层),116.23㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-20,商品房,2020-09-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,金科·保利北郡 精装100平未入住 新桥买房 小聂帮忙,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,,,
490,蓝光晶耀  舒适好房  诚意出售,190万,15046,新北区新桥,牡丹蓝光晶曜,4室1厅1厨2卫,低楼层 (共26层),126.28㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-12,商品房,2023-03-30,普通住宅,未满两年,共有,无抵押,已上传房本照片,户型好 精装修  有钥匙  随时看房  业主诚意出售,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，软装装修可以按自己喜欢风格装修,,,,,,,
491,地铁口金科保利 精装修四室 视野开阔,280万,19719,新北区新桥,金科·保利北郡花园,4室2厅1厨2卫,高楼层 (共18层),142㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正，视野开阔，采光充足，交通便利，出入方便 随时可看,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,,宽敞明亮，布局大方，采光好，公交地铁十分方便。出行方便，上下班方便,,,,,,,,
492,牡丹蓝光晶曜 12月新上 看房方便 7层小洋房,298万,23101,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,高楼层 (共7层),129㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,牡丹蓝光晶曜 12月新上 看房方便 7层小洋房,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,,,
493,高铁新城大三房横厅 精装交付115 平次新房,205万,17673,新北区新桥,金科·保利北郡花园,3室2厅1厨2卫,中楼层 (共27层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-26,商品房,2020-12-01,普通住宅,暂无数据,共有,有抵押 50万元 / 业主自还,已上传房本照片,户型方正，视野开阔，采光充足，交通便利，出入方便 随时可看,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,宽敞明亮，布局大方，采光好，公交地铁十分方便。出行方便，上下班方便,,,,,,,,
494,高铁新城 次新小区 蓝光晶曜  看房方便,180万,18182,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,低楼层 (共21层),99㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房是低楼层  户型好 精装修 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
495,区地理位置优越，交通便捷，设施齐全,95万,10009,新北区新桥,腾龙苑西区,2室2厅1厨1卫,低楼层 (共11层),94.92㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,2008-10-15,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,区地理位置优越，交通便捷，设施齐全,房东到外地工作，业主工作调动诚心置换故此出售。忍痛挂牌，业主家庭和睦，等待有缘人接盘。,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收.,,,,,,,亲和力爆棚的教育：小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,,,,,,
