,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,户型介绍,别墅类型,售房详情,适宜人群,装修描述,权属抵押,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
607,顺园八村 前八村好楼层大三房两厅两卫 有钥匙看房方便,100万,8357,新北区薛家,顺园八村一期北区,3室2厅1厨2卫,中楼层 (共6层),119.67㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
608,东渡海派青城毛坯南入户北院子有钥匙看房,258万,22076,新北区薛家,东渡海派青城,3室2厅1厨3卫,低楼层 (共4层),116.87㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2023-10-25,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,此房联排别墅中间户，可独立停两辆车，业主诚心卖,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,暂无数据,,,,,,,,,
609,急售怡枫苑纯毛坯三房东边户双阳台有钥匙看房,105万,10513,新北区薛家,怡枫苑,3室1厅1厨1卫,低楼层 (共18层),99.88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,有,暂无数据,2023-10-25,商品房,2013-04-02,普通住宅,满五年,共有,有抵押,已上传房本照片,此房满五唯一省税，有钥匙看房，楼层好，业主诚售,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
610,顺园二村 房东诚心出售 方便看房  好谈 装修不错,110万,8397,新北区薛家,顺园二村,5室2厅1厨2卫,高楼层 (共6层),131㎡,复式,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子是全明格局，落地窗采光好，房子小区位置好,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,,小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利,,,,,,,,,,
611,悠活城两梯五户边户精装四房前排全天采光视野好,120万,12908,新北区薛家,新城•悠活城,4室2厅1厨1卫,低楼层 (共32层),92.97㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房前排，视野无遮挡，目前自住中，业主诚心出售,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
612,顺园三村精装大三房，看房方便，诚心出售，交通便利,120万,9864,新北区薛家,顺园新村三村,3室2厅1厨2卫,中楼层 (共5层),121.66㎡,暂无数据,108.8㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-20,商品房,2010-08-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"：
1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%",1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
613,新上 怡景名园挑高一楼，南北通透 户型方正，急售,105万,8434,新北区薛家,怡景名园,3室2厅1厨1卫,低楼层 (共9层),124.5㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-30,商品房,2016-11-04,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1.小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。舒适度高！,房子两个南向卧室，南向客厅，一个北向卧室 北向厨房和卫生间，通透性好适宜居住，采光好，前后楼间距也是至少60米以上，小区楼栋位置也真的很好，欢迎实地看房！,,,,,,,,,,
614,顺园九村  随时过户 首付两成 看房方便 价格好谈,92万,10166,新北区薛家,順园九村玉龙社区北区,2室2厅1厨1卫,高楼层 (共22层),90.5㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
615,凤凰台中上楼层，全天采光随时看房,128.8万,14000,新北区薛家,雅居乐凤凰湖北苑,3室2厅1厨1卫,中楼层 (共18层),92㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,三梯三户,有,暂无数据,2022-07-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 52,未上传房本照片,房子是全明格局，落地窗采光好，房子小区位置好,"1、90平以内首套房契税1%，二套房1%，三套或以上3%
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、满五年唯一免个税1%",,,"1、小区生活设施齐全，银行，交通便捷；
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。","1、户型周正格 局分布合理，空间感好通透性强，居住舒适
2、楼层佳，朝向南北，视野开阔，采光透亮；
3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；
4、小区地理位置优越，交通便捷，设施齐全，生活便利",,,,,,,,,,
616,怡枫苑精装两房 新装修带院子诚心卖,89万,10349,新北区薛家,怡枫苑,2室1厅1厨1卫,低楼层 (共18层),86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-16,商品房,2020-11-29,普通住宅,满两年,共有,有抵押,已上传房本照片,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,4、小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,,,,,,,
617,透前排无遮挡  景观楼层采光好  诚心出售价格好谈,116万,10397,新北区薛家,天逸城,3室2厅1厨1卫,高楼层 (共34层),111.58㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-08-14,商品房,2017-05-24,普通住宅,暂无数据,共有,有抵押 50万元,已上传房本照片,天宇广场旁 户型方正 三开间朝南 业主人好 价格好谈,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积多，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置好，交通便捷，设施齐全，生活便利,,,,,,,,,,
618,东渡海派青城毛坯西边户有钥匙看房北入户南院,370万,27123,新北区薛家,东渡海派青城,5室2厅1厨4卫,高楼层 (共4层),136.42㎡,,131.35㎡,,南,钢混结构,毛坯,,,暂无数据,2023-03-15,商品房,2012-05-07,别墅,暂无数据,共有,无抵押,已上传房本照片,此房是联排别墅边户，看房有钥匙业主诚心出售,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,联排,,,,,,,,,
619,房东诚心出售，看房方便，毛坯，利用造空间大,488万,23938,新北区薛家,天逸城,4室2厅1厨3卫,中楼层 (共4层),203.86㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2023-06-22,商品房,2021-07-09,别墅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,联排,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
620,房子没有出租过但可以自行装修，诚意出售,146.8万,12639,新北区薛家,白马公馆,3室2厅1厨2卫,低楼层 (共34层),116.15㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-07-17,商品房,2019-04-26,普通住宅,暂无数据,非共有,有抵押 53万元 建设银行,已上传房本照片,此房属于刚需，，小区自带幼儿园，游乐场，生活很方便，,,小区离飞龙公园，花山公园都，出门就是高架，交通方便，小区门口还有，快递站，银行，,,小区有业主委会，业主有什么要求和困难都可以找他们解决，小区内设有篮球场等娱乐场所，小区绿化环境幽静，还有规划中的飞龙吾悦,,,,,,,,,,,
621,白马公馆 边户三房 不靠高架 业主诚心出售,133万,11567,新北区薛家,白马公馆,3室2厅1厨2卫,高楼层 (共34层),114.99㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-09-09,商品房,2020-08-17,普通住宅,暂无数据,共有,有抵押 66.5万元 中国银行 客户偿还,已上传房本照片,近飞龙公园，门口龙城高架出行方便，楼层佳，采光好,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区环境优美，与飞龙公园相近，为社区居民提供了优美的生活环境。社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,,,,,,
622,前排靠河，全天采光，看房有钥匙,168万,15652,新北区薛家,雅居乐凤凰湖北苑,3室2厅1厨2卫,高楼层 (共17层),107.34㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-19,商品房,2020-04-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,格局好双阳台设计前排靠河全天采光看房有钥匙,,,,本小区开发商是雅居乐大品牌，小区环境绿化达40%，人车分流的小区，24小时保安巡逻，得房率为85%，两梯三户的设计没有连廊相对安全，本小区物业为雅生活物业，物业费为2.3一平，每栋都配备了管家，有任何事情随喊随到的,"房龄新，户型方正，南北通,三开朝南双阳台设计，明厨明卫，楼间距大，全天采光，视野开阔",,,本房为纯毛坯，可以根据自己的喜好来装修设计，人车分流，居住群体多为年轻人，贷款方式不限，适合刚需首套的客户，家有老人和孩子不用担心，本房为中间楼层，配套齐全，有菜场和公园，不临街，小区很安静,,,,,,,
623,此房满二，底复洋房带前后院子 地下室挑高,278万,20145,新北区薛家,雅居乐凤凰湖北苑,3室2厅1厨2卫,低楼层 (共8层),138㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-10,商品房,2020-07-09,普通住宅,暂无数据,非共有,有抵押 90万元,已上传房本照片,此房满二，总高8层的底复洋房带前后院子，地下室挑高5.1米,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,,1、小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利,,,,,,,,,,
624,九龙仓 年华里  中间户 4室 中间楼层,188万,13623,新北区薛家,九龙仓年华里 ,4室2厅1厨2卫,中楼层 (共18层),138.01㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-04,商品房,2020-12-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,中间楼层，居住舒适度高，户型周正，格局通透。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、家庭满五年且唯一免交个税1%,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利，薛家公园,,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,,,,,,,
625,飞龙板块，交通便捷，不靠高架，楼层好。,145万,16293,新北区薛家,白马公馆,3室2厅1厨1卫,低楼层 (共34层),89㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,一梯四户,有,暂无数据,2023-10-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,飞龙板块，交通便捷，不靠高架，楼层好。,税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,楼下有共享单车车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层、 会所及沿街组成。88-140㎡创梦空间，满足不同人群的共同梦想居所。高架贯通轻松链接五大区，小区的会所,,,,,,,,,,,
626,小户型 ，低总价 ，诚意出售，手续齐全，价格可谈,80万,10669,新北区薛家,聚怡花园南区,2室2厅1厨1卫,中楼层 (共16层),74.99㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小户型 ，低总价 ，价格好谈 ，手续齐全,90平以内首套房契税1%，二套房1%，三套或以上3%.--不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,小区生活设施齐全，购物广场市菜市场、银行 ，幼儿园，公园 等交通便捷； 建有地上停车场和地下停车场,,,,,业主之出租的房， 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
627,顺园八村精装修三房 中间楼层 业主诚售 采光无遮挡,140万,10690,新北区薛家,丽园社区顺园八村二期,3室2厅1厨2卫,中楼层 (共32层),130.97㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-23,商品房,2021-07-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适；,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利，门口薛家北广场，薛家全民健身中五百米,,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻，欢迎随时电话咨询,,,,,,,,,,,
628,东渡海派青城精装小别墅诚意出售,318万,27210,新北区薛家,东渡海派青城,3室2厅1厨3卫,高楼层 (共4层),116.87㎡,,112.72㎡,,南,钢混结构,精装,,,暂无数据,2023-03-28,商品房,2014-04-03,别墅,暂无数据,共有,无抵押,已上传房本照片,此房满5唯一，南进户，北花园，拎包住,"1、契税:首套房，90平米以上成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税; 3、个税:产证满五年但不是唯一套住房, 成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,联排,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
629,顺园新上好房，房东置换，随时看房,115万,9587,新北区薛家,顺园二村,3室2厅1厨2卫,高楼层 (共6层),119.96㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-22,商品房,2014-10-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房子是全明格局，落地窗采光好，房子小区位置好,"税费解析：
90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%",,,"小区介绍：
小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。","户型介绍：
户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利",,,,,,,,,,
630,顺园新上好房，房东置换，随时看房,115万,9587,新北区薛家,顺园二村,3室2厅1厨2卫,高楼层 (共6层),119.96㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-22,商品房,2014-10-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房子是全明格局，落地窗采光好，房子小区位置好,"税费解析：
90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%",,,"小区介绍：
小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。","户型介绍：
户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利",,,,,,,,,,
631,凤凰湖壹号纯毛坯大平层目前空置中有钥匙看房,255万,12260,新北区薛家,佳兆业凤凰湖壹号,4室2厅1厨3卫,高楼层 (共18层),208㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,有,暂无数据,2023-11-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房高层两梯两户，视野好，全天采光，毛坯空置中,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
632,东边户 纯毛坯 户型方正 南北通 双阳台,268万,19335,新北区薛家,雅居乐凤凰湖北苑,4室2厅1厨2卫,中楼层 (共8层),138.61㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,东边户 纯毛坯 户型方正 南北通 双阳台,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,,小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利,,,,,,,,,,
633,飞龙吾悦旁，白马公寓，次新房，3南户型佳高层采光好,115万,12235,新北区薛家,白马公馆,2室2厅1厨1卫,高楼层 (共34层),94㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-03-27,商品房,2020-06-23,普通住宅,暂无数据,共有,有抵押 40万元,已上传房本照片,飞龙吾悦旁，白马公寓，次新房，3南户型佳高层采光好,房子为商品房，满2年，免增值附加税 面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,"距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。",,,,,,,
634,飞龙吾悦广场旁 繁华地段，精装修 房东诚心出售,145万,16000,新北区薛家,白马公馆,3室2厅1厨1卫,中楼层 (共33层),90.63㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,飞龙吾悦广场旁 繁华地段，精装修 满五唯一,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便",小区出门就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北可到万达商圈。,,,,,,,,,,,,
