,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,周边配套,房源核验码,查询房管备案记录,小区介绍,适宜人群,权属抵押,装修描述,交通出行,别墅类型,用水类型,用电类型,燃气价格
1069,金坛区融创融熙诚园4-2-1-2 127.02m²,127万,9999,金坛区东城街道,融创融熙诚园,4室2厅1厨2卫,高楼层 (共11层),127.02㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-10,商品房,2022-08-25,普通住宅,未满两年,共有,无抵押,已上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,",,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利,,,,,,,
1070,中梁 四房两卫 看中可谈 ......,178.8万,12332,金坛区东城街道,中梁壹号院金玺天郡,4室2厅1厨2卫,高楼层 (共27层),145㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,两梯四户,有,暂无数据,2022-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好，交通便利.",,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",小区自带健身 活动区域，晚上可以去运动。离公共车站近。北边就是吾悦 交通购物都很方便,,,得房率高，绿化面积大，使用率高，基础建设完备，物业管理优质..,,,,,,,,
1071,翠堤湾非顶楼4楼 125平加15平车库 三室两厅两卫 88卫,79.8万,6384,金坛区东城街道,翠堤湾花园,3室2厅1厨2卫,高楼层 (共6层),125㎡,暂无数据,暂无数据,板塔结合,南,框架结构,精装,暂无数据,无,暂无数据,2023-01-25,商品房,2023-07-10,普通住宅,未满两年,共有,有抵押 客户偿还,已上传房本照片,"：
此房格局好,全天采光,户型方正视野好，交通便利","房子格局好,全天采光,户型方正视野好,明厨明卫。3室二厅一厨二卫：带院子。",现在业主诚心出售房子，证件齐全，看房需提起前预约，随时可签！,"：
首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,,,,,,,,,,,
1072,市区温馨三室两卫，滨湖新区，配套齐全,125万,11249,金坛区东城街道,中梁壹号院金玺天郡,3室2厅1厨2卫,中楼层 (共27层),111.13㎡,暂无数据,暂无数据,板塔结合,东南,框架结构,毛坯,一梯四户,有,暂无数据,2023-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房子小区环境好，新小区，房子户型好三开间朝南 采光好,房子户型好，三开间朝南，全明户型， 采光好，视野好，南北通风,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,此小区是小区，刚满两年，植物多，小区包含高层洋房别墅，小区位置可以，,,,,,,,,
1073,金海湾公馆三室两厅一卫高层景观房,126.8万,9282,金坛区东城街道,金海湾公馆,3室2厅1厨1卫,高楼层 (共28层),136.62㎡,暂无数据,暂无数据,平房,南,框架结构,精装,两梯四户,有,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局好，全天采光，户型方正视野好，干湿分离，明厨明卫,,业主几年前的结婚的婚房，现在夫妻双方都在外地发展，所以要出售，随时可以看房，业主随时可签约,,楼下就是公园，距离吾悦广场800米，配套完善，距离人民医院1000米内,,,,,,房东精心装修的婚房，品牌家具家电，独立衣帽间，阳光房，家里保养很好，,,,,,
1074,房子户型好，采光好 楼层适中 房东诚心出售,125.8万,9136,金坛区东城街道,新城东苑三区,3室2厅1厨2卫,中楼层 (共11层),137.7㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子户型好，采光好 楼层适中 房东诚心出售,,业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，价格可谈,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,,,,本房是精装房三室的 户型方正采光充足 适合一家子居住 房间都挺大的,,,,,
1075,中梁 壹号院 四室 两厅 两卫,159.8万,12388,金坛区东城街道,中梁金坛壹号院,4室2厅1厨2卫,低楼层 (共27层),129㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 43万元 公积金 业主自还,未上传房本照片,此房满二 三开间朝南户型 无遮挡 采光好,,业主需置换更大的新房，所以低价出售此房，价格已很便宜，有密码，看房方便,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同
有公积金贷款43万左右，业主可以自还",,,,,,
1076,新城逸隽 小三房 电梯中层 前排无遮挡 毛坯出售,104.8万,11096,金坛区东城街道,新城逸隽,3室2厅1厨1卫,中楼层 (共27层),94.45㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房是前排无遮挡小三房，贷款方式不限，适合首付不多。,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,此房是小三房，人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,本小区人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,,,,,,,
1077,金坛区 融创滨湖御园3-2-1-2 127.00m²,141万,11103,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,低楼层 (共11层),127㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"格局好,南北通风户型,全天采光,户型方正，视野好",,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，商场， 美食等 人文素养好,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",,,,,,
1078,融创融熙诚园  三室二厅二卫   洋房  大平层,148万,10963,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,高楼层 (共8层),135㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,一梯一户,有,暂无数据,2023-09-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房产证去年已到手，南北通透，采光充足，配套设施齐全。,新小区，顶楼，全明户型，采光充足，二开间朝南，客厅宽敞，厨房格局设计合理，宽敞大方，温馨舒适。带阁楼和露台。,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.3%。 个人所得税：未满5 年1%，满五年且唯一全免。,,,,小区全封闭式管理，安全系数高，间距大，采光充足，地下车位充足，小区景观好，有公共健身器材、儿童乐园，免费为业主提供。 此小区人车分流，人文环境好。,,,,,,,,
1079,融创融熙诚园   一楼带院     四室二厅一卫,185万,14565,金坛区东城街道,融创融熙诚园,4室2厅1厨1卫,低楼层 (共11层),127.02㎡,暂无数据,暂无数据,暂无数据,北 南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,南北通透，采光无遮挡。洋房1楼，带有88平大院子。,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.3%。 个人所得税：未满5 年1%，满五年且唯一全免。,,,,小区全封闭式管理，安全系数高，洋房毛坯，间距大，采光充足，地下车位充足，小区景观好，有公共健身器材、儿童乐园，免费为业主提供。,此小区人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，有菜市场，公园。,,,,,,,
1080,金坛市中景·尚海城4-2-1-2 149.00m²,195万,13088,金坛区东城街道,中景·尚海城,4室2厅1厨2卫,中楼层 (共18层),149㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"此房户型好 一梯一户 位置好 南北通风户型,全天采光,户型方正",,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒，,看房方便","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
1081,金坛区 融创滨湖御园3-2-1-2 127.00m²,141万,11103,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,低楼层 (共11层),127㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"格局好,南北通风户型,全天采光,户型方正，视野好",,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，商场， 美食等 人文素养好,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",,,,,,
1082,万士新村 3室2厅 南,96.8万,6586,金坛区东城街道,万士新村,3室2厅1厨2卫,中楼层 (共11层),147㎡,暂无数据,暂无数据,塔楼,南,框架结构,毛坯,暂无数据,无,暂无数据,2023-07-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1083,金坛区融创融熙诚园4-2-1-2 127.02m²,127万,9999,金坛区东城街道,融创融熙诚园,4室2厅1厨2卫,高楼层 (共11层),127.02㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-10,商品房,2022-08-25,普通住宅,未满两年,共有,无抵押,已上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,",,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利,,,,,,,
1084,金坛区中景·尚海城4-2-2-2 166.00m²,252.8万,15229,金坛区东城街道,中景·尚海城,4室2厅2厨2卫,中楼层 (共7层),166㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-24,商品房,2022-11-18,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房四室毛坯 户型好 价格竞争力强 小区各项配套全,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,公园：金沙公园，华罗庚公园，钱资湖湿地公园 购物：新城吾悦广场，大统华 医疗：金坛第二人民医院，金坛区人民医院,,,,,,,公交：金坛114路，金坛118路，金坛105路。小区北门金桂路，交通便利，出行很方便。,,,,
1085,房子毛坯 复式楼，居住不压抑，房子新，生活便利,114.8万,6075,金坛区东城街道,徐塘新村,5室2厅1厨2卫,高楼层 (共6层),189㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-09-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房子毛坯 两层复式楼，居住舒适采光好不压抑，房子新，生活便利,"房格局好,南北通风户型,全天采光,户型方正视野好,上下两层宽敞舒适。   房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫设计    此房格局好,南北通风户型,全天采光,户型方正视野好",,首套90平以下1% ，首套90平以上1.5%，二套90平以下1%，二套90平以上2%，三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5年征1%,,,,"小区生活设施齐,商场、购物、菜市场、银行等,交通便捷;2、小区内有健身器材,小型篮球场等娱乐设施可供小区居民使用，区内停车位充足,建有地上停车场和地下车库",,,,,,,,
1086,保利紫荆公馆4-2-1-2 115.00m² 159 万,140万,12275,金坛区东城街道,保利紫荆公馆,4室2厅1厨2卫,低楼层 (共8层),114.06㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-07,商品房,2022-03-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,吾悦旁 保利 电梯 好楼层 四室两厅两卫 三开间朝南,小区房龄新，此房位置好，户型南北通风，三开间朝南 ，户型设计合理 ，利用空间大,业主处理闲置单纯出售！ 房屋现状：随时可以看房，业主随时可以回来签约！ 特殊要求：无特殊要求！,首套房90平以下 1%，90平以上 1.5%。 二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,,,,,,,,,
1087,融创融熙诚园  三室二厅二卫   洋房  大平层,148万,10963,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,高楼层 (共8层),135㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,一梯一户,有,暂无数据,2023-09-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房产证去年已到手，南北通透，采光充足，配套设施齐全。,新小区，顶楼，全明户型，采光充足，二开间朝南，客厅宽敞，厨房格局设计合理，宽敞大方，温馨舒适。带阁楼和露台。,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.3%。 个人所得税：未满5 年1%，满五年且唯一全免。,,,,小区全封闭式管理，安全系数高，间距大，采光充足，地下车位充足，小区景观好，有公共健身器材、儿童乐园，免费为业主提供。 此小区人车分流，人文环境好。,,,,,,,,
1088,此房三开间朝南南北通风前排无遮采光好,138万,12027,金坛区东城街道,钱塘映象花园,3室2厅1厨2卫,高楼层 (共24层),114.75㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,一梯四户,有,暂无数据,2023-10-11,商品房,2023-10-04,普通住宅,未满两年,非共有,有抵押,已上传房本照片,此房三开间朝南南北通风前排无遮采光好。,,售房原因：单纯出售！ 房屋现状：有钥匙，随时看房。 特殊要求：房东领了人才补贴，需要协议付款。,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,此小区以精工品质打造30万方滨湖湖畔精奢生态宜居房，项目地段十分优越，距离钱资湖仅800米。,,,,,,,,
1089,新城逸隽 小三房 电梯中层 前排无遮挡 毛坯出售,104.8万,11096,金坛区东城街道,新城逸隽,3室2厅1厨1卫,中楼层 (共27层),94.45㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房是前排无遮挡小三房，贷款方式不限，适合首付不多。,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,此房是小三房，人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,本小区人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,,,,,,,
1090,中梁 壹号院 四室 两厅 两卫,159.8万,12388,金坛区东城街道,中梁金坛壹号院,4室2厅1厨2卫,低楼层 (共27层),129㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 43万元 公积金 业主自还,未上传房本照片,此房满二 三开间朝南户型 无遮挡 采光好,,业主需置换更大的新房，所以低价出售此房，价格已很便宜，有密码，看房方便,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同
有公积金贷款43万左右，业主可以自还",,,,,,
1091,中梁壹号院 中层 127平4房2厅2卫 毛坯 有密码随时看房,153.8万,12056,金坛区东城街道,中梁壹号院金玺天郡,4室2厅1厨2卫,中楼层 (共27层),127.58㎡,暂无数据,暂无数据,板塔结合,南 北,框架结构,毛坯,两梯四户,有,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈 ，满两年，随时可以过户",首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,,,,,,,,,
1092,金坛区中景·尚海城4-2-1-2 161.66m²,220万,13609,金坛区东城街道,中景·尚海城,4室2厅1厨2卫,低楼层 (共7层),161.66㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,采光好，无遮挡，高楼层，拎包入住。,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",房子是房东精心选购，三房朝南，采光好，视野好，随时看房，随时签约过户！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,,,,,,,,,,,
1093,房子户型好，采光好 楼层适中 房东诚心出售,125.8万,9136,金坛区东城街道,新城东苑三区,3室2厅1厨2卫,中楼层 (共11层),137.7㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子户型好，采光好 楼层适中 房东诚心出售,,业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，价格可谈,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,,,,本房是精装房三室的 户型方正采光充足 适合一家子居住 房间都挺大的,,,,,
1094,融创融熙诚园  叠墅洋房  南北通透  动静分离,200万,14286,金坛区东城街道,融创融熙诚园,3室2厅1厨3卫,中楼层 (共8层),140㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,明年三月份满二两，南北通透户型，楼上楼下复式 ，毛坯。,新小区，叠墅洋房，毛坯，三室二厅三卫，全明户型，采光充足，动静分离。,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,小区全封闭式管理，安全系数高，间距大，采光充足，地下车位充足，小区景观好，有公共健身器材、儿童乐园，免费为业主提供。 此小区人车分流，人文环境好。,,,,,,,,
1095,有段玉裁ME电梯中层三室两卫纯毛坯,88万,6805,金坛区东城街道,九洲里花园,3室2厅1厨2卫,中楼层 (共11层),129.33㎡,暂无数据,暂无数据,塔楼,东南,砖混结构,毛坯,两梯两户,有,暂无数据,2023-10-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好。","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未",该小区离公交总站骑行200米，离高铁骑行500米。内设施有幼儿园，浴室，菜场，菜鸟驿站，饭店，儿童游玩场地,,,,,,,,,,,
1096,华城商业广场 10楼东边户 精装修 3室2厅2卫 123.8万,98.8万,7485,金坛区东城街道,华城商业广场,3室2厅1厨2卫,中楼层 (共24层),132㎡,暂无数据,暂无数据,板塔结合,南,框架结构,精装,两梯四户,有,暂无数据,2023-03-30,商品房,2023-07-09,普通住宅,未满两年,共有,有抵押,已上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好","房格房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫局好,南北通风户型,全天采光,户型方正视野好",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;此房产权清晰！房源真实！业主诚心出售！看房方便！过户全程陪同！",,,,,,此房产权清晰！房源真实！业主诚心出售！看房方便！过户全程陪同！,,,,,,
1097,碧水华庭 电梯2楼 三室两卫 精装 带电瓶车库,109.8万,8195,金坛区东城街道,碧水华庭,3室2厅1厨2卫,低楼层 (共11层),134㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房子地理位置好，生活，出行都是很方便的。,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可以商量","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,,,,,,,
1098,融创融熙诚园  三室  两厅  两卫,95.8万,8331,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,高楼层 (共34层),115㎡,暂无数据,暂无数据,板塔结合,南 北,框架结构,毛坯,两梯四户,有,暂无数据,2023-06-07,商品房,2022-08-17,普通住宅,未满两年,共有,有抵押 70万元 银行 业主自还,已上传房本照片,此房格局好，南北通透，生活出行都方便,,业主常年在常州，不在金坛工作，房子有一次免费更名的机会，可以随时过户,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,,,房子有贷款大概70万左右，可以随时结清，看房方便，过户业主全程陪同,,,,,,
1099,金坛，钱塘映像，3室2厅2卫，中间楼层，产权清晰，,158万,12640,金坛区东城街道,钱塘映象花园,3室2厅1厨2卫,中楼层 (共24层),125㎡,暂无数据,暂无数据,板塔结合,南 北,框架结构,毛坯,一梯四户,有,暂无数据,2023-08-29,商品房,2023-04-05,普通住宅,未满两年,非共有,无抵押,已上传房本照片,钱塘映像，3室2厅2卫，中间楼层，次新房，正对花园，,房子户型经典，3室2厅2卫，户型方方正正，没有浪费面积，大客厅，南北通透，中间楼层，采光视野很棒，房东全款购买，没有贷款，,此房产权清晰，没有贷款。没有抵押，没有纠纷，房东全款购买的，房东诚意出售，随时可以过户，有钥匙，看房随时，,,,,,小区是次新房小区，商品房，2023年初交房，小区环境优美，人车分流，还在可以上华罗庚。,,,,,,,,
1100,融创叠墅 138.37平 4室2厅2卫 包税加车位 好楼层,170万,12286,金坛区东城街道,融创融熙诚园,4室2厅1厨2卫,中楼层 (共8层),138.37㎡,暂无数据,138.37㎡,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-05,商品房,2022-04-29,普通住宅,未满两年,共有,有抵押,已上传房本照片,融创叠墅138.37平4室2厅2卫包税加车位好楼层采光好 着急卖  房东个人闲置,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",,132452419382,融创叠墅 138.37平 4室2厅2卫 包税加车位 好楼层 采光好,,,,,,,,,
